id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3978695,19615112,"Waddingstown, Mooncoin, Co. Kilkenny",425000.0,N/A,,3,2,Detached,2022-08-10,C2,,179.92 kWh/m2/yr,52.298257,-7.221546,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-waddingstown-mooncoin-co-kilkenny/3978695
3978265,19609800,"Butlers Hill On Circa 9.64 Acres, Ballysallagh, Kilkenny, Co. Kilkenny",595000.0,261,261 m²,4,3,Detached,2022-08-10,C2,114427586,190.95 kWh/m2/yr,52.694779,-7.167386,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-butlers-hill-on-circa-9-64-acres-ballysallagh-kilkenny-co-kilkenny/3978265
2579375,12718468,"Rerrin House, Dunamaggin, Kilkenny, Co. Kilkenny",295000.0,207,207 m²,4,2,Detached,2022-08-10,C3,113225783,220.49 kWh/m2/yr,52.50199,-7.296819,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-rerrin-house-dunamaggin-kilkenny-co-kilkenny/2579375
3960733,19478356,"1 Father Walsh Close, Kilkenny, Co. Kilkenny",385000.0,120,120 m²,3,2,Detached,2022-08-08,B3,800857195,,52.64558,-7.253071,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-1-father-walsh-close-kilkenny-co-kilkenny/3960733
3972153,19574355,"Cushlawn House, Castlecolumb, Knocktopher, Co. Kilkenny",450000.0,291,291 m²,6,8,Detached,2022-08-10,C3,103814752,223.67 kWh/m2/yr,52.487444,-7.198767,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-cushlawn-house-castlecolumb-knocktopher-co-kilkenny/3972153
3972043,19573869,"Gragara, Jenkinstown, Co. Kilkenny",295000.0,110,110 m²,3,1,Detached,2022-08-10,C2,105565535,,52.73911,-7.269234,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-gragara-jenkinstown-co-kilkenny/3972043
3971339,19568897,"5 Burgess Court, Kells, Co. Kilkenny",510000.0,242,242 m²,4,3,Detached,2022-08-10,C1,115218661,171.09 kWh/m2/yr,52.536783,-7.271673,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-5-burgess-court-kells-co-kilkenny/3971339
3970024,19557175,"Chantry House, Paulstown, Co. Kilkenny",850000.0,444,444 m²,5,7,Detached,2022-08-03,D2,107560815,,52.680624,-7.022238,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-chantry-house-paulstown-co-kilkenny/3970024
3965571,19518720,"Graigueswood, Freshford, Co. Kilkenny",160000.0,117,117 m²,3,1,Detached,2022-08-03,G,115376923,,52.748812,-7.400105,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-graigueswood-freshford-co-kilkenny/3965571
3969286,19553110,"Plum Cottage, Foulkscourt, Johnstown, Co. Kilkenny",250000.0,135,135 m²,4,2,Detached,2022-08-08,C3,,,52.751044,-7.572386,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-plum-cottage-foulkscourt-johnstown-co-kilkenny/3969286
3967229,19532924,"Karsan, Luffany, Slieverue, Co. Waterford",350000.0,243,243 m²,12,3,Detached,2022-08-10,E1,114817059,320.84 kWh/m2/yr,52.294637,-7.056581,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-karsan-luffany-slieverue-co-waterford/3967229
3967177,19532901,"Rathlikeen, Mullinavat, Co. Kilkenny",110000.0,2509,2509 m²,1,1,Detached,2022-07-22,SI_666,,,52.34057281,-7.13322463,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-rathlikeen-mullinavat-co-kilkenny/3967177
3966168,19523511,"Karsan, Luffany, Slieverue, Co. Kilkenny",350000.0,243,243 m²,12,3,Detached,2022-08-10,E1,114817059,320.84 kWh/m2/yr,52.294637,-7.056581,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-karsan-luffany-slieverue-co-kilkenny/3966168
3964971,19514905,"Churchview Lodge, Owning, Kilkenny, Co. Kilkenny",550000.0,159,159 m²,4,2,Detached,2022-08-10,D2,106646417,286.51 kWh/m2/yr,52.38817,-7.34423,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-churchview-lodge-owning-kilkenny-co-kilkenny/3964971
3964204,19508496,"Smithstown, Smithstown, Co. Kilkenny",AMV: Price on Application,115,115 m²,3,1,Detached,2022-08-09,G,,,52.540442,-7.135965,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-smithstown-smithstown-co-kilkenny/3964204
3960561,19478246,"Ballyreddin, Bennettsbridge, Co. Kilkenny",395000.0,178,178 m²,5,3,Detached,2022-08-03,C3,113826127,,52.59337,-7.180145,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-ballyreddin-bennettsbridge-co-kilkenny/3960561
3963681,19505632,"Rathaleek, Kilkenny, Co. Kilkenny",420000.0,172,172 m²,4,2,Detached,2022-08-08,D2,114765589,,52.612594,-7.288624,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-rathaleek-kilkenny-co-kilkenny/3963681
3961748,19490336,"Burnchurch Farm, Burnchurch, Burnchurch, Co. Kilkenny",AMV: Price on Application,100,100 m²,3,1,Detached,2022-08-10,F,115386625,,52.583447,-7.304277,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-burnchurch-farm-burnchurch-burnchurch-co-kilkenny/3961748
3961611,19487093,"Fontenoy, Canal Walk, Castle Road, Kilkenny, Co. Kilkenny",925000.0,269,269 m²,5,4,Detached,2022-08-10,D1,108614637,244.1 kWh/m2/yr,52.647196,-7.23819,Buy,KILKENNY,http://www.daft.ie/for-sale/detached-house-fontenoy-canal-walk-castle-road-kilkenny-co-kilkenny/3961611
