id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3917599,19112590,"3 Pudding Lane, Kilkenny, Co. Kilkenny",375000.0,106,106 m²,4,2,Detached,2022-08-10,C3,114522022,223.62 kWh/m2/yr,52.650822,-7.252956,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-3-pudding-lane-kilkenny-co-kilkenny/3917599
3911546,19063693,"85 Maudlin Street, Kilkenny, Co. Kilkenny",530000.0,205,205 m²,5,7,Terrace,2022-08-10,C1,114840440,159.54 kWh/m2/yr,52.652906,-7.246375,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/terraced-house-85-maudlin-street-kilkenny-co-kilkenny/3911546
3908027,19027849,"32 Patrick STREET, Kilkenny, Co. Kilkenny",695000.0,328,328 m²,5,2,End of Terrace,2022-08-10,,,,52.650138,-7.25201,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/end-of-terrace-house-32-patrick-street-kilkenny-co-kilkenny/3908027
3813832,18762040,"26 Michael Street, Kilkenny, Co. Kilkenny",275000.0,102,102 m²,3,1,Terrace,2022-08-08,D1,,,52.654987,-7.250512,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/terraced-house-26-michael-street-kilkenny-co-kilkenny/3813832
3819755,18813312,"31 Aylesbury, Freshford Road, Kilkenny, Co. Kilkenny",310000.0,116,116 m²,4,2,Detached,2022-08-09,C3,114861511,,52.664507,-7.258258,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-31-aylesbury-freshford-road-kilkenny-co-kilkenny/3819755
3816851,18789054,"29 Hollybank Way, Clongowen, Kilkenny, Co. Kilkenny",290000.0,136,136 m²,5,3,Semi-D,2022-08-09,C3,114884281,203.69 kWh/m2/yr,52.639775,-7.2527,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/semi-detached-house-29-hollybank-way-clongowen-kilkenny-co-kilkenny/3816851
3804048,18681864,"49 College Square, College Road, Kilkenny, Co. Kilkenny",425000.0,124,124 m²,4,3,Semi-D,2022-08-03,C1,102268299,,52.643456,-7.258322,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/semi-detached-house-49-college-square-college-road-kilkenny-co-kilkenny/3804048
3765595,18354475,"9 Troy's Green, Green Street, Kilkenny, Co. Kilkenny",295000.0,134,134 m²,4,3,Detached,2022-06-29,C3,114753452,,52.658615,-7.255763,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-9-troys-green-green-street-kilkenny-co-kilkenny/3765595
3765527,18354441,"73/74 John Street Lower, Kilkenny, Co. Kilkenny",700000.0,232,232 m²,6,4,End of Terrace,2022-08-08,C2,800303349,,52.652738,-7.248715,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/end-of-terrace-house-73-74-john-street-lower-kilkenny-co-kilkenny/3765527
3756718,18287002,"30 Seville Lawns, Margarets Fields, Kilkenny, Co. Kilkenny",400000.0,156,156 m²,4,3,Detached,2022-08-03,C2,,,52.638648,-7.269953,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-30-seville-lawns-margarets-fields-kilkenny-co-kilkenny/3756718
3748401,18223576,"Hebron House, Hebron Road, Kilkenny, Co. Kilkenny",Price on Application,209,209 m²,4,1,Detached,2022-08-10,SI_666,,,52.657961575451395,-7.222078506009211,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-hebron-house-hebron-road-kilkenny-co-kilkenny/3748401
3542400,16201171,"6 Rose Gardens, Rose Hill, Kells Road, Kilkenny, Co. Kilkenny",750000.0,301,301 m²,6,6,Detached,2022-08-10,B2,109747808,119.73 kWh/m2/yr,52.639618,-7.257386,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-6-rose-gardens-rose-hill-kells-road-kilkenny-co-kilkenny/3542400
3508929,16052878,"No 2  River Gardens  , Greenshill, Kilkenny, Co. Kilkenny",875000.0,291,291 m²,5,4,Detached,2022-03-01,A2,,,52.66441327979746,-7.253724893258379,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-no-2-river-gardens-greenshill-kilkenny-co-kilkenny/3508929
2948007,14014761,"9 Patrick Street, Kilkenny, Co. Kilkenny",585000.0,265,265 m²,4,2,Townhouse,2022-08-09,G,112833942,859.72 kWh/m2/yr,52.649717,-7.251467,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/townhouse-9-patrick-street-kilkenny-co-kilkenny/2948007
3917599,19112590,"3 Pudding Lane, Kilkenny, Co. Kilkenny",375000.0,106,106 m²,4,2,Detached,2022-08-10,C3,114522022,223.62 kWh/m2/yr,52.650822,-7.252956,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-3-pudding-lane-kilkenny-co-kilkenny/3917599
3911546,19063693,"85 Maudlin Street, Kilkenny, Co. Kilkenny",530000.0,205,205 m²,5,7,Terrace,2022-08-10,C1,114840440,159.54 kWh/m2/yr,52.652906,-7.246375,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/terraced-house-85-maudlin-street-kilkenny-co-kilkenny/3911546
3908027,19027849,"32 Patrick STREET, Kilkenny, Co. Kilkenny",695000.0,328,328 m²,5,2,End of Terrace,2022-08-10,,,,52.650138,-7.25201,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/end-of-terrace-house-32-patrick-street-kilkenny-co-kilkenny/3908027
3813832,18762040,"26 Michael Street, Kilkenny, Co. Kilkenny",275000.0,102,102 m²,3,1,Terrace,2022-08-08,D1,,,52.654987,-7.250512,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/terraced-house-26-michael-street-kilkenny-co-kilkenny/3813832
3819755,18813312,"31 Aylesbury, Freshford Road, Kilkenny, Co. Kilkenny",310000.0,116,116 m²,4,2,Detached,2022-08-09,C3,114861511,,52.664507,-7.258258,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-31-aylesbury-freshford-road-kilkenny-co-kilkenny/3819755
3816851,18789054,"29 Hollybank Way, Clongowen, Kilkenny, Co. Kilkenny",290000.0,136,136 m²,5,3,Semi-D,2022-08-09,C3,114884281,203.69 kWh/m2/yr,52.639775,-7.2527,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/semi-detached-house-29-hollybank-way-clongowen-kilkenny-co-kilkenny/3816851
3804048,18681864,"49 College Square, College Road, Kilkenny, Co. Kilkenny",425000.0,124,124 m²,4,3,Semi-D,2022-08-03,C1,102268299,,52.643456,-7.258322,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/semi-detached-house-49-college-square-college-road-kilkenny-co-kilkenny/3804048
3765595,18354475,"9 Troy's Green, Green Street, Kilkenny, Co. Kilkenny",295000.0,134,134 m²,4,3,Detached,2022-06-29,C3,114753452,,52.658615,-7.255763,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-9-troys-green-green-street-kilkenny-co-kilkenny/3765595
3765527,18354441,"73/74 John Street Lower, Kilkenny, Co. Kilkenny",700000.0,232,232 m²,6,4,End of Terrace,2022-08-08,C2,800303349,,52.652738,-7.248715,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/end-of-terrace-house-73-74-john-street-lower-kilkenny-co-kilkenny/3765527
3756718,18287002,"30 Seville Lawns, Margarets Fields, Kilkenny, Co. Kilkenny",400000.0,156,156 m²,4,3,Detached,2022-08-03,C2,,,52.638648,-7.269953,Buy,KILKENNY_KILKENNY,http://www.daft.ie/for-sale/detached-house-30-seville-lawns-margarets-fields-kilkenny-co-kilkenny/3756718
