id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3707625,17833610,"8 The Paddocks, Langford Street, Killorglin, Co. Kerry",265000.0,108,108 m²,3,3,Detached,2022-07-06,D2,,,52.104485,-9.785538,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/detached-house-8-the-paddocks-langford-street-killorglin-co-kerry/3707625
3707183,17830590,"4 School Road, Killorglin, Co. Kerry",165000.0,N/A,,2,2,Terrace,2022-07-15,SI_666,,,52.108044,-9.79,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/terraced-house-4-school-road-killorglin-co-kerry/3707183
3504278,16038571,"38 Laune View, Killorglin, Co. Kerry",230000.0,103,103 m²,3,2,Terrace,2022-08-09,C1,,,52.106188,-9.780897,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/terraced-house-38-laune-view-killorglin-co-kerry/3504278
3491323,15918080,"Bramble House, Ilaunstookagh (Dooks), Cromane, Co. Kerry",795000.0,241,241 m²,5,5,Detached,2022-08-09,C2,112194832,179.59 kWh/m2/yr,52.095542,-9.898032,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/detached-house-bramble-house-ilaunstookagh-dooks-cromane-co-kerry/3491323
2622111,13106225,"Lower Bridge Street, Killorglin, Co. Kerry",280000.0,N/A,,3,2,Detached,2021-08-10,SI_666,,,52.106857,-9.784883,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/detached-house-lower-bridge-street-killorglin-co-kerry/2622111
2591050,12741265,"Ardraw, Beaufort, Co. Kerry",259500.0,N/A,,4,2,Detached,2022-08-02,C3,,,52.083951,-9.710237,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/detached-house-ardraw-beaufort-co-kerry/2591050
2519761,12609700,"STARLITE, Main Street, Killorglin, Co. Kerry",140000.0,1,1 m²,3,1,Terrace,2022-08-09,SI_666,,,52.106173,-9.786359,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/terraced-house-starlite-main-street-killorglin-co-kerry/2519761
244740,12019737,"Groyne, Killorglin, Co. Kerry",65000.0,1,1 m²,2,1,Detached,2022-08-08,,,,52.091426063821245,-9.775669883115825,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/detached-house-groyne-killorglin-co-kerry/244740
3707625,17833610,"8 The Paddocks, Langford Street, Killorglin, Co. Kerry",265000.0,108,108 m²,3,3,Detached,2022-07-06,D2,,,52.104485,-9.785538,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/detached-house-8-the-paddocks-langford-street-killorglin-co-kerry/3707625
3707183,17830590,"4 School Road, Killorglin, Co. Kerry",165000.0,N/A,,2,2,Terrace,2022-07-15,SI_666,,,52.108044,-9.79,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/terraced-house-4-school-road-killorglin-co-kerry/3707183
3504278,16038571,"38 Laune View, Killorglin, Co. Kerry",230000.0,103,103 m²,3,2,Terrace,2022-08-09,C1,,,52.106188,-9.780897,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/terraced-house-38-laune-view-killorglin-co-kerry/3504278
3491323,15918080,"Bramble House, Ilaunstookagh (Dooks), Cromane, Co. Kerry",795000.0,241,241 m²,5,5,Detached,2022-08-09,C2,112194832,179.59 kWh/m2/yr,52.095542,-9.898032,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/detached-house-bramble-house-ilaunstookagh-dooks-cromane-co-kerry/3491323
2622111,13106225,"Lower Bridge Street, Killorglin, Co. Kerry",280000.0,N/A,,3,2,Detached,2021-08-10,SI_666,,,52.106857,-9.784883,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/detached-house-lower-bridge-street-killorglin-co-kerry/2622111
2591050,12741265,"Ardraw, Beaufort, Co. Kerry",259500.0,N/A,,4,2,Detached,2022-08-02,C3,,,52.083951,-9.710237,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/detached-house-ardraw-beaufort-co-kerry/2591050
2519761,12609700,"STARLITE, Main Street, Killorglin, Co. Kerry",140000.0,1,1 m²,3,1,Terrace,2022-08-09,SI_666,,,52.106173,-9.786359,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/terraced-house-starlite-main-street-killorglin-co-kerry/2519761
244740,12019737,"Groyne, Killorglin, Co. Kerry",65000.0,1,1 m²,2,1,Detached,2022-08-08,,,,52.091426063821245,-9.775669883115825,Buy,KILLORGLIN_KERRY,http://www.daft.ie/for-sale/detached-house-groyne-killorglin-co-kerry/244740
