id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3534218,16160918,"Ballyfruta, Garryspillane, Co. Limerick",50000.0,N/A,,2,,Detached,2022-08-08,SI_666,,,52.3954659,-8.3755305,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/detached-house-ballyfruta-garryspillane-co-limerick/3534218
3434070,15462032,"Wolfe Tone Street, Kilmallock, Co. Limerick",Price on Application,N/A,,2,2,Terrace,2022-08-08,SI_666,,,52.40040261145512,-8.573489557572941,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/terraced-house-wolfe-tone-street-kilmallock-co-limerick/3434070
3248271,14986938,"1 Water Street, Bruree, Co. Limerick",119000.0,N/A,,3,1,End of Terrace,2022-08-10,D1,112297601,,52.4243635,-8.6619306,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-1-water-street-bruree-co-limerick/3248271
2493175,12559739,"Tully Glenroe, Kilmallock, Co. Limerick",135000.0,N/A,,1,1,Detached,2022-08-10,,,,52.31793308013965,-8.383056870377402,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/detached-house-tully-glenroe-kilmallock-co-limerick/2493175
183182,11894408,"Ashling Heights, Liscullane, Charleville, Co. Cork",350000.0,N/A,,4,3,Detached,2022-07-25,C3,103574521,54.78 kWh/m2/yr,52.358049,-8.724408,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/detached-house-ashling-heights-liscullane-charleville-co-cork/183182
67797,11615622,"Foxhall West, Charleville, Co. Cork",320000.0,N/A,,6,3,Detached,2022-07-25,,,,52.38609851434469,-8.711600303649902,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/detached-house-foxhall-west-charleville-co-cork/67797
3534218,16160918,"Ballyfruta, Garryspillane, Co. Limerick",50000.0,N/A,,2,,Detached,2022-08-08,SI_666,,,52.3954659,-8.3755305,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/detached-house-ballyfruta-garryspillane-co-limerick/3534218
3434070,15462032,"Wolfe Tone Street, Kilmallock, Co. Limerick",Price on Application,N/A,,2,2,Terrace,2022-08-08,SI_666,,,52.40040261145512,-8.573489557572941,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/terraced-house-wolfe-tone-street-kilmallock-co-limerick/3434070
3248271,14986938,"1 Water Street, Bruree, Co. Limerick",119000.0,N/A,,3,1,End of Terrace,2022-08-10,D1,112297601,,52.4243635,-8.6619306,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-1-water-street-bruree-co-limerick/3248271
2493175,12559739,"Tully Glenroe, Kilmallock, Co. Limerick",135000.0,N/A,,1,1,Detached,2022-08-10,,,,52.31793308013965,-8.383056870377402,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/detached-house-tully-glenroe-kilmallock-co-limerick/2493175
183182,11894408,"Ashling Heights, Liscullane, Charleville, Co. Cork",350000.0,N/A,,4,3,Detached,2022-07-25,C3,103574521,54.78 kWh/m2/yr,52.358049,-8.724408,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/detached-house-ashling-heights-liscullane-charleville-co-cork/183182
67797,11615622,"Foxhall West, Charleville, Co. Cork",320000.0,N/A,,6,3,Detached,2022-07-25,,,,52.38609851434469,-8.711600303649902,Buy,KILMALLOCK_LIMERICK,http://www.daft.ie/for-sale/detached-house-foxhall-west-charleville-co-cork/67797
