id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3966949,19529966,"Carlow Road, Abbeyleix, Co. Laois",375000.0,N/A,,4,2,Detached,2022-08-09,C3,,,52.910488,-7.330103,Buy,LAOIS,http://www.daft.ie/for-sale/detached-house-carlow-road-abbeyleix-co-laois/3966949
3966643,19528079,"25 Glenbarrow, Ballyfin Road, Portlaoise, Co. Laois",285000.0,N/A,,4,2,Detached,2022-08-09,D1,,,53.043106,-7.31534,Buy,LAOIS,http://www.daft.ie/for-sale/detached-house-25-glenbarrow-ballyfin-road-portlaoise-co-laois/3966643
3966017,19523390,"Garryglass, Timahoe, Portlaoise, Co. Laois",475000.0,167,167 m²,4,2,Detached,2022-08-10,C2,109344390,,52.929055,-7.228057,Buy,LAOIS,http://www.daft.ie/for-sale/detached-house-garryglass-timahoe-portlaoise-co-laois/3966017
3965257,19517215,"Knightstown, Mountmellick, Co. Laois",Price on Application,204,204 m²,4,2,Detached,2022-08-10,C1,104842182,172.18 kWh/m2/yr,53.103216,-7.267918,Buy,LAOIS,http://www.daft.ie/for-sale/detached-house-knightstown-mountmellick-co-laois/3965257
3964769,19512994,"19 Cherrygarth, Portlaoise, Co. Laois",340000.0,148,148 m²,5,2,Detached,2022-08-09,D2,,,53.025762,-7.296986,Buy,LAOIS,http://www.daft.ie/for-sale/detached-house-19-cherrygarth-portlaoise-co-laois/3964769
3766123,18360966,"Ballinakill Road, Abbeyleix, Co. Laois",235000.0,N/A,,3,1,Detached,2022-07-22,E1,,,52.912948,-7.344663,Buy,LAOIS,http://www.daft.ie/for-sale/detached-house-ballinakill-road-abbeyleix-co-laois/3766123
3961540,19486987,"Kilrory, Stradbally, Co. Laois",450000.0,N/A,,5,3,Detached,2022-08-09,C1,109382523,,53.039289,-7.140446,Buy,LAOIS,http://www.daft.ie/for-sale/detached-house-kilrory-stradbally-co-laois/3961540
3956531,19438660,"DNG KELLY, Hipwell House, Portlaoise, Co. Laois",425000.0,N/A,,6,4,Detached,2022-08-04,B3,113602023,147.0 kWh/m2/yr,53.034091,-7.300279,Buy,LAOIS,http://www.daft.ie/for-sale/detached-house-dng-kelly-hipwell-house-portlaoise-co-laois/3956531
3956045,19432821,"Srahleagh House, Srahleagh, Rathdowney, Co. Laois",190000.0,95,95 m²,2,1,Detached,2022-08-02,G,,,52.823082,-7.553235,Buy,LAOIS,http://www.daft.ie/for-sale/detached-house-srahleagh-house-srahleagh-rathdowney-co-laois/3956045
3949858,19422092,"Woodbrook House, Woodbrook, Portarlington, Co. Laois",2750000.0,1398,1398 m²,13,13,Detached,2022-07-02,SI_666,,,53.131989,-7.233534,Buy,LAOIS,http://www.daft.ie/for-sale/detached-house-woodbrook-house-woodbrook-portarlington-co-laois/3949858
