id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3972218,19574534,"Straduffy, Kiltyclogher, Co. Leitrim",59000.0,N/A,,2,,Detached,2022-07-10,SI_666,,,54.34194481542889,-8.046566601951781,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-straduffy-kiltyclogher-co-leitrim/3972218
3971347,19568976,"6 Beal na Leice, Keshcarrigan, Co. Leitrim",155000.0,N/A,,4,3,Detached,2022-08-10,E1,,,54.018123,-7.947008,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-6-beal-na-leice-keshcarrigan-co-leitrim/3971347
3969560,19555246,"Tullyveacan, Ballinagleragh, Co. Leitrim",389000.0,193,193 m²,4,3,Detached,2022-08-05,B3,114871296,148.42 kWh/m2/yr,54.146321,-7.991295,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-tullyveacan-ballinagleragh-co-leitrim/3969560
3968967,19549124,"Derryhallagh, Drumshanbo, Co. Leitrim",68000.0,94,94 m²,3,1,Detached,2022-08-05,E2,115338477,370.52 kWh/m2/yr,54.052346,-8.029483,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-derryhallagh-drumshanbo-co-leitrim/3968967
3966658,19528093,"Brockagh Lower, Glenfarne, Co. Leitrim",65000.0,47,47 m²,2,1,Detached,2022-08-03,G,114501646,744.65 kWh/m2/yr,54.284089,-7.978897,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-brockagh-lower-glenfarne-co-leitrim/3966658
3955721,19427854,"Riverdale, Station Road, Manorhamilton, Co. Leitrim",375000.0,194,194 m²,5,2,Detached,2022-07-05,C1,112578760,162.36 kWh/m2/yr,54.302676,-8.164566,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-riverdale-station-road-manorhamilton-co-leitrim/3955721
3965587,19519557,"Tawley,  Castlegal",330000.0,142,142 m²,3,2,Detached,2022-08-10,F,114849128,448.67 kWh/m2/yr,54.431691,-8.398643,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-tawley-castlegal/3965587
3964327,19509930,"25 Hillcrest, Stonebridge, Dromahair, Co. Leitrim",155000.0,N/A,,4,2,Detached,2022-08-10,C2,101648483,176.44 kWh/m2/yr,54.228183,-8.29543,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-25-hillcrest-stonebridge-dromahair-co-leitrim/3964327
3961742,19490281,"Cloonohill, Drumlish, Co. Longford",225000.0,N/A,,3,1,Detached,2022-07-01,SI_666,,,53.83105453602852,-7.8156960427533875,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-cloonohill-drumlish-co-longford/3961742
3961035,19480771,"Gubnageer, Manorhamilton, Co. Leitrim",150000.0,N/A,,4,1,Detached,2022-07-23,G,113684575,464.2 kWh/m2/yr,54.375802,-8.119029,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-gubnageer-manorhamilton-co-leitrim/3961035
3961027,19480730,"Banagher, Newtownmanor, Dromahair, Co. Leitrim",139000.0,N/A,,2,1,Detached,2022-08-04,G,115196495,,54.2299538968326,-8.297921549634,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-banagher-newtownmanor-dromahair-co-leitrim/3961027
3957534,19447814,"1 An Griané¡n, Drumshanbo, Co. Leitrim",210000.0,154,154 m²,4,3,Detached,2022-08-09,B3,114151681,147.87 kWh/m2/yr,54.038097,-8.029681,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-1-an-grian-n-drumshanbo-co-leitrim/3957534
3957372,19445936,"Way of the Cattle, Ballaghnabehy, Manorhamilton, Co. Leitrim",150000.0,N/A,,2,2,Detached,2022-07-05,E1,105670418,,54.281744,-8.096607,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-way-of-the-cattle-ballaghnabehy-manorhamilton-co-leitrim/3957372
3957370,19445935,"Sligo Road, Manorhamilton, Co. Leitrim",260000.0,N/A,,4,1,Detached,2022-07-05,E1,115174260,,54.303478,-8.179922,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-sligo-road-manorhamilton-co-leitrim/3957370
3949300,19413345,"Laurel Lodge, Cleen, Dromahair, Co. Leitrim",329950.0,206,206 m²,5,4,Detached,2022-08-09,B3,,,54.216342,-8.273985,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-laurel-lodge-cleen-dromahair-co-leitrim/3949300
3947965,19403362,"26 Errew Drive, Lough Rynn, Mohill, Co. Leitrim",290000.0,N/A,,4,4,Detached,2022-08-10,C1,107193955,165.46 kWh/m2/yr,53.903776,-7.839122,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-26-errew-drive-lough-rynn-mohill-co-leitrim/3947965
3947523,19399510,"Dromod More, Dromod, Co. Leitrim",Price on Application,82,82 m²,2,1,Detached,2022-08-10,SI_666,,,53.856026,-7.919317,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-dromod-more-dromod-co-leitrim/3947523
3944974,19373302,"Drumcloon House, Main Street Upper, Manorhamilton, Co. Leitrim",250000.0,N/A,,4,2,Detached,2022-06-23,F,115045171,,54.304534,-8.171792,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-drumcloon-house-main-street-upper-manorhamilton-co-leitrim/3944974
3941827,19341951,"Ronclai, Riversdale, Leitrim, Co. Leitrim",349000.0,190,190 m²,4,3,Detached,2022-08-10,C2,,,53.988422,-8.062154,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-ronclai-riversdale-leitrim-co-leitrim/3941827
3934945,19275457,"Cottage & C. 51 acres, Pottore, Aughnasheelan, Co. Leitrim","AMV: €175,000",N/A,,1,1,Detached,2022-08-10,SI_666,,,54.10260432191524,-7.870035714576147,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-cottage-c-51-acres-pottore-aughnasheelan-co-leitrim/3934945
3929193,19221386,"Derrybofin, Drumkeeran, Co. Leitrim",Price on Application,N/A,,3,2,Detached,2022-08-09,G,,,54.165328,-8.155814,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-derrybofin-drumkeeran-co-leitrim/3929193
3928867,19217604,"Eslinbridge, Mohill, Co. Leitrim",125000.0,99,99 m²,3,1,Detached,2022-08-05,D2,115028961,288.27 kWh/m2/yr,53.939211,-7.916986,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-eslinbridge-mohill-co-leitrim/3928867
3928466,19211917,"Carraun, Mohill, Co. Leitrim",95000.0,90,90 m²,3,1,Detached,2022-08-10,,,,53.9477974,-7.8449156,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-carraun-mohill-co-leitrim/3928466
3928276,19210863,"Cloonsheerevagh, Carrick-on-Shannon, Co. Leitrim",160000.0,80,80 m²,2,1,Detached,2022-08-09,SI_666,,,53.965659,-8.083469,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-cloonsheerevagh-carrick-on-shannon-co-leitrim/3928276
3927699,19204384,"Bellageeher, Bornacoola, Co. Leitrim",Price on Application,N/A,,2,1,Detached,2022-06-09,D1,,,53.839634,-7.8679,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-bellageeher-bornacoola-co-leitrim/3927699
3923075,19159842,"The Old School House, Augharan, Aughavas, Co. Leitrim",260000.0,133,133 m²,4,2,Detached,2022-08-09,D2,115011538,267.89 kWh/m2/yr,53.984123,-7.707374,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-the-old-school-house-augharan-aughavas-co-leitrim/3923075
3919226,19129014,"null, Keshcarrigan, Co. Leitrim",495000.0,250,250 m²,5,2,Detached,2022-08-10,D1,,,54.019378,-7.938315,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-null-keshcarrigan-co-leitrim/3919226
3917549,19112440,"Camderry, Glenfarne, Co. Leitrim",140000.0,N/A,,2,1,Detached,2022-08-09,G,,,54.285726,-8.047222,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-camderry-glenfarne-co-leitrim/3917549
3912398,19069017,"Tullintowell, Drumkeeran, Co. Leitrim",49950.0,N/A,,2,,Detached,2022-07-27,SI_666,,,54.169971,-8.145547,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-tullintowell-drumkeeran-co-leitrim/3912398
3912500,19069164,"Mullanyduff, Castlegal, Tullaghan, Co. Leitrim",39950.0,N/A,,1,1,Detached,2022-08-09,SI_666,,,54.45017610801898,-8.373063508010176,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-mullanyduff-castlegal-tullaghan-co-leitrim/3912500
3910814,19057239,"Cleen, Dromahair, Co. Leitrim",350000.0,176,176 m²,6,2,Detached,2022-08-10,D2,107660771,262.42 kWh/m2/yr,54.220052,-8.277752,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-cleen-dromahair-co-leitrim/3910814
3909311,19039943,"Tawnaleck, Rossinver, Co. Leitrim",250000.0,N/A,,3,1,Detached,2022-06-20,D2,110240603,290.04 kWh/m2/yr,54.398812,-8.129373,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-tawnaleck-rossinver-co-leitrim/3909311
3909065,19038310,"CARTHY'S BAR, Main Street, Leitrim, Co. Leitrim",Price on Application,250,250 m²,3,2,Detached,2022-08-10,C1,,,53.989914,-8.065211,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-carthys-bar-main-street-leitrim-co-leitrim/3909065
3907493,19024449,"The Old Bog Road, Wardhouse, Tullaghan, Co. Leitrim","AMV: €225,000",140,140 m²,4,2,Detached,2022-07-14,C1,,,54.462771,-8.353888,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-the-old-bog-road-wardhouse-tullaghan-co-leitrim/3907493
3906553,19019587,"Coolabaun, Mohill, Co. Leitrim",219000.0,120,120 m²,3,2,Detached,2022-08-09,C3,114999295,212.96 kWh/m2/yr,53.917396,-7.858403,Buy,LEITRIM,http://www.daft.ie/for-sale/detached-house-coolabaun-mohill-co-leitrim/3906553
