id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3917357,19110663,"Loughnagin Heights, Ramelton Road, Letterkenny, Co. Donegal",Price on Application,189,189 m²,3,3,Detached,2022-08-09,C2,114300643,194.31 kWh/m2/yr,54.971052,-7.692054,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-loughnagin-heights-ramelton-road-letterkenny-co-donegal/3917357
3915656,19096313,"Swilly View, Carnamuggagh Upper, Letterkenny, Co. Donegal",355000.0,190,190 m²,7,5,Detached,2022-08-09,D1,,,54.968692,-7.729893,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-swilly-view-carnamuggagh-upper-letterkenny-co-donegal/3915656
3911769,19064331,"Trimragh, Letterkenny, Co. Donegal",Price on Application,221,221 m²,4,3,Detached,2022-08-09,SI_666,,,54.946803,-7.658765,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-trimragh-letterkenny-co-donegal/3911769
3909705,19044776,"21 Thornberry, Letterkenny, Co. Donegal",220000.0,117,117 m²,4,1,Semi-D,2022-08-09,C2,,,54.973248,-7.72439,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/semi-detached-house-21-thornberry-letterkenny-co-donegal/3909705
3901129,18965780,"Ardrummond, Letterkenny, Co. Donegal",335000.0,140,140 m²,4,2,Detached,2022-08-09,C1,114838725,173.61 kWh/m2/yr,55.00288,-7.636625,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-ardrummond-letterkenny-co-donegal/3901129
3899215,18942136,"Carniseal, Cairn Low, Ramelton, Co. Donegal",2750000.0,659,659 m²,5,3,Detached,2022-08-09,D1,114378037,,55.047882,-7.63981,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-carniseal-cairn-low-ramelton-co-donegal/3899215
3892459,18883625,"Aughnish, Ramelton, Co. Donegal",158000.0,168,168 m²,4,1,Detached,2022-08-09,G,112234745,639.53 kWh/m2/yr,55.035466,-7.602025,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-aughnish-ramelton-co-donegal/3892459
3823889,18854315,"Glencar Scotch, Letterkenny, Co. Donegal",350000.0,138,138 m²,3,3,Detached,2022-08-03,C3,,,54.962586,-7.755238,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-glencar-scotch-letterkenny-co-donegal/3823889
3820129,18816316,"Kirkstown , Letterkenny, Co. Donegal",465000.0,N/A,,4,4,Detached,2022-08-10,SI_666,,,54.9609545004617,-7.77592219759787,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-kirkstown-letterkenny-co-donegal/3820129
3806624,18707568,"Drumman, Ramelton, Co. Donegal",369000.0,N/A,,4,3,Detached,2022-08-09,,,,55.040947,-7.704454,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-drumman-ramelton-co-donegal/3806624
3802086,18662636,"16 McNeely Villas, Letterkenny, Co. Donegal",159000.0,103,103 m²,4,1,Terrace,2022-08-09,D1,114824139,226.78 kWh/m2/yr,54.942455,-7.741239,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/terraced-house-16-mcneely-villas-letterkenny-co-donegal/3802086
3790994,18575781,"Tullygay, Letterkenny, Co. Donegal",375000.0,N/A,,4,3,Detached,2022-07-18,C2,105053680,196.44 kWh/m2/yr,54.935484,-7.797054,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-tullygay-letterkenny-co-donegal/3790994
3790424,18570878,"Drumacanoo, Churchill, Co. Donegal",Price on Application,245,245 m²,4,3,Detached,2022-08-03,A2,,,54.957485,-7.870978,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-drumacanoo-churchill-co-donegal/3790424
3789801,18566813,"47 Ceanann View, Letterkenny, Co. Donegal",165000.0,96,96 m²,3,3,Semi-D,2022-08-10,C2,114806169,193.17 kWh/m2/yr,54.97385,-7.73147,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/semi-detached-house-47-ceanann-view-letterkenny-co-donegal/3789801
3782417,18494806,"Pearse Road, Letterkenny, Co. Donegal",Price on Application,N/A,,4,3,Townhouse,2022-08-09,SI_666,,,54.94944439116645,-7.734182867403916,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/townhouse-pearse-road-letterkenny-co-donegal/3782417
3777104,18446791,"Ard Aoibhinn, Coolboy Big, Letterkenny, Co. Donegal",325000.0,192,192 m²,6,3,Detached,2022-08-03,C1,114283088,,55.004189,-7.749966,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-ard-aoibhinn-coolboy-big-letterkenny-co-donegal/3777104
3770361,18380941,"Alder Cottage, Derrora, Churchill, Co. Donegal",175000.0,65,65 m²,2,2,Detached,2022-08-10,G,113526800,596.0 kWh/m2/yr,54.956765,-7.905376,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/detached-house-alder-cottage-derrora-churchill-co-donegal/3770361
3751103,18242398,"6 College Row, Letterkenny, Co. Donegal",150000.0,N/A,,3,1,End of Terrace,2022-08-09,D1,,,54.951051,-7.742999,Buy,LETTERKENNY_AND_SURROUNDS_DONEGAL,http://www.daft.ie/for-sale/end-of-terrace-house-6-college-row-letterkenny-co-donegal/3751103
