id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3652182,17312826,"Curraghleas, Letterkenny, Co. Donegal",375000.0,N/A,,5,4,Detached,2022-08-04,C2,114565625,188.07 kWh/m2/yr,54.976231,-7.739017,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/detached-house-curraghleas-letterkenny-co-donegal/3652182
3645893,17224658,"1 Rymoghey Heights, Letterkenny, Co. Donegal",465000.0,240,240 m²,5,4,Detached,2022-08-03,B3,100493501,,54.9716556,-7.691707,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/detached-house-1-rymoghey-heights-letterkenny-co-donegal/3645893
3555258,16267697,"20 Lower Main Street, Letterkenny, Co. Donegal",250000.0,N/A,,4,1,Townhouse,2022-08-09,SI_666,,,54.948802,-7.737879,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/townhouse-20-lower-main-street-letterkenny-co-donegal/3555258
3283015,15212473,"1 Gort Na Gréine, Letterkenny, Co. Donegal",140000.0,N/A,,3,2,Semi-D,2022-08-10,C2,107047466,177.08 kWh/m2/yr,54.971007,-7.735693,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/semi-detached-house-1-gort-na-gr-ine-letterkenny-co-donegal/3283015
15518,11497450,"Archthorn, Lower Dromore, Letterkenny, Co. Donegal",495000.0,465,465 m²,6,7,Detached,2022-07-04,B2,,115.87 kWh/m2/yr,54.9452929,-7.6840723,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/detached-house-archthorn-lower-dromore-letterkenny-co-donegal/15518
23561,11355965,"1 Droim Ard Avenue, Loughnagin, Letterkenny, Co. Donegal",450000.0,256,256 m²,5,3,Detached,2022-07-10,,,,54.9720949,-7.6885591,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/detached-house-1-droim-ard-avenue-loughnagin-letterkenny-co-donegal/23561
3652182,17312826,"Curraghleas, Letterkenny, Co. Donegal",375000.0,N/A,,5,4,Detached,2022-08-04,C2,114565625,188.07 kWh/m2/yr,54.976231,-7.739017,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/detached-house-curraghleas-letterkenny-co-donegal/3652182
3645893,17224658,"1 Rymoghey Heights, Letterkenny, Co. Donegal",465000.0,240,240 m²,5,4,Detached,2022-08-03,B3,100493501,,54.9716556,-7.691707,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/detached-house-1-rymoghey-heights-letterkenny-co-donegal/3645893
3555258,16267697,"20 Lower Main Street, Letterkenny, Co. Donegal",250000.0,N/A,,4,1,Townhouse,2022-08-09,SI_666,,,54.948802,-7.737879,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/townhouse-20-lower-main-street-letterkenny-co-donegal/3555258
3283015,15212473,"1 Gort Na Gréine, Letterkenny, Co. Donegal",140000.0,N/A,,3,2,Semi-D,2022-08-10,C2,107047466,177.08 kWh/m2/yr,54.971007,-7.735693,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/semi-detached-house-1-gort-na-gr-ine-letterkenny-co-donegal/3283015
15518,11497450,"Archthorn, Lower Dromore, Letterkenny, Co. Donegal",495000.0,465,465 m²,6,7,Detached,2022-07-04,B2,,115.87 kWh/m2/yr,54.9452929,-7.6840723,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/detached-house-archthorn-lower-dromore-letterkenny-co-donegal/15518
23561,11355965,"1 Droim Ard Avenue, Loughnagin, Letterkenny, Co. Donegal",450000.0,256,256 m²,5,3,Detached,2022-07-10,,,,54.9720949,-7.6885591,Buy,LETTERKENNY_DONEGAL,http://www.daft.ie/for-sale/detached-house-1-droim-ard-avenue-loughnagin-letterkenny-co-donegal/23561
