id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3908885,19035462,"36 Woodlawn Park, Ballysimon, Co. Limerick",235000.0,N/A,,3,1,Terrace,2022-08-10,D1,,250.0 kWh/m2/yr,52.653018,-8.602185,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-36-woodlawn-park-ballysimon-co-limerick/3908885
3906711,19019799,"17 County View Terrace, Ballinacurra, Co. Limerick",265000.0,N/A,,3,1,Terrace,2022-08-09,G,114857048,465.31 kWh/m2/yr,52.647085,-8.640345,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-17-county-view-terrace-ballinacurra-co-limerick/3906711
3906485,19019529,"68 Hyde Road, Prospect, Co. Limerick",75000.0,N/A,,3,1,Semi-D,2022-08-10,,,,52.652518,-8.626462,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-68-hyde-road-prospect-co-limerick/3906485
3901817,18973217,"Elsinore, South Circular Road, South Circular Road, Co. Limerick",420000.0,137,137 m²,4,1,Semi-D,2022-08-10,D2,,,52.653966,-8.637808,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-elsinore-south-circular-road-south-circular-road-co-limerick/3901817
3898284,18931117,"73 Merval Drive, Clareview, Ennis Road, Co. Limerick",290000.0,121,121 m²,3,1,Semi-D,2022-08-01,C3,114874381,212.14 kWh/m2/yr,52.672539,-8.647419,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-73-merval-drive-clareview-ennis-road-co-limerick/3898284
3894556,18897901,"143 Ballinacurra Gardens, Ballinacurra, Co. Limerick",Price on Application,117,117 m²,4,2,Semi-D,2022-08-04,D2,113254098,,52.645504,-8.636603,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-143-ballinacurra-gardens-ballinacurra-co-limerick/3894556
3824516,18856972,"Glencoe, Fortmary Park, North Circular Road, Co. Limerick",435000.0,137,137 m²,3,2,Semi-D,2022-07-01,C2,103399812,197.03 kWh/m2/yr,52.666138,-8.655307,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-glencoe-fortmary-park-north-circular-road-co-limerick/3824516
3240061,14955039,"14 Beechgrove Avenue, Ballinacurra Weston, Ballinacurra, Co. Limerick",Price on Application,129,129 m²,4,2,Terrace,2022-05-12,C2,113852164,180.16 kWh/m2/yr,52.649495,-8.631454,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-14-beechgrove-avenue-ballinacurra-weston-ballinacurra-co-limerick/3240061
3823241,18846995,"2 Mount Park, New Street SCR, Co. Limerick",269000.0,109,109 m²,4,2,Terrace,2022-08-10,C3,110940046,214.57 kWh/m2/yr,52.650828,-8.637641,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-2-mount-park-new-street-scr-co-limerick/3823241
3818492,18804359,"42 Island Road, Co. Limerick",155000.0,57,57 m²,2,1,Terrace,2022-08-04,E2,114843675,,52.669227,-8.621123,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-42-island-road-co-limerick/3818492
3817632,18798389,"4 Saint Bridgets Avenue, New Street, South Circular Road, Co. Limerick",245000.0,N/A,,3,1,End of Terrace,2022-08-01,E2,107254153,373.9 kWh/m2/yr,52.651502,-8.638721,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-4-saint-bridgets-avenue-new-street-south-circular-road-co-limerick/3817632
3796850,18619255,"5 Fairview Cottages, Mulgrave Street, Co. Limerick",170000.0,N/A,,3,2,End of Terrace,2022-08-09,B3,,,52.65784,-8.610994,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-5-fairview-cottages-mulgrave-street-co-limerick/3796850
3796734,18619217,"Claughaun Court, Garryowen, Garryowen, Co. Limerick",120000.0,N/A,,3,2,Detached,2022-07-29,D1,,,52.66044,-8.609217,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/detached-house-claughaun-court-garryowen-garryowen-co-limerick/3796734
3794214,18598707,"4 Clareview Avenue, Farranshone, Co. Limerick",255000.0,N/A,,3,2,Terrace,2022-08-09,E2,103757027,379.68 kWh/m2/yr,52.669684,-8.634689,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-4-clareview-avenue-farranshone-co-limerick/3794214
3792949,18586539,"17 Bracken Crescent, North Circular Road, North Circular Road, Co. Limerick",350000.0,122,122 m²,4,1,Semi-D,2022-08-10,D2,,,52.664526,-8.660593,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-17-bracken-crescent-north-circular-road-north-circular-road-co-limerick/3792949
3787325,18542198,"3 Clifton Ville, Ennis Road, Ennis Road, Co. Limerick",425000.0,155,155 m²,5,2,Semi-D,2022-04-12,SI_666,,,52.668372,-8.650011,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-3-clifton-ville-ennis-road-ennis-road-co-limerick/3787325
3777755,18454313,"71 Glasgow Park, (Limerick), Co. Limerick",Price on Application,N/A,,3,3,Detached,2022-08-10,,,,52.6516099,-8.6057065,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/detached-house-71-glasgow-park-limerick-co-limerick/3777755
3772195,18398987,"11 Corrib Drive, Clareview, Co. Limerick",265000.0,N/A,,3,1,Semi-D,2022-08-10,D2,102373545,273.84 kWh/m2/yr,52.671316,-8.656132,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-11-corrib-drive-clareview-co-limerick/3772195
3742904,18163821,"Cill Cais, Clanmaurice Avenue, North Circular Road, Co. Limerick",300000.0,100,100 m²,3,1,Semi-D,2022-08-10,G,114653413,512.67 kWh/m2/yr,52.665316,-8.636442,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-cill-cais-clanmaurice-avenue-north-circular-road-co-limerick/3742904
3714641,17904119,"3 Clyde Hill Mews, Alphonsus Street, Co. Limerick",210000.0,N/A,,3,2,Terrace,2022-08-09,D1,,258.59 kWh/m2/yr,52.657604,-8.636512,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-3-clyde-hill-mews-alphonsus-street-co-limerick/3714641
3706159,17825828,"83 Greenfields, Rosbrien, Co. Limerick",220000.0,N/A,,3,1,Semi-D,2022-08-10,D1,,250.0 kWh/m2/yr,52.64615,-8.632766,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-83-greenfields-rosbrien-co-limerick/3706159
3690347,17707146,"Lynville, 34 Bellefield Gardens, Ennis Road, Co. Limerick",450000.0,N/A,,3,1,Detached,2022-08-09,E2,,374.24 kWh/m2/yr,52.669017,-8.630994,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/detached-house-lynville-34-bellefield-gardens-ennis-road-co-limerick/3690347
3678688,17617870,"43 Mayorstone Avenue, Mayorstone, Ennis Road, Co. Limerick",279000.0,101,101 m²,3,2,Semi-D,2022-08-01,E2,103636015,351.45 kWh/m2/yr,52.673055,-8.642348,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-43-mayorstone-avenue-mayorstone-ennis-road-co-limerick/3678688
3660657,17421888,"Jackson`s Turret, Clancy Strand, Co. Limerick",Price on Application,N/A,,4,2,Detached,2022-08-09,SI_666,,,52.6674669,-8.6298835,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/detached-house-jackson-s-turret-clancy-strand-co-limerick/3660657
2586863,12730119,"1A Violet Cottages, Cross Road, Thomondgate, Co. Limerick",185000.0,98,98 m²,3,2,Terrace,2021-12-09,E2,100852581,376.17 kWh/m2/yr,52.671589,-8.633245,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-1a-violet-cottages-cross-road-thomondgate-co-limerick/2586863
3642837,17177325,"25 Keane Street, Killalee, Co. Limerick",140000.0,N/A,,3,1,Semi-D,2022-08-10,D1,,250.0 kWh/m2/yr,52.663221,-8.611864,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-25-keane-street-killalee-co-limerick/3642837
3554227,16254604,"Thomond Bridge House, Thomond Bridge, Co. Limerick",750000.0,N/A,,3,1,Detached,2022-08-10,,,,52.670154,-8.6283965,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/detached-house-thomond-bridge-house-thomond-bridge-co-limerick/3554227
3144036,14084525,"Edenmore, North Circular Road, North Circular Road, Co. Limerick",Price on Application,282,282 m²,5,3,Detached,2022-08-10,E1,113575429,319.35 kWh/m2/yr,52.660566,-8.654066,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/detached-house-edenmore-north-circular-road-north-circular-road-co-limerick/3144036
3908885,19035462,"36 Woodlawn Park, Ballysimon, Co. Limerick",235000.0,N/A,,3,1,Terrace,2022-08-10,D1,,250.0 kWh/m2/yr,52.653018,-8.602185,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-36-woodlawn-park-ballysimon-co-limerick/3908885
3906711,19019799,"17 County View Terrace, Ballinacurra, Co. Limerick",265000.0,N/A,,3,1,Terrace,2022-08-09,G,114857048,465.31 kWh/m2/yr,52.647085,-8.640345,Buy,LIMERICK_CITY_CENTRE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-17-county-view-terrace-ballinacurra-co-limerick/3906711
