id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3970581,19563479,"6 Knocklyon, Clonmacken, Co. Limerick",285000.0,N/A,,3,4,End of Terrace,2022-08-10,B3,,130.0 kWh/m2/yr,52.667005,-8.66724,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-6-knocklyon-clonmacken-co-limerick/3970581
3636275,17090412,"Woodland, Mill Road, Co. Limerick",1750000.0,250,250 m²,5,2,Detached,2022-07-08,SI_666,,,52.680207,-8.616461,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/detached-house-woodland-mill-road-co-limerick/3636275
3968079,19541280,"630 Chestnut Close, Elm Park, Castletroy, Co. Limerick",250000.0,N/A,,5,2,Semi-D,2022-08-09,E1,,,52.670036,-8.560589,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-630-chestnut-close-elm-park-castletroy-co-limerick/3968079
3969210,19551628,"147 Glanntan, Golf Links Road, Castletroy, Co. Limerick",299000.0,N/A,,3,3,Semi-D,2022-08-10,C3,108550823,212.88 kWh/m2/yr,52.656159,-8.561245,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-147-glanntan-golf-links-road-castletroy-co-limerick/3969210
3967469,19536852,"28 Bru Na Gruadan, Castletroy, Co. Limerick",220000.0,128,128 m²,5,2,Terrace,2022-07-06,B2,106839558,,52.66188,-8.575444,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/terraced-house-28-bru-na-gruadan-castletroy-co-limerick/3967469
3966046,19523435,"25 The Green, Kilteragh, Dooradoyle, Co. Limerick",275000.0,100,100 m²,3,2,Semi-D,2022-08-10,C3,115220410,169.1 kWh/m2/yr,52.637337,-8.637175,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-25-the-green-kilteragh-dooradoyle-co-limerick/3966046
3965078,19515129,"48 Kylemore, Old School House Road, Monaleen, Castletroy, Co. Limerick",495000.0,N/A,,5,4,Detached,2022-08-10,B2,,100.0 kWh/m2/yr,52.654128,-8.556389,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/detached-house-48-kylemore-old-school-house-road-monaleen-castletroy-co-limerick/3965078
3960154,19472780,"STORAN FLUID SYSTEMS, The Lodge, Saint Nessan's Road, Dooradoyle, Co. Limerick",375000.0,113,113 m²,1,1,Detached,2022-08-08,E2,800846669,120.27 kWh/m2/yr,52.638227,-8.653015,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/detached-house-storan-fluid-systems-the-lodge-saint-nessans-road-dooradoyle-co-limerick/3960154
3929018,19219013,"48 River Mews, Woodhaven, Castletroy, Co. Limerick",345000.0,123,123 m²,4,2,Semi-D,2022-07-13,C1,107975773,,52.66432,-8.550265,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-48-river-mews-woodhaven-castletroy-co-limerick/3929018
3959145,19462391,"55 Carrigeen, Annacotty, Co. Limerick",275000.0,N/A,,3,3,End of Terrace,2022-08-10,,,,52.664212,-8.533901,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-55-carrigeen-annacotty-co-limerick/3959145
3770882,18386712,"20 Mulcair Road, Raheen, Co. Limerick",275000.0,110,110 m²,3,2,Semi-D,2022-08-10,C2,103531315,195.13 kWh/m2/yr,52.630084,-8.649708,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-20-mulcair-road-raheen-co-limerick/3770882
3956263,19435801,"Tobar Phadraig, Sli Na Manach, Mungret, Co. Limerick",Price on Application,100,100 m²,3,3,Terrace,2022-08-10,A2,115052557,47.96 kWh/m2/yr,52.636356,-8.67493,Buy,LIMERICK_CITY_SUBURBS_LIMERICK,http://www.daft.ie/for-sale/terraced-house-tobar-phadraig-sli-na-manach-mungret-co-limerick/3956263
