id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3930419,19233555,"The Vale, Murgasty, Tipperary Town, Co. Tipperary",450000.0,N/A,,6,1,Detached,2022-08-10,,,,52.4791263,-8.1631298,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-the-vale-murgasty-tipperary-town-co-tipperary/3930419
3929602,19226446,"Pigeon Hill House, Ballymorris, Cratloe, Co. Clare",650000.0,N/A,0.4 ac,5,5,Detached,2022-08-10,C2,114499122,181.89 kWh/m2/yr,52.698543,-8.756834,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-pigeon-hill-house-ballymorris-cratloe-co-clare/3929602
3929004,19219006,"Cloughkeating, Patrickswell, Co. Limerick",300000.0,127,127 m²,5,2,Detached,2022-08-04,D2,114586878,,52.616212,-8.683824,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-cloughkeating-patrickswell-co-limerick/3929004
3924435,19171236,"St. Patrick's, Drombanna, Co. Limerick",490000.0,163,163 m²,4,2,Detached,2022-08-10,C2,,,52.622891,-8.585434,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-st-patricks-drombanna-co-limerick/3924435
3923510,19161966,"Ballinahinch, Co. Tipperary",220000.0,98,98 m²,3,1,Detached,2022-08-10,F,,,52.767917,-8.382072,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-ballinahinch-co-tipperary/3923510
3921135,19147422,"Ballyadam, Pallasgreen, Co. Limerick",495000.0,N/A,,5,3,Detached,2022-08-10,A3,,70.0 kWh/m2/yr,52.578089,-8.425234,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-ballyadam-pallasgreen-co-limerick/3921135
3920769,19142964,"3 Anaghmore View, Sooreeney, Sixmilebridge, Co. Clare",460000.0,230,230 m²,4,3,Detached,2022-08-09,B2,114886799,117.76 kWh/m2/yr,52.755943,-8.771408,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-3-anaghmore-view-sooreeney-sixmilebridge-co-clare/3920769
3918924,19125831,"Knockroe, Kildimo, Co. Limerick",280000.0,153,153 m²,4,2,Detached,2022-06-09,E2,,,52.618074,-8.810886,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-knockroe-kildimo-co-limerick/3918924
3918241,19121118,"`Ashdown`, Ballinulty, Cullen, Tipperary Town, Co. Tipperary",450000.0,N/A,,4,3,Detached,2022-08-10,D1,,225.0 kWh/m2/yr,52.504732,-8.253921,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house--ashdown-ballinulty-cullen-tipperary-town-co-tipperary/3918241
3917999,19117326,"Erinagh, Clonlara, Co. Clare",Price on Application,233,233 m²,6,2,Detached,2022-08-04,C1,113256366,,52.725721,-8.520389,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-erinagh-clonlara-co-clare/3917999
3909903,19045841,"Bearys Cross, Boher, Co. Limerick",450000.0,244,244 m²,5,4,Detached,2022-08-10,C1,114525579,152.4 kWh/m2/yr,52.617666,-8.476698,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-bearys-cross-boher-co-limerick/3909903
3909767,19045710,"Breskamore, Patrickswell, Co. Limerick",395000.0,210,210 m²,5,2,Detached,2022-08-04,C2,114866965,196.42 kWh/m2/yr,52.608735,-8.739028,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-breskamore-patrickswell-co-limerick/3909767
3900902,18963948,"Granagh, Granagh, Co. Limerick",355000.0,N/A,,4,3,Detached,2022-07-22,D2,114512122,,52.45733,-8.764134,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-granagh-granagh-co-limerick/3900902
3899002,18941439,"Rosings Stud Farm, Kildimo, Co. Limerick",1200000.0,338,338 m²,5,5,Detached,2022-08-05,B1,,,52.615366,-8.842696,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-rosings-stud-farm-kildimo-co-limerick/3899002
3898793,18938155,"Skagh, Croom, Co. Limerick",500000.0,N/A,,5,3,Detached,2022-08-09,C3,,,52.524992,-8.713719,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-skagh-croom-co-limerick/3898793
3894648,18898963,"Brickhill West, Cratloe, Co. Clare",420000.0,199,199 m²,6,2,Detached,2022-08-10,C3,114524861,,52.698666,-8.767715,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-brickhill-west-cratloe-co-clare/3894648
3894381,18896193,"Cloughoolia, Sixmilebridge, Co. Clare",430000.0,255,255 m²,5,3,Detached,2022-08-10,C2,114426372,180.4 kWh/m2/yr,52.756321,-8.70291,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-cloughoolia-sixmilebridge-co-clare/3894381
3894165,18895856,"8 Ballycasey Close, Shannon, Co. Clare",380000.0,144,144 m²,4,3,Detached,2022-06-29,C2,103139267,,52.712209,-8.860837,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-8-ballycasey-close-shannon-co-clare/3894165
3817055,18791532,"2 Woodbrook, Wood Road, Cratloe, Co. Clare",625000.0,250,250 m²,5,3,Detached,2022-08-10,C2,,,52.693172,-8.731358,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-2-woodbrook-wood-road-cratloe-co-clare/3817055
3818512,18804369,"6 Cúirt an Droichead, Sixmilebridge, Co. Clare",235000.0,99,99 m²,3,2,Detached,2022-08-09,C3,114585680,221.34 kWh/m2/yr,52.740972,-8.773813,Buy,LIMERICK_COMMUTER_TOWNS_LIMERICK,http://www.daft.ie/for-sale/detached-house-6-c-irt-an-droichead-sixmilebridge-co-clare/3818512
