id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3932966,19254991,"The Rockery, Shelbourne Villas, Farranshone, Co. Limerick",295000.0,92,92 m²,2,2,Terrace,2022-06-15,C1,,,52.669235,-8.635174,Buy,LIMERICK_INSTITUTE_OF_TECHNOLOGY_LIMERICK,http://www.daft.ie/for-sale/terraced-house-the-rockery-shelbourne-villas-farranshone-co-limerick/3932966
3932959,19254988,"Emilough, Ballinacurra Road, Ballinacurra, Co. Limerick",Price on Application,119,119 m²,3,2,Semi-D,2022-08-04,C3,105014765,,52.645315,-8.643339,Buy,LIMERICK_INSTITUTE_OF_TECHNOLOGY_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-emilough-ballinacurra-road-ballinacurra-co-limerick/3932959
3929781,19227447,"31 Coolraine Estate, Ennis Road, Co. Limerick",335000.0,108,108 m²,3,2,Semi-D,2022-08-10,E2,104159850,347.76 kWh/m2/yr,52.671046,-8.646119,Buy,LIMERICK_INSTITUTE_OF_TECHNOLOGY_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-31-coolraine-estate-ennis-road-co-limerick/3929781
3928398,19211053,"1 Alandale Close, Ashbourne Avenue, Co. Limerick",250000.0,N/A,,3,1,Terrace,2022-08-09,D1,101476646,235.76 kWh/m2/yr,52.652681,-8.646189,Buy,LIMERICK_INSTITUTE_OF_TECHNOLOGY_LIMERICK,http://www.daft.ie/for-sale/terraced-house-1-alandale-close-ashbourne-avenue-co-limerick/3928398
3926749,19194970,"5 Clonile, Old Cratloe Road, Co. Limerick",290000.0,N/A,,4,5,Detached,2022-08-09,C3,115036337,208.97 kWh/m2/yr,52.680086,-8.662368,Buy,LIMERICK_INSTITUTE_OF_TECHNOLOGY_LIMERICK,http://www.daft.ie/for-sale/detached-house-5-clonile-old-cratloe-road-co-limerick/3926749
3920250,19138469,"17 St. James Court, Ennis Road, Co. Limerick",335000.0,N/A,,3,1,Semi-D,2022-07-29,D2,,285.49 kWh/m2/yr,52.66717,-8.654337,Buy,LIMERICK_INSTITUTE_OF_TECHNOLOGY_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-17-st-james-court-ennis-road-co-limerick/3920250
3906711,19019799,"17 County View Terrace, Ballinacurra, Co. Limerick",265000.0,N/A,,3,1,Terrace,2022-08-09,G,114857048,465.31 kWh/m2/yr,52.647085,-8.640345,Buy,LIMERICK_INSTITUTE_OF_TECHNOLOGY_LIMERICK,http://www.daft.ie/for-sale/terraced-house-17-county-view-terrace-ballinacurra-co-limerick/3906711
3906485,19019529,"68 Hyde Road, Prospect, Co. Limerick",75000.0,N/A,,3,1,Semi-D,2022-08-10,,,,52.652518,-8.626462,Buy,LIMERICK_INSTITUTE_OF_TECHNOLOGY_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-68-hyde-road-prospect-co-limerick/3906485
3901817,18973217,"Elsinore, South Circular Road, South Circular Road, Co. Limerick",420000.0,137,137 m²,4,1,Semi-D,2022-08-10,D2,,,52.653966,-8.637808,Buy,LIMERICK_INSTITUTE_OF_TECHNOLOGY_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-elsinore-south-circular-road-south-circular-road-co-limerick/3901817
3898611,18934814,"13 Alderwood Avenue, Caherdavin Heights, Caherdavin, Co. Limerick",230000.0,97,97 m²,3,1,Semi-D,2022-08-10,D2,101011054,268.25 kWh/m2/yr,52.67541,-8.660503,Buy,LIMERICK_INSTITUTE_OF_TECHNOLOGY_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-13-alderwood-avenue-caherdavin-heights-caherdavin-co-limerick/3898611
