id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3274899,15158271,"Cloonshannagh, Rooskey, Co. Roscommon",Price on Application,N/A,,3,1,Detached,2022-05-23,D2,,,53.778741,-7.931844,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-cloonshannagh-rooskey-co-roscommon/3274899
19005,1666055,"Cloonmore, Tarmonbarry, Co. Roscommon",Price on Application,N/A,,3,1,Detached,2022-05-23,,,,53.7498378960734,-7.918288706423482,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-cloonmore-tarmonbarry-co-roscommon/19005
3902007,18975238,"4 The Willows, Clonbalt Wood, Longford Town, Co. Longford",279000.0,165,165 m²,4,3,Detached,2022-05-20,B3,112823323,148.51 kWh/m2/yr,53.746642,-7.798262,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-4-the-willows-clonbalt-wood-longford-town-co-longford/3902007
3898871,18939767,"24 Woodlands, Longford Town, Co. Longford",325000.0,178,178 m²,4,2,Detached,2022-08-10,D1,114882988,243.42 kWh/m2/yr,53.734818,-7.793776,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-24-woodlands-longford-town-co-longford/3898871
3823039,18845446,"33 Canal Green, Prospect Wood, Longford",225000.0,N/A,,4,3,Detached,2022-05-17,C3,,,53.717175,-7.798388,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-33-canal-green-prospect-wood-longford/3823039
3808225,18725915,"2 Oaklands Avenue, Longford Town, Co. Longford",306500.0,184,184 m²,5,2,Detached,2022-06-18,C3,100143098,201.33 kWh/m2/yr,53.73013,-7.777391,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-2-oaklands-avenue-longford-town-co-longford/3808225
3789549,18564919,"Ballintempan, Longford",129950.0,70,70 m²,2,1,Detached,2022-08-03,G,,,53.679373,-7.828763,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-ballintempan-longford/3789549
3782660,18498798,"5 Taghshinny Lodge, Chapel Lane, Longford",112500.0,65,65 m²,3,1,Terrace,2022-08-10,D2,114508906,262.52 kWh/m2/yr,53.727362,-7.798493,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/terraced-house-5-taghshinny-lodge-chapel-lane-longford/3782660
3781875,18491489,"Kilmore Lower, Clondra, Co. Longford",249000.0,125,125 m²,4,1,Detached,2022-04-07,E1,114742786,331.94 kWh/m2/yr,53.725189,-7.871762,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-kilmore-lower-clondra-co-longford/3781875
3779672,18472467,"29 Gleann Riada, Longford",79000.0,N/A,,3,3,Terrace,2022-08-04,C3,,,53.720737,-7.816526,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/terraced-house-29-gleann-riada-longford/3779672
3757892,18294080,"4 Cumiskey's Cottages, Enybegs, Drumlish, Co. Longford",Price on Application,77,77 m²,3,2,Detached,2022-06-22,C2,114329675,187.84 kWh/m2/yr,53.776696,-7.737616,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-4-cumiskeys-cottages-enybegs-drumlish-co-longford/3757892
3755656,18277646,"10 Harbour Row, Longford Town, Co. Longford",150000.0,102,102 m²,3,2,End of Terrace,2022-08-02,D2,,,53.726135,-7.801722,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/end-of-terrace-house-10-harbour-row-longford-town-co-longford/3755656
3736445,18107020,"27 The Mill, Clondra, Co. Longford",189500.0,167,167 m²,4,4,Townhouse,2022-08-03,C1,100231489,157.88 kWh/m2/yr,53.731946,-7.908004,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/townhouse-27-the-mill-clondra-co-longford/3736445
3701262,17804053,"4 Castle Gardens, Newtownforbes, Co. Longford",149000.0,102,102 m²,3,1,End of Terrace,2022-08-04,D2,,,53.767718,-7.834529,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/end-of-terrace-house-4-castle-gardens-newtownforbes-co-longford/3701262
3616520,16943391,"Battery Road, Longford Town, Co. Longford",249000.0,124,124 m²,4,1,Detached,2021-11-24,G,114486848,571.84 kWh/m2/yr,53.738094,-7.800497,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-battery-road-longford-town-co-longford/3616520
1523912,12415870,"11 Congress Terrace, Longford Town, Co. Longford",159000.0,76,76 m²,2,1,Terrace,2022-08-04,E1,,,53.725742,-7.80499,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/terraced-house-11-congress-terrace-longford-town-co-longford/1523912
3439532,15518995,"Feraghfad, Longford",75000.0,N/A,,3,1,Detached,2022-06-25,G,,,53.713637,-7.75729,Buy,LONGFORD_TOWN_AND_SURROUNDS_LONGFORD,http://www.daft.ie/for-sale/detached-house-feraghfad-longford/3439532
