id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3928226,19209574,"Nivard House, Red Gap, Drogheda, Co. Louth",695000.0,360,360 m²,5,4,Detached,2022-08-10,D2,114142870,267.07 kWh/m2/yr,53.780506,-6.414811,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-nivard-house-red-gap-drogheda-co-louth/3928226
3965304,19517237,"3 Saint Mary's Villas, Drogheda, Co. Louth",410000.0,183,183 m²,5,2,Detached,2022-08-08,D2,115052342,299.15 kWh/m2/yr,53.711989,-6.338563,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-3-saint-marys-villas-drogheda-co-louth/3965304
3965239,19517205,"28 Waterview, Lower Point Road, Dundalk, Co. Louth",495000.0,N/A,,4,3,Detached,2022-08-02,B3,115210007,134.34 kWh/m2/yr,54.004801,-6.348315,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-28-waterview-lower-point-road-dundalk-co-louth/3965239
3964484,19511269,"14 Boyne Lodge, Slane Road, Drogheda, Co. Louth",350000.0,129,129 m²,4,2,Detached,2022-08-02,C2,104312665,184.1 kWh/m2/yr,53.720156,-6.37957,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-14-boyne-lodge-slane-road-drogheda-co-louth/3964484
3963989,19507086,"Greatwood, Ardee, Co. Louth",399000.0,210,210 m²,5,4,Detached,2022-08-05,B3,105376784,128.49 kWh/m2/yr,53.898437,-6.676491,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-greatwood-ardee-co-louth/3963989
3962346,19497427,"The Rock Road, Blackrock, Co. Louth",580000.0,170,170 m²,5,3,Detached,2022-07-09,F,115187346,386.73 kWh/m2/yr,53.963427,-6.379777,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-the-rock-road-blackrock-co-louth/3962346
3961692,19489348,"Chapel Hill (Folio LH29315F), Knocknagoran, Omeath, Co. Louth",310000.0,N/A,,4,1,Detached,2022-08-10,B3,102949740,134.22 kWh/m2/yr,54.081561,-6.260679,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-chapel-hill-folio-lh29315f-knocknagoran-omeath-co-louth/3961692
3960449,19476982,"Mullamore, Tallanstown, Co. Louth",360000.0,150,150 m²,4,3,Detached,2022-06-30,E1,115194524,322.19 kWh/m2/yr,53.900159,-6.569532,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-mullamore-tallanstown-co-louth/3960449
3959694,19468985,"5 Distillery Lane, Ashwalk, Ardee, Co. Louth",145000.0,67,67 m²,2,1,Detached,2022-08-08,C1,106960784,172.3 kWh/m2/yr,53.855705,-6.540515,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-5-distillery-lane-ashwalk-ardee-co-louth/3959694
3905598,19009196,"3 The Rise, Mount Avenue, Dundalk, Co. Louth",550000.0,N/A,,4,3,Detached,2022-08-10,C2,106655137,,54.014135,-6.427228,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-3-the-rise-mount-avenue-dundalk-co-louth/3905598
3959163,19462444,"Lower Jenkinstown, Dundalk, Co. Louth",180000.0,N/A,,2,1,Detached,2022-06-30,G,105587836,532.64 kWh/m2/yr,54.024248,-6.300812,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-lower-jenkinstown-dundalk-co-louth/3959163
3959138,19462355,"Dundalk Street, Carlingford, Co. Louth",295000.0,132,132 m²,4,5,Detached,2022-08-10,C2,115186918,,54.0367262,-6.1849876,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-dundalk-street-carlingford-co-louth/3959138
3959042,19460202,"Apartment 2, Nicholas Court, Nicholas Street, Dundalk, Co. Louth",135000.0,N/A,,2,1,Detached,2022-08-05,E1,114790827,317.96 kWh/m2/yr,54.009205,-6.401282,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-apartment-2-nicholas-court-nicholas-street-dundalk-co-louth/3959042
3945355,19375360,"Back Lane, Carlingford, Co. Louth",225000.0,N/A,,2,1,Detached,2022-08-09,D2,115197204,293.24 kWh/m2/yr,54.042898,-6.187903,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-back-lane-carlingford-co-louth/3945355
3958559,19456516,"Templetown, Carlingford, Co. Louth",Price on Application,90,90 m²,2,1,Detached,2022-06-30,G,114765381,586.01 kWh/m2/yr,53.982519,-6.167791,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-templetown-carlingford-co-louth/3958559
3949714,19419730,"Tullykeel, Ardee, Co. Louth",449000.0,239,239 m²,4,3,Detached,2022-08-04,C2,,,53.891432,-6.639772,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-tullykeel-ardee-co-louth/3949714
3947542,19399520,"7 Parkwood, Roschoill, Drogheda, Co. Louth",395000.0,136,136 m²,4,2,Detached,2022-06-24,D1,115157422,,53.709213,-6.315753,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-7-parkwood-roschoill-drogheda-co-louth/3947542
3946044,19381140,"10 Heathergate Court, Stoney Lane, Ardee, Co. Louth",365000.0,197,197 m²,5,3,Detached,2022-08-10,B3,,,53.845427,-6.543439,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-10-heathergate-court-stoney-lane-ardee-co-louth/3946044
3804352,18684389,"Nivard House, Redgap, Drogheda, Co. Louth",695000.0,N/A,,6,4,Detached,2022-07-19,D2,,,53.780505,-6.414814,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-nivard-house-redgap-drogheda-co-louth/3804352
3943160,19354893,"7 Five Oaks, Dublin Road, Drogheda, Co. Louth",435000.0,152,152 m²,4,3,Detached,2022-08-08,D1,100855006,246.27 kWh/m2/yr,53.704679,-6.323374,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-7-five-oaks-dublin-road-drogheda-co-louth/3943160
3942038,19343279,"1 Potters Field Drive, Cappocksgreen, Ardee, Co. Louth",430000.0,N/A,,4,3,Detached,2022-08-09,A2,,,53.858949,-6.531827,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-1-potters-field-drive-cappocksgreen-ardee-co-louth/3942038
3939084,19315511,"53 Harbour Cottages, Carlingford, Co. Louth",379900.0,140,140 m²,4,3,Detached,2022-08-10,SI_666,,,54.04055,-6.178573,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-53-harbour-cottages-carlingford-co-louth/3939084
3937917,19304331,"Begrath, Tullyallen, Co. Louth",395000.0,N/A,,4,2,Detached,2022-06-17,D2,,,53.74916,-6.429802,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-begrath-tullyallen-co-louth/3937917
3937739,19302557,"6 Carlinn Hall, Mullaharlin Road, Dundalk, Co. Louth",400000.0,155,155 m²,4,4,Detached,2022-08-10,B3,105323372,146.24 kWh/m2/yr,53.981986,-6.398365,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-6-carlinn-hall-mullaharlin-road-dundalk-co-louth/3937739
3934852,19275323,"The Leap, Point Road, Dundalk, Co. Louth",435000.0,238,238 m²,5,2,Detached,2022-07-23,C3,,,54.004838,-6.354196,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-the-leap-point-road-dundalk-co-louth/3934852
3934277,19268485,"33 Lisroland View, Knockbridge, Co. Louth",420000.0,242,242 m²,4,3,Detached,2022-08-08,C1,,,53.974128,-6.484982,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-33-lisroland-view-knockbridge-co-louth/3934277
3934194,19267685,"Ballyregan, Killanny, Carrickmacross, Co. Monaghan",120000.0,N/A,,2,1,Detached,2022-08-10,,,,53.93715920506,-6.6396081142334,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-ballyregan-killanny-carrickmacross-co-monaghan/3934194
3933781,19263737,"55 Belfry Avenue, Saint Alphonsus Road, Dundalk, Co. Louth",385000.0,140,140 m²,4,3,Detached,2022-08-10,C1,115048126,,53.995626,-6.387663,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-55-belfry-avenue-saint-alphonsus-road-dundalk-co-louth/3933781
3927218,19200338,"THE OLD RECTORY, The Rectory, Ardee, Co. Louth",350000.0,284,284 m²,6,4,Detached,2022-08-10,G,,,53.854624,-6.546316,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-the-old-rectory-the-rectory-ardee-co-louth/3927218
3932291,19247061,"Kilcroney, Readypenny, Dundalk, Co. Louth",320000.0,N/A,,4,3,Detached,2022-07-07,D1,105887129,228.18 kWh/m2/yr,53.919016,-6.522181,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-kilcroney-readypenny-dundalk-co-louth/3932291
3929598,19226445,"24 School Lane, Dunleer, Co. Louth",249000.0,N/A,,3,1,Detached,2022-07-12,D1,110772779,,53.828686,-6.395718,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-24-school-lane-dunleer-co-louth/3929598
3929580,19224370,"Smarmore, Ardee, Co. Louth",525000.0,310,310 m²,4,3,Detached,2022-08-10,C1,114853625,168.98 kWh/m2/yr,53.810912,-6.566696,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-smarmore-ardee-co-louth/3929580
3926283,19191442,"Kilcroney, Readypenny , Dundalk, Co. Louth",295000.0,140,140 m²,4,1,Detached,2022-08-09,F,114739923,438.9 kWh/m2/yr,53.933713,-6.516336,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-kilcroney-readypenny-dundalk-co-louth/3926283
3920944,19144632,"Sheetland Lodge, Sheetland Road, Termonfeckin, Co. Louth",690000.0,429,429 m²,6,6,Detached,2022-08-02,C3,,,53.760726,-6.297516,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-sheetland-lodge-sheetland-road-termonfeckin-co-louth/3920944
3915778,19096708,"Deckmar House, Cliven, Dunleer, Co. Louth",675000.0,307,307 m²,5,5,Detached,2022-06-02,B1,114880057,87.15 kWh/m2/yr,53.824896,-6.451105,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-deckmar-house-cliven-dunleer-co-louth/3915778
3906815,19021536,"Deerpark Road, Ravensdale, Dundalk, Co. Louth",1900000.0,555,555 m²,4,5,Detached,2022-08-09,C1,112718796,,54.034675,-6.34473,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-deerpark-road-ravensdale-dundalk-co-louth/3906815
3901043,18965633,"Aria di Mare, Seaview, Termonfeckin, Co. Louth",575000.0,223,223 m²,4,3,Detached,2022-08-09,C2,114877970,186.3 kWh/m2/yr,53.763938,-6.257868,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-aria-di-mare-seaview-termonfeckin-co-louth/3901043
3898762,18938044,"Louth Village Surgery, Louth, Co. Louth",Price on Application,75,75 m²,3,2,Detached,2022-05-18,SI_666,,,53.948801,-6.541701,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-louth-village-surgery-louth-co-louth/3898762
3891967,18880399,"Boyne View House, Trinity Gardens, Drogheda, Co. Louth",370000.0,182,182 m²,4,2,Detached,2022-08-03,D1,114871908,241.32 kWh/m2/yr,53.717751,-6.361618,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-boyne-view-house-trinity-gardens-drogheda-co-louth/3891967
3492070,15925985,"Drumcar, Dunleer, Co. Louth",375000.0,193,193 m²,5,2,Detached,2022-05-18,C2,114140452,188.33 kWh/m2/yr,53.858473,-6.375848,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-drumcar-dunleer-co-louth/3492070
3895371,18903838,"65 Lismore, Earlsfort, Blackrock, Co. Louth",425000.0,193,193 m²,5,3,Detached,2022-08-10,B2,105738637,112.61 kWh/m2/yr,53.963054,-6.385992,Buy,LOUTH,http://www.daft.ie/for-sale/detached-house-65-lismore-earlsfort-blackrock-co-louth/3895371
