id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3802320,18664354,"8 Seabury Heights, Malahide, Co. Dublin",610000.0,112,112 m²,4,2,Semi-D,2022-08-10,C2,,,53.454339,-6.187422,Buy,MALAHIDE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-8-seabury-heights-malahide-co-dublin/3802320
3894530,18897484,"Kinsealy Woods, Chapel Rd, Kinsealy, Kinsealy, Co. Dublin",525000.0,N/A,,3,3,Semi-D,2022-06-27,A2,,,53.42394355316205,-6.167710354771145,New Homes,MALAHIDE_DUBLIN,http://www.daft.ie/new-home-for-sale/semi-detached-house-3-bedroom-house-kinsealy-woods-kinsealy-woods-chapel-rd-kinsealy-kinsealy-co-dublin/3894530
3894529,18897485,"Kinsealy Woods, Chapel Rd, Kinsealy, Kinsealy, Co. Dublin",Price on Application,N/A,,4,3,Semi-D,2022-06-27,A2,,,53.42394355316205,-6.167710354771145,New Homes,MALAHIDE_DUBLIN,http://www.daft.ie/new-home-for-sale/semi-detached-house-4-bedroom-house-kinsealy-woods-kinsealy-woods-chapel-rd-kinsealy-kinsealy-co-dublin/3894529
3685466,17672939,"3 Marley, Grove Road, Malahide, Co. Dublin",1490000.0,205,205 m²,5,3,Detached,2022-08-10,C2,106419542,188.66 kWh/m2/yr,53.447814,-6.146629,Buy,MALAHIDE_DUBLIN,http://www.daft.ie/for-sale/detached-house-3-marley-grove-road-malahide-co-dublin/3685466
3760949,18312234,"35 Abbotts Hill, Malahide, Co. Dublin",3250000.0,487,487 m²,5,5,Detached,2022-08-10,B3,114731342,130.92 kWh/m2/yr,53.44584,-6.147619,Buy,MALAHIDE_DUBLIN,http://www.daft.ie/for-sale/detached-house-35-abbotts-hill-malahide-co-dublin/3760949
3743096,18167321,"Avondale, Swords Road, Malahide, Co. Dublin",3000000.0,N/A,,6,4,Detached,2022-06-21,SI_666,,,53.451522,-6.192246,Buy,MALAHIDE_DUBLIN,http://www.daft.ie/for-sale/detached-house-avondale-swords-road-malahide-co-dublin/3743096
3675754,17583489,"Casuarinas, Grove Road, Malahide, Co. Dublin",1695000.0,N/A,,4,2,Detached,2022-08-10,F,108097742,435.29 kWh/m2/yr,53.448408,-6.147178,Buy,MALAHIDE_DUBLIN,http://www.daft.ie/for-sale/detached-house-casuarinas-grove-road-malahide-co-dublin/3675754
3565293,16394962,"7 Broomfield, Malahide, Co. Dublin",1450000.0,223,223 m²,5,3,Detached,2022-08-10,C3,114384852,203.58 kWh/m2/yr,53.440446,-6.154933,Buy,MALAHIDE_DUBLIN,http://www.daft.ie/for-sale/detached-house-7-broomfield-malahide-co-dublin/3565293
3508316,16051721,"2 Railway Avenue, Malahide, Co. Dublin",630000.0,106,106 m²,2,2,End of Terrace,2022-08-10,F,114176142,389.67 kWh/m2/yr,53.4513246,-6.1552966,Buy,MALAHIDE_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-2-railway-avenue-malahide-co-dublin/3508316
1193990,12162338,"32 Abington, Malahide, Co. Dublin",Price on Application,464,464 m²,7,6,Detached,2022-06-23,,,,53.4460034,-6.1814426,Buy,MALAHIDE_DUBLIN,http://www.daft.ie/for-sale/detached-house-32-abington-malahide-co-dublin/1193990
2893928,13667579,"Blackwood Lodge, 3 Blackwoods, Blackwood Lane, Malahide, Co. Dublin",2200000.0,606,606 m²,6,4,Detached,2022-08-10,C1,107568560,160.82 kWh/m2/yr,53.432844,-6.149409,Buy,MALAHIDE_DUBLIN,http://www.daft.ie/for-sale/detached-house-blackwood-lodge-3-blackwoods-blackwood-lane-malahide-co-dublin/2893928
3802320,18664354,"8 Seabury Heights, Malahide, Co. Dublin",610000.0,112,112 m²,4,2,Semi-D,2022-08-10,C2,,,53.454339,-6.187422,Buy,MALAHIDE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-8-seabury-heights-malahide-co-dublin/3802320
