id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3899580,18949339,"Railway Gates, Newberry, Mallow, Co. Cork",150000.0,93,93 m²,2,1,Detached,2022-07-15,G,111316006,605.77 kWh/m2/yr,52.119741,-8.697108,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-railway-gates-newberry-mallow-co-cork/3899580
3770429,18382585,"Cregane, Gortnagraige, Mallow, Co. Cork",425000.0,297,297 m²,5,4,Detached,2022-07-14,B3,114729734,139.95 kWh/m2/yr,52.106364,-8.639045,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-cregane-gortnagraige-mallow-co-cork/3770429
3772689,18404131,"Carrig Demesne, Mallow, Co. Cork",500000.0,N/A,,4,4,Detached,2022-07-18,C1,114843568,162.68 kWh/m2/yr,52.15187,-8.563669,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-carrig-demesne-mallow-co-cork/3772689
3671141,17539155,"3 Gairdin Na Null, Hazelwood, Mallow, Co. Cork",700000.0,260,260 m²,4,4,Detached,2022-02-15,B2,114590649,112.43 kWh/m2/yr,52.189981,-8.643268,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-3-gairdin-na-null-hazelwood-mallow-co-cork/3671141
3622390,17000944,"10 Deal Yard Lane, Mallow, Co. Cork",100000.0,60,60 m²,1,1,End of Terrace,2022-07-08,G,114515695,824.93 kWh/m2/yr,52.137059,-8.646661,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-10-deal-yard-lane-mallow-co-cork/3622390
3552033,16241574,"Carrigcleena, Bweeng, Mallow, Co. Cork",550000.0,261,261 m²,5,5,Detached,2022-08-10,C1,110515152,171.18 kWh/m2/yr,52.057695,-8.691038,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-carrigcleena-bweeng-mallow-co-cork/3552033
2599210,12762842,"Dromahane, Mallow, Co. Cork",Price on Application,N/A,,1,1,Detached,2022-07-18,G,113427496,847.16 kWh/m2/yr,52.104938,-8.690611,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-dromahane-mallow-co-cork/2599210
3539727,16189563,"Cottage, Upper Dromahane, Dromahane, Co. Cork",Price on Application,110,110 m²,3,1,Detached,2022-05-13,C1,109875856,55.91 kWh/m2/yr,52.10341028475048,-8.690191982781641,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-cottage-upper-dromahane-dromahane-co-cork/3539727
3899580,18949339,"Railway Gates, Newberry, Mallow, Co. Cork",150000.0,93,93 m²,2,1,Detached,2022-07-15,G,111316006,605.77 kWh/m2/yr,52.119741,-8.697108,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-railway-gates-newberry-mallow-co-cork/3899580
3770429,18382585,"Cregane, Gortnagraige, Mallow, Co. Cork",425000.0,297,297 m²,5,4,Detached,2022-07-14,B3,114729734,139.95 kWh/m2/yr,52.106364,-8.639045,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-cregane-gortnagraige-mallow-co-cork/3770429
3772689,18404131,"Carrig Demesne, Mallow, Co. Cork",500000.0,N/A,,4,4,Detached,2022-07-18,C1,114843568,162.68 kWh/m2/yr,52.15187,-8.563669,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-carrig-demesne-mallow-co-cork/3772689
3671141,17539155,"3 Gairdin Na Null, Hazelwood, Mallow, Co. Cork",700000.0,260,260 m²,4,4,Detached,2022-02-15,B2,114590649,112.43 kWh/m2/yr,52.189981,-8.643268,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-3-gairdin-na-null-hazelwood-mallow-co-cork/3671141
3622390,17000944,"10 Deal Yard Lane, Mallow, Co. Cork",100000.0,60,60 m²,1,1,End of Terrace,2022-07-08,G,114515695,824.93 kWh/m2/yr,52.137059,-8.646661,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-10-deal-yard-lane-mallow-co-cork/3622390
3552033,16241574,"Carrigcleena, Bweeng, Mallow, Co. Cork",550000.0,261,261 m²,5,5,Detached,2022-08-10,C1,110515152,171.18 kWh/m2/yr,52.057695,-8.691038,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-carrigcleena-bweeng-mallow-co-cork/3552033
2599210,12762842,"Dromahane, Mallow, Co. Cork",Price on Application,N/A,,1,1,Detached,2022-07-18,G,113427496,847.16 kWh/m2/yr,52.104938,-8.690611,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-dromahane-mallow-co-cork/2599210
3539727,16189563,"Cottage, Upper Dromahane, Dromahane, Co. Cork",Price on Application,110,110 m²,3,1,Detached,2022-05-13,C1,109875856,55.91 kWh/m2/yr,52.10341028475048,-8.690191982781641,Buy,MALLOW_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-cottage-upper-dromahane-dromahane-co-cork/3539727
