id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3973729,19587997,"Apartment 222, Block G, The Waterside, Dublin 4",450000.0,66,66 m²,2,2,Apartment,2022-08-10,C3,,,53.342664,-6.234367,Buy,MILLTOWN_INSTITUTE_OF_THEOLOGY_AND_PHILOSOPHY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-222-block-g-the-waterside-dublin-4/3973729
3973674,19585984,"Apartment 74, The Stockyard, The Steelworks, Dublin 1",495000.0,105,105 m²,3,2,Apartment,2022-08-10,B3,103104154,26.3 kWh/m2/yr,53.35275,-6.25081,Buy,MILLTOWN_INSTITUTE_OF_THEOLOGY_AND_PHILOSOPHY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-74-the-stockyard-the-steelworks-dublin-1/3973674
3972917,19582577,"Apartment 36, The Pavilion, Roebuck Hill, Roebuck Road, Clonskeagh, Dublin 14",385000.0,76,76 m²,2,1,Apartment,2022-08-10,C3,112494018,,53.298478,-6.22018,Buy,MILLTOWN_INSTITUTE_OF_THEOLOGY_AND_PHILOSOPHY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-36-the-pavilion-roebuck-hill-roebuck-road-clonskeagh-dublin-14/3972917
3971458,19569080,"Aran House, Custom House Square, Dublin 1, IFSC, Dublin 1",280000.0,45,45 m²,1,1,Apartment,2022-07-23,A1,,,53.349617,-6.243003,Buy,MILLTOWN_INSTITUTE_OF_THEOLOGY_AND_PHILOSOPHY_DUBLIN,http://www.daft.ie/for-sale/apartment-aran-house-custom-house-square-dublin-1-ifsc-dublin-1/3971458
3971028,19567065,"Apartment 15, Donnybrook Green, Dublin 4",430000.0,59,59 m²,2,1,Apartment,2022-08-10,C3,,,53.312298,-6.228058,Buy,MILLTOWN_INSTITUTE_OF_THEOLOGY_AND_PHILOSOPHY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-15-donnybrook-green-dublin-4/3971028
3970937,19565695,"Apartment 35, Clarendon Hall, Dublin 2",245000.0,N/A,,1,1,Apartment,2022-08-10,E1,,,53.34055,-6.265843,Buy,MILLTOWN_INSTITUTE_OF_THEOLOGY_AND_PHILOSOPHY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-35-clarendon-hall-dublin-2/3970937
3967779,19539470,"Apartment 445, Cowper Downs, Dublin 6W",390000.0,68,68 m²,2,1,Apartment,2022-08-03,E2,,,53.31654,-6.263432,Buy,MILLTOWN_INSTITUTE_OF_THEOLOGY_AND_PHILOSOPHY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-445-cowper-downs-dublin-6w/3967779
3969206,19551479,"14 The Olde Dock, Little Ship Street, Dublin 8",325000.0,42,42 m²,2,1,Apartment,2022-08-10,E2,101516680,348.64 kWh/m2/yr,53.342034,-6.269566,Buy,MILLTOWN_INSTITUTE_OF_THEOLOGY_AND_PHILOSOPHY_DUBLIN,http://www.daft.ie/for-sale/apartment-14-the-olde-dock-little-ship-street-dublin-8/3969206
3968486,19544567,"26 Cherry Court, Terenure, Dublin 12",320000.0,43,43 m²,1,1,Apartment,2022-08-10,D2,115201832,271.62 kWh/m2/yr,53.3161836,-6.2845565,Buy,MILLTOWN_INSTITUTE_OF_THEOLOGY_AND_PHILOSOPHY_DUBLIN,http://www.daft.ie/for-sale/apartment-26-cherry-court-terenure-dublin-12/3968486
3968045,19541260,"Apartment 92, Cremorne, Greenmount Road, Terenure, Dublin 6",425000.0,75,75 m²,2,1,Apartment,2022-07-11,D2,115158768,267.75 kWh/m2/yr,53.309836,-6.279145,Buy,MILLTOWN_INSTITUTE_OF_THEOLOGY_AND_PHILOSOPHY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-92-cremorne-greenmount-road-terenure-dublin-6/3968045
