id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3800776,18650440,"8 Acres, Knocknacarra Road, Salthill, Co. Galway",265000.0,N/A,,2,1,Apartment,2022-08-07,D2,114667025,,53.258696,-9.101734,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-8-acres-knocknacarra-road-salthill-co-galway/3800776
3796759,18619229,"Apartment 75, Gort Na Coiribe, Headford Road, Co. Galway",275000.0,N/A,,2,2,Apartment,2022-08-07,C2,101249803,,53.285565,-9.049583,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-75-gort-na-coiribe-headford-road-co-galway/3796759
3780011,18476019,"17 Gleann Na Tra, Sandy Road, Co. Galway",220000.0,67,67 m²,2,1,Apartment,2022-08-10,D1,102667664,249.94 kWh/m2/yr,53.284051,-9.04207,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-17-gleann-na-tra-sandy-road-co-galway/3780011
3779365,18468419,"43 Sliabh Rioga, Letteragh Road, Rahoon, Co. Galway",210000.0,N/A,,1,1,Apartment,2022-08-08,B3,114554041,147.11 kWh/m2/yr,53.28038,-9.08907,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-43-sliabh-rioga-letteragh-road-rahoon-co-galway/3779365
3729916,18036757,"37 Arasain Na Mara, Grattan Road, Salthill, Co. Galway",395000.0,62,62 m²,2,1,Apartment,2022-08-10,C3,109909945,202.4 kWh/m2/yr,53.2635,-9.070354,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-37-arasain-na-mara-grattan-road-salthill-co-galway/3729916
3718521,17947684,"Apartment 26, Hynes Yard, Co. Galway",360000.0,85,85 m²,2,2,Apartment,2022-07-22,D2,100479278,232.38 kWh/m2/yr,53.271369,-9.050513,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-26-hynes-yard-co-galway/3718521
3700566,17795927,"Apartment 7, Rosmeen Court, Salthill, Co. Galway",350000.0,73,73 m²,2,2,Apartment,2022-08-09,D1,101386100,,53.265837,-9.071037,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-7-rosmeen-court-salthill-co-galway/3700566
3680506,17634197,"Apartment 6, Aran Court, Salthill, Co. Galway",195000.0,N/A,,1,1,Apartment,2022-08-07,F,107489569,,53.258583,-9.102105,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-6-aran-court-salthill-co-galway/3680506
2892062,13656519,"Apartment 33, Larnach, Co. Galway",170000.0,33,33 m²,1,1,Apartment,2022-07-25,D1,,,53.279756,-9.043714,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-33-larnach-co-galway/2892062
3800776,18650440,"8 Acres, Knocknacarra Road, Salthill, Co. Galway",265000.0,N/A,,2,1,Apartment,2022-08-07,D2,114667025,,53.258696,-9.101734,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-8-acres-knocknacarra-road-salthill-co-galway/3800776
3796759,18619229,"Apartment 75, Gort Na Coiribe, Headford Road, Co. Galway",275000.0,N/A,,2,2,Apartment,2022-08-07,C2,101249803,,53.285565,-9.049583,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-75-gort-na-coiribe-headford-road-co-galway/3796759
3780011,18476019,"17 Gleann Na Tra, Sandy Road, Co. Galway",220000.0,67,67 m²,2,1,Apartment,2022-08-10,D1,102667664,249.94 kWh/m2/yr,53.284051,-9.04207,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-17-gleann-na-tra-sandy-road-co-galway/3780011
3779365,18468419,"43 Sliabh Rioga, Letteragh Road, Rahoon, Co. Galway",210000.0,N/A,,1,1,Apartment,2022-08-08,B3,114554041,147.11 kWh/m2/yr,53.28038,-9.08907,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-43-sliabh-rioga-letteragh-road-rahoon-co-galway/3779365
3729916,18036757,"37 Arasain Na Mara, Grattan Road, Salthill, Co. Galway",395000.0,62,62 m²,2,1,Apartment,2022-08-10,C3,109909945,202.4 kWh/m2/yr,53.2635,-9.070354,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-37-arasain-na-mara-grattan-road-salthill-co-galway/3729916
3718521,17947684,"Apartment 26, Hynes Yard, Co. Galway",360000.0,85,85 m²,2,2,Apartment,2022-07-22,D2,100479278,232.38 kWh/m2/yr,53.271369,-9.050513,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-26-hynes-yard-co-galway/3718521
3700566,17795927,"Apartment 7, Rosmeen Court, Salthill, Co. Galway",350000.0,73,73 m²,2,2,Apartment,2022-08-09,D1,101386100,,53.265837,-9.071037,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-7-rosmeen-court-salthill-co-galway/3700566
3680506,17634197,"Apartment 6, Aran Court, Salthill, Co. Galway",195000.0,N/A,,1,1,Apartment,2022-08-07,F,107489569,,53.258583,-9.102105,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-6-aran-court-salthill-co-galway/3680506
2892062,13656519,"Apartment 33, Larnach, Co. Galway",170000.0,33,33 m²,1,1,Apartment,2022-07-25,D1,,,53.279756,-9.043714,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-33-larnach-co-galway/2892062
3964362,19511198,"82 Inishannagh Park, Newcastle, Co. Galway",245000.0,75,75 m²,3,1,Terrace,2022-08-10,E1,,,53.278098,-9.080894,Buy,NATIONAL_UNIVERSITY_OF_IRELAND_GALWAY_NUIG_GALWAY,http://www.daft.ie/for-sale/terraced-house-82-inishannagh-park-newcastle-co-galway/3964362
