id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3909523,19043331,"Kilberry, Navan, Co. Meath",525000.0,207,207 m²,6,2,Detached,2022-08-10,C3,,,53.7079775,-6.6770459,Buy,NAVAN_AND_SURROUNDS_MEATH,http://www.daft.ie/for-sale/detached-house-kilberry-navan-co-meath/3909523
3906279,19015964,"Penny Mist, 154 Woodlands, Navan, Co. Meath",395000.0,138,138 m²,4,3,Detached,2022-08-09,C1,101700284,170.03 kWh/m2/yr,53.647242,-6.681369,Buy,NAVAN_AND_SURROUNDS_MEATH,http://www.daft.ie/for-sale/detached-house-penny-mist-154-woodlands-navan-co-meath/3906279
3905907,19012263,"Danestown, Balrath, Navan, Co. Meath",465000.0,212,212 m²,4,2,Detached,2022-08-10,D1,,,53.603056,-6.519976,Buy,NAVAN_AND_SURROUNDS_MEATH,http://www.daft.ie/for-sale/detached-house-danestown-balrath-navan-co-meath/3905907
3236798,14931941,"Ardbraccan, Boyerstown, Navan, Co. Meath",Price on Application,91,91 m²,3,1,Detached,2022-07-01,F,113823181,436.28 kWh/m2/yr,53.638848,-6.751126,Buy,NAVAN_AND_SURROUNDS_MEATH,http://www.daft.ie/for-sale/detached-house-ardbraccan-boyerstown-navan-co-meath/3236798
3891600,18876500,"3 Verdun Place, Kentstown, Co. Meath",380000.0,175,175 m²,5,4,Detached,2022-08-10,B3,106129513,140.27 kWh/m2/yr,53.627708,-6.535884,Buy,NAVAN_AND_SURROUNDS_MEATH,http://www.daft.ie/for-sale/detached-house-3-verdun-place-kentstown-co-meath/3891600
3819918,18814998,"Grange, Bective, Navan, Co. Meath",525000.0,215,215 m²,4,3,Detached,2022-07-14,C2,,,53.605269,-6.660154,Buy,NAVAN_AND_SURROUNDS_MEATH,http://www.daft.ie/for-sale/detached-house-grange-bective-navan-co-meath/3819918
3813197,18754916,"8 St Ercs Terrace, Slane, Co. Meath",225000.0,92,92 m²,2,2,Detached,2022-08-10,F,113867568,395.09 kWh/m2/yr,53.710163,-6.549494,Buy,NAVAN_AND_SURROUNDS_MEATH,http://www.daft.ie/for-sale/detached-house-8-st-ercs-terrace-slane-co-meath/3813197
3795495,18607383,"Carrickmeen, 9 Saint Erc's Villas, Navan, Co. Meath",275000.0,104,104 m²,3,2,Detached,2022-07-22,G,114739592,495.95 kWh/m2/yr,53.660122,-6.678107,Buy,NAVAN_AND_SURROUNDS_MEATH,http://www.daft.ie/for-sale/detached-house-carrickmeen-9-saint-ercs-villas-navan-co-meath/3795495
3770581,18383786,"Castletown, Tara, Navan, Co. Meath",575000.0,186,186 m²,4,3,Detached,2022-08-10,C2,113809057,183.11 kWh/m2/yr,53.589458,-6.634621,Buy,NAVAN_AND_SURROUNDS_MEATH,http://www.daft.ie/for-sale/detached-house-castletown-tara-navan-co-meath/3770581
3753598,18270170,"Wilkinstown, Navan, Co. Meath",335000.0,147,147 m²,2,1,Detached,2022-08-10,E1,,,53.743659,-6.701197,Buy,NAVAN_AND_SURROUNDS_MEATH,http://www.daft.ie/for-sale/detached-house-wilkinstown-navan-co-meath/3753598
