id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3960043,19472724,"113 Balreask Village, Navan, Co. Meath",282500.0,97,97 m²,3,2,Semi-D,2022-08-04,C3,,203.25 kWh/m2/yr,53.640045,-6.695584,Buy,NAVAN_MEATH,http://www.daft.ie/for-sale/semi-detached-house-113-balreask-village-navan-co-meath/3960043
3958356,19452778,"29 Tara Court Square, Navan, Co. Meath",295000.0,110,110 m²,3,3,Semi-D,2022-08-10,D1,115183758,249.19 kWh/m2/yr,53.666422,-6.687859,Buy,NAVAN_MEATH,http://www.daft.ie/for-sale/semi-detached-house-29-tara-court-square-navan-co-meath/3958356
3957726,19448996,"116 Boyne View, Johnstown, Navan, Co. Meath",315000.0,117,117 m²,4,3,Semi-D,2022-08-09,C3,,,53.637906,-6.653765,Buy,NAVAN_MEATH,http://www.daft.ie/for-sale/semi-detached-house-116-boyne-view-johnstown-navan-co-meath/3957726
3955415,19425300,"45 Fitzherbert Court, Slane Road, Navan, Co. Meath",285000.0,N/A,,3,3,Semi-D,2022-08-10,C2,107252678,192.26 kWh/m2/yr,53.658899,-6.675369,Buy,NAVAN_MEATH,http://www.daft.ie/for-sale/semi-detached-house-45-fitzherbert-court-slane-road-navan-co-meath/3955415
3933584,19259889,"38 Chestnut Grove, Beaufort Place, Navan, Co. Meath",310000.0,97,97 m²,3,3,Semi-D,2022-08-09,C1,,,53.660696,-6.682293,Buy,NAVAN_MEATH,http://www.daft.ie/for-sale/semi-detached-house-38-chestnut-grove-beaufort-place-navan-co-meath/3933584
3938782,19312162,"18 Silverlawn, Navan, Co. Meath",265000.0,115,115 m²,3,1,Semi-D,2022-08-10,E1,,,53.660301,-6.689302,Buy,NAVAN_MEATH,http://www.daft.ie/for-sale/semi-detached-house-18-silverlawn-navan-co-meath/3938782
3938615,19309998,"2 Reask Crescent, Navan, Co. Meath","AMV: €125,000",N/A,,3,1,Terrace,2022-06-30,E1,114838345,307.11 kWh/m2/yr,53.639935,-6.699629,Buy,NAVAN_MEATH,http://www.daft.ie/for-sale/terraced-house-2-reask-crescent-navan-co-meath/3938615
3936526,19291901,"5 Waterville Crescent, Navan, Co. Meath",325000.0,N/A,,3,2,Semi-D,2022-08-10,D1,,,53.6646403,-6.6787893,Buy,NAVAN_MEATH,http://www.daft.ie/for-sale/semi-detached-house-5-waterville-crescent-navan-co-meath/3936526
3936205,19285841,"8 Beechmount Vale, Navan, Co. Meath",295000.0,109,109 m²,4,2,Semi-D,2022-08-10,C2,,,53.64461,-6.692195,Buy,NAVAN_MEATH,http://www.daft.ie/for-sale/semi-detached-house-8-beechmount-vale-navan-co-meath/3936205
3934667,19274266,"89 Old Balreask Woods, Navan, Co. Meath",355000.0,N/A,,5,3,Semi-D,2022-08-04,B3,102207958,132.09 kWh/m2/yr,53.635342,-6.671261,Buy,NAVAN_MEATH,http://www.daft.ie/for-sale/semi-detached-house-89-old-balreask-woods-navan-co-meath/3934667
