id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3928935,19218970,"Roseberry, Newbridge, Co. Kildare",450000.0,170,170 m²,4,3,Detached,2022-06-14,D1,,,53.192423,-6.802516,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-roseberry-newbridge-co-kildare/3928935
3928893,19217615,"Ashley House, Naas Road, Newbridge, Co. Kildare",450000.0,217,217 m²,4,1,Detached,2022-06-14,D2,105149413,284.42 kWh/m2/yr,53.183613,-6.789484,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-ashley-house-naas-road-newbridge-co-kildare/3928893
3928489,19213184,"120 Roseberry Hill, Newbridge, Co. Kildare",320000.0,112,112 m²,3,4,Semi-D,2022-08-10,B3,114861941,,53.192315,-6.811073,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-120-roseberry-hill-newbridge-co-kildare/3928489
3921248,19147534,"24 Ballymany Park, Newbridge, Co. Kildare",380000.0,166,166 m²,4,3,Semi-D,2022-08-09,D2,,,53.167867,-6.812904,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-24-ballymany-park-newbridge-co-kildare/3921248
3909942,19047916,"211 Moorefield Park, Newbridge, Co. Kildare",285000.0,110,110 m²,3,2,Semi-D,2022-08-08,D1,100550938,,53.172937,-6.802832,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-211-moorefield-park-newbridge-co-kildare/3909942
3907468,19024439,"An Tigh Bé¡n, Kilbelin, Newbridge, Co. Kildare",390000.0,119,119 m²,3,2,Detached,2022-05-27,E1,,,53.17141,-6.789994,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-an-tigh-b-n-kilbelin-newbridge-co-kildare/3907468
3894177,18895861,"12 The Court, Walshestown Park, Newbridge, Co. Kildare",480000.0,167,167 m²,4,3,Detached,2022-08-09,B3,114734106,,53.163797,-6.7901,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-12-the-court-walshestown-park-newbridge-co-kildare/3894177
3804484,18685108,"The Croft, Milltown, Milltown, Co. Kildare",449950.0,126,126 m²,3,2,Detached,2022-07-12,D1,109895391,294.81 kWh/m2/yr,53.203301,-6.866073,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-the-croft-milltown-milltown-co-kildare/3804484
3790252,18570869,"67 College Park, Newbridge, Co. Kildare",385000.0,107,107 m²,4,1,Detached,2022-08-09,D2,,,53.183868,-6.796874,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-67-college-park-newbridge-co-kildare/3790252
3749863,18233370,"Saint Joseph's, Canning Place, Newbridge, Co. Kildare",265000.0,N/A,,3,1,Detached,2022-08-10,D1,,,53.183933,-6.794218,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-saint-josephs-canning-place-newbridge-co-kildare/3749863
3718816,17952722,"85 College Orchard, Newbridge, Co. Kildare",285000.0,N/A,,3,2,Semi-D,2022-08-10,C3,,,53.187896,-6.798247,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-85-college-orchard-newbridge-co-kildare/3718816
3437417,15497255,"2 McGowan Terrace, Brownstown Lower, Newbridge, Co. Kildare",169950.0,83,83 m²,2,1,Terrace,2022-08-10,C3,,,53.136512,-6.839622,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/terraced-house-2-mcgowan-terrace-brownstown-lower-newbridge-co-kildare/3437417
1411418,12277298,"Crotanstown House, Crotanstown, The Curragh, Co. Kildare",1850000.0,N/A,,8,,Detached,2022-08-09,D2,112580022,,53.1558892,-6.8099583,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-crotanstown-house-crotanstown-the-curragh-co-kildare/1411418
3928935,19218970,"Roseberry, Newbridge, Co. Kildare",450000.0,170,170 m²,4,3,Detached,2022-06-14,D1,,,53.192423,-6.802516,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-roseberry-newbridge-co-kildare/3928935
3928893,19217615,"Ashley House, Naas Road, Newbridge, Co. Kildare",450000.0,217,217 m²,4,1,Detached,2022-06-14,D2,105149413,284.42 kWh/m2/yr,53.183613,-6.789484,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-ashley-house-naas-road-newbridge-co-kildare/3928893
3928489,19213184,"120 Roseberry Hill, Newbridge, Co. Kildare",320000.0,112,112 m²,3,4,Semi-D,2022-08-10,B3,114861941,,53.192315,-6.811073,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-120-roseberry-hill-newbridge-co-kildare/3928489
3921248,19147534,"24 Ballymany Park, Newbridge, Co. Kildare",380000.0,166,166 m²,4,3,Semi-D,2022-08-09,D2,,,53.167867,-6.812904,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-24-ballymany-park-newbridge-co-kildare/3921248
3909942,19047916,"211 Moorefield Park, Newbridge, Co. Kildare",285000.0,110,110 m²,3,2,Semi-D,2022-08-08,D1,100550938,,53.172937,-6.802832,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-211-moorefield-park-newbridge-co-kildare/3909942
3907468,19024439,"An Tigh Bé¡n, Kilbelin, Newbridge, Co. Kildare",390000.0,119,119 m²,3,2,Detached,2022-05-27,E1,,,53.17141,-6.789994,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-an-tigh-b-n-kilbelin-newbridge-co-kildare/3907468
3894177,18895861,"12 The Court, Walshestown Park, Newbridge, Co. Kildare",480000.0,167,167 m²,4,3,Detached,2022-08-09,B3,114734106,,53.163797,-6.7901,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-12-the-court-walshestown-park-newbridge-co-kildare/3894177
3804484,18685108,"The Croft, Milltown, Milltown, Co. Kildare",449950.0,126,126 m²,3,2,Detached,2022-07-12,D1,109895391,294.81 kWh/m2/yr,53.203301,-6.866073,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-the-croft-milltown-milltown-co-kildare/3804484
3790252,18570869,"67 College Park, Newbridge, Co. Kildare",385000.0,107,107 m²,4,1,Detached,2022-08-09,D2,,,53.183868,-6.796874,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-67-college-park-newbridge-co-kildare/3790252
3749863,18233370,"Saint Joseph's, Canning Place, Newbridge, Co. Kildare",265000.0,N/A,,3,1,Detached,2022-08-10,D1,,,53.183933,-6.794218,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-saint-josephs-canning-place-newbridge-co-kildare/3749863
3718816,17952722,"85 College Orchard, Newbridge, Co. Kildare",285000.0,N/A,,3,2,Semi-D,2022-08-10,C3,,,53.187896,-6.798247,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-85-college-orchard-newbridge-co-kildare/3718816
3437417,15497255,"2 McGowan Terrace, Brownstown Lower, Newbridge, Co. Kildare",169950.0,83,83 m²,2,1,Terrace,2022-08-10,C3,,,53.136512,-6.839622,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/terraced-house-2-mcgowan-terrace-brownstown-lower-newbridge-co-kildare/3437417
1411418,12277298,"Crotanstown House, Crotanstown, The Curragh, Co. Kildare",1850000.0,N/A,,8,,Detached,2022-08-09,D2,112580022,,53.1558892,-6.8099583,Buy,NEWBRIDGE_AND_SURROUNDS_KILDARE,http://www.daft.ie/for-sale/detached-house-crotanstown-house-crotanstown-the-curragh-co-kildare/1411418
