id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3894177,18895861,"12 The Court, Walshestown Park, Newbridge, Co. Kildare",480000.0,167,167 m²,4,3,Detached,2022-08-09,B3,114734106,,53.163797,-6.7901,Buy,NEWBRIDGE_KILDARE,http://www.daft.ie/for-sale/detached-house-12-the-court-walshestown-park-newbridge-co-kildare/3894177
3790252,18570869,"67 College Park, Newbridge, Co. Kildare",385000.0,107,107 m²,4,1,Detached,2022-08-09,D2,,,53.183868,-6.796874,Buy,NEWBRIDGE_KILDARE,http://www.daft.ie/for-sale/detached-house-67-college-park-newbridge-co-kildare/3790252
3749863,18233370,"Saint Joseph's, Canning Place, Newbridge, Co. Kildare",265000.0,N/A,,3,1,Detached,2022-08-10,D1,,,53.183933,-6.794218,Buy,NEWBRIDGE_KILDARE,http://www.daft.ie/for-sale/detached-house-saint-josephs-canning-place-newbridge-co-kildare/3749863
3718816,17952722,"85 College Orchard, Newbridge, Co. Kildare",285000.0,N/A,,3,2,Semi-D,2022-08-10,C3,,,53.187896,-6.798247,Buy,NEWBRIDGE_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-85-college-orchard-newbridge-co-kildare/3718816
1411418,12277298,"Crotanstown House, Crotanstown, The Curragh, Co. Kildare",1850000.0,N/A,,8,,Detached,2022-08-09,D2,112580022,,53.1558892,-6.8099583,Buy,NEWBRIDGE_KILDARE,http://www.daft.ie/for-sale/detached-house-crotanstown-house-crotanstown-the-curragh-co-kildare/1411418
3894177,18895861,"12 The Court, Walshestown Park, Newbridge, Co. Kildare",480000.0,167,167 m²,4,3,Detached,2022-08-09,B3,114734106,,53.163797,-6.7901,Buy,NEWBRIDGE_KILDARE,http://www.daft.ie/for-sale/detached-house-12-the-court-walshestown-park-newbridge-co-kildare/3894177
3790252,18570869,"67 College Park, Newbridge, Co. Kildare",385000.0,107,107 m²,4,1,Detached,2022-08-09,D2,,,53.183868,-6.796874,Buy,NEWBRIDGE_KILDARE,http://www.daft.ie/for-sale/detached-house-67-college-park-newbridge-co-kildare/3790252
3749863,18233370,"Saint Joseph's, Canning Place, Newbridge, Co. Kildare",265000.0,N/A,,3,1,Detached,2022-08-10,D1,,,53.183933,-6.794218,Buy,NEWBRIDGE_KILDARE,http://www.daft.ie/for-sale/detached-house-saint-josephs-canning-place-newbridge-co-kildare/3749863
3718816,17952722,"85 College Orchard, Newbridge, Co. Kildare",285000.0,N/A,,3,2,Semi-D,2022-08-10,C3,,,53.187896,-6.798247,Buy,NEWBRIDGE_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-85-college-orchard-newbridge-co-kildare/3718816
1411418,12277298,"Crotanstown House, Crotanstown, The Curragh, Co. Kildare",1850000.0,N/A,,8,,Detached,2022-08-09,D2,112580022,,53.1558892,-6.8099583,Buy,NEWBRIDGE_KILDARE,http://www.daft.ie/for-sale/detached-house-crotanstown-house-crotanstown-the-curragh-co-kildare/1411418
