id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3757673,18292345,"13 Arraview, Newcastle West, Co. Limerick",340000.0,N/A,,4,4,Detached,2022-07-22,C3,,,52.444262,-9.056781,Buy,NEWCASTLE_WEST_AND_SURROUNDS_LIMERICK,http://www.daft.ie/for-sale/detached-house-13-arraview-newcastle-west-co-limerick/3757673
3754222,18273399,"25 Assumpta Park, Newcastle West, Co. Limerick",135000.0,N/A,,3,1,Semi-D,2022-08-09,E2,114721988,362.27 kWh/m2/yr,52.451003,-9.056127,Buy,NEWCASTLE_WEST_AND_SURROUNDS_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-25-assumpta-park-newcastle-west-co-limerick/3754222
3710931,17864257,"Churchtown, Newcastle West, Co. Limerick",285000.0,186,186 m²,4,3,Townhouse,2022-07-22,C1,114634876,,52.456355,-9.065831,Buy,NEWCASTLE_WEST_AND_SURROUNDS_LIMERICK,http://www.daft.ie/for-sale/townhouse-churchtown-newcastle-west-co-limerick/3710931
3717038,17930514,"Glenshesk, Templeglantine, Co. Limerick",182000.0,95,95 m²,3,1,Detached,2022-03-14,E1,109231860,335.49 kWh/m2/yr,52.394153,-9.153967,Buy,NEWCASTLE_WEST_AND_SURROUNDS_LIMERICK,http://www.daft.ie/for-sale/detached-house-glenshesk-templeglantine-co-limerick/3717038
3714212,17899313,"Churchtown, Newcastle West, Co. Limerick",285000.0,N/A,,4,3,Townhouse,2022-02-11,C1,114634876,35.18 kWh/m2/yr,52.456355,-9.065831,Buy,NEWCASTLE_WEST_AND_SURROUNDS_LIMERICK,http://www.daft.ie/for-sale/townhouse-churchtown-newcastle-west-co-limerick/3714212
3691151,17716872,"Lissaniska West, Newcastle West, Co. Limerick",320000.0,N/A,,4,2,Detached,2022-07-22,C3,,1.0E8 kWh/m2/yr,52.456562,-8.978649,Buy,NEWCASTLE_WEST_AND_SURROUNDS_LIMERICK,http://www.daft.ie/for-sale/detached-house-lissaniska-west-newcastle-west-co-limerick/3691151
3650133,17283179,"Ballyegny Beg, Kilcolman, Co. Limerick",Price on Application,146,146 m²,5,2,Detached,2022-08-09,C1,114564974,157.69 kWh/m2/yr,52.529475,-9.079583,Buy,NEWCASTLE_WEST_AND_SURROUNDS_LIMERICK,http://www.daft.ie/for-sale/detached-house-ballyegny-beg-kilcolman-co-limerick/3650133
3627913,17050105,"North Quay, Newcastle West, Co. Limerick",175000.0,167,167 m²,4,2,Terrace,2022-06-07,SI_666,,,52.449784,-9.058416,Buy,NEWCASTLE_WEST_AND_SURROUNDS_LIMERICK,http://www.daft.ie/for-sale/terraced-house-north-quay-newcastle-west-co-limerick/3627913
3616475,16941206,"Bishop Street, Newcastle West, Co. Limerick",150000.0,136,136 m²,2,1,Detached,2022-08-08,SI_666,,,52.45266,-9.058393,Buy,NEWCASTLE_WEST_AND_SURROUNDS_LIMERICK,http://www.daft.ie/for-sale/detached-house-bishop-street-newcastle-west-co-limerick/3616475
3593284,16700753,"Church Street, Newcastle West, Co. Limerick",210000.0,167,167 m²,1,2,Terrace,2022-06-07,SI_666,,,52.451603,-9.060919,Buy,NEWCASTLE_WEST_AND_SURROUNDS_LIMERICK,http://www.daft.ie/for-sale/terraced-house-church-street-newcastle-west-co-limerick/3593284
