id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3892519,18884807,"11 The Maples, Monkstown Valley, Monkstown, Co. Dublin",485000.0,98,98 m²,2,2,Apartment,2022-08-10,D1,104299615,255.44 kWh/m2/yr,53.293944,-6.161283,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-11-the-maples-monkstown-valley-monkstown-co-dublin/3892519
3747211,18211230,"Apartment 63, The Gallan, Granitefield Manor, Dun Laoghaire, Co. Dublin","AMV: €270,000",69,69 m²,2,2,Apartment,2022-07-11,C3,114535420,211.3 kWh/m2/yr,53.269533,-6.14242,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-63-the-gallan-granitefield-manor-dun-laoghaire-co-dublin/3747211
3820990,18825453,"42 Woodview, Mount Merrion Avenue, Blackrock, Co. Dublin",550000.0,82,82 m²,2,2,Apartment,2022-08-10,C1,114838089,153.73 kWh/m2/yr,53.299541,-6.187458,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-42-woodview-mount-merrion-avenue-blackrock-co-dublin/3820990
3813789,18762006,"Apartment 314, Building 6 Vantage Central, Central Park, Leopardstown, Dublin 18",425000.0,66,66 m²,2,2,Apartment,2022-06-23,B3,,,53.270538,-6.203752,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-314-building-6-vantage-central-central-park-leopardstown-dublin-18/3813789
3805951,18700022,"105 Salthill Block D Monkstown, Monkstown, Co. Dublin",850000.0,100,100 m²,2,2,Apartment,2022-08-10,C2,114822414,177.69 kWh/m2/yr,53.295325,-6.148919,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-105-salthill-block-d-monkstown-monkstown-co-dublin/3805951
3804764,18687508,"205 Galloping Green, Stillorgan Road, Blackrock, Co. Dublin",410000.0,80,80 m²,2,,Apartment,2022-08-10,C3,114813397,201.57 kWh/m2/yr,53.279336,-6.185983,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-205-galloping-green-stillorgan-road-blackrock-co-dublin/3804764
3803120,18671537,"39 Beechwood Court, Stillorgan Road, Blackrock, Co. Dublin",315000.0,42,42 m²,1,1,Apartment,2022-08-10,C3,114810666,207.01 kWh/m2/yr,53.2829993,-6.1889618,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-39-beechwood-court-stillorgan-road-blackrock-co-dublin/3803120
3801070,18652653,"602 Galloping Green, Stillorgan Road, Blackrock, Co. Dublin",445000.0,95,95 m²,2,2,Apartment,2022-08-10,D1,114810682,237.69 kWh/m2/yr,53.280454,-6.18619,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-602-galloping-green-stillorgan-road-blackrock-co-dublin/3801070
3800857,18650483,"28 The Willows, Monkstown Valley, Monkstown, Co. Dublin",295000.0,42,42 m²,1,1,Apartment,2022-08-10,E2,114786049,345.79 kWh/m2/yr,53.294464,-6.161488,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-28-the-willows-monkstown-valley-monkstown-co-dublin/3800857
3793332,18590399,"48 Hollybrook, Brighton Road, Foxrock, Dublin 18",695000.0,125,125 m²,2,2,Apartment,2022-08-10,B3,101932945,132.39 kWh/m2/yr,53.264104,-6.181213,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-48-hollybrook-brighton-road-foxrock-dublin-18/3793332
3785527,18526253,"74 Salthill Apartments, Monkstown, Co. Dublin",795000.0,84,84 m²,2,2,Apartment,2022-08-10,B3,107250219,141.77 kWh/m2/yr,53.294972,-6.149648,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-74-salthill-apartments-monkstown-co-dublin/3785527
3758199,18295328,"67 Eaglewood Rochestown Avenue Dun Laoghaire, Dun Laoghaire, Co. Dublin",395000.0,69,69 m²,2,1,Apartment,2022-08-10,C1,114738818,163.54 kWh/m2/yr,53.271273,-6.142303,Buy,NEWPARK_MUSIC_CENTRE_DUBLIN,http://www.daft.ie/for-sale/apartment-67-eaglewood-rochestown-avenue-dun-laoghaire-dun-laoghaire-co-dublin/3758199
