id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
4002691,112953678,"2 Melville View, Finglas, Finglas, Dublin 11",240000.0,N/A,,2,2,Apartment,2022-08-01,B2,,,53.401429,-6.29499,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-2-melville-view-finglas-finglas-dublin-11/4002691
3995655,112889879,"Apartment 20, The Spinnaker, Alverno, Clontarf, Dublin 3",395000.0,56,56 m²,2,1,Apartment,2022-08-02,C2,113873723,190.62 kWh/m2/yr,53.360628,-6.209926,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-20-the-spinnaker-alverno-clontarf-dublin-3/3995655
3998089,112915750,"Apartment 7, Clifden Court, Dublin 7",285000.0,55,55 m²,2,1,Apartment,2022-08-02,C3,115206971,220.34 kWh/m2/yr,53.347096,-6.28349,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-7-clifden-court-dublin-7/3998089
4001335,112942717,"8 Grove Gardens, Verdemont, Blanchardstown, Dublin 15",185000.0,53,53 m²,1,1,Apartment,2022-08-10,C3,115371056,206.15 kWh/m2/yr,53.38797,-6.393221,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-8-grove-gardens-verdemont-blanchardstown-dublin-15/4001335
4001142,112941041,"37 Saunders House, Spencer Dock, IFSC, Dublin 1",475000.0,81,81 m²,2,2,Apartment,2022-08-10,B2,101710440,115.41 kWh/m2/yr,53.349344,-6.237809,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-37-saunders-house-spencer-dock-ifsc-dublin-1/4001142
4001058,112940997,"Apartment 112, Millrace Road, Phoenix Park Racecourse, Castleknock, Dublin 15",380000.0,84,84 m²,2,2,Apartment,2022-08-10,B3,111444147,128.51 kWh/m2/yr,53.372574,-6.334388,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-112-millrace-road-phoenix-park-racecourse-castleknock-dublin-15/4001058
4000965,112938621,"54 Hampton Wood Avenue, Finglas, Finglas, Dublin 11",185000.0,46,46 m²,1,1,Apartment,2022-08-09,C1,,,53.405577,-6.288441,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-54-hampton-wood-avenue-finglas-finglas-dublin-11/4000965
4000733,112937298,"68 Griffith Hall, Drumcondra, Dublin 9",250000.0,47,47 m²,1,1,Apartment,2022-08-10,D2,115339111,299.15 kWh/m2/yr,53.374297,-6.237035,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-68-griffith-hall-drumcondra-dublin-9/4000733
4000720,112937275,"25 Kavanagh Hall, Collegewood, Castleknock, Dublin 15",335000.0,82,82 m²,2,2,Apartment,2022-08-10,C1,115007411,155.7 kWh/m2/yr,53.371421,-6.370151,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-25-kavanagh-hall-collegewood-castleknock-dublin-15/4000720
3999586,112925554,"Apartment 340, Castleforbes Square, Dublin 1",390000.0,N/A,,2,2,Apartment,2022-08-10,C3,115377525,204.77 kWh/m2/yr,53.349155,-6.23166,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-340-castleforbes-square-dublin-1/3999586
3999980,112930414,"Apartment 30, Beaumont Court, Beaumont, Dublin 9",260000.0,55,55 m²,2,1,Apartment,2022-07-29,D2,115376618,275.32 kWh/m2/yr,53.391941,-6.227202,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-30-beaumont-court-beaumont-dublin-9/3999980
3999956,112930022,"Apt 38, Stapleton House, 33 Mountjoy Square, Dublin 1",235000.0,N/A,,1,1,Apartment,2022-08-10,E1,115375925,317.14 kWh/m2/yr,53.35637,-6.255585,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apt-38-stapleton-house-33-mountjoy-square-dublin-1/3999956
3998402,112919095,"57 Collins Square, Smithfield, Dublin 7",415000.0,N/A,,2,2,Apartment,2022-08-10,,,,53.348121,-6.284625,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-57-collins-square-smithfield-dublin-7/3998402
3998060,112915731,"Apartment 73, Beaumont Court, Beaumont, Dublin 9",219950.0,N/A,,1,1,Apartment,2022-08-10,D2,115358970,264.83 kWh/m2/yr,53.391924,-6.226502,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-73-beaumont-court-beaumont-dublin-9/3998060
3997895,112914341,"63 Cruise Park Avenue, Tyrrelstown, Dublin 15",265000.0,105,105 m²,3,3,Apartment,2022-08-10,C1,,,53.420013,-6.396861,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-63-cruise-park-avenue-tyrrelstown-dublin-15/3997895
3997291,112907805,"Apt 8 Parklands, Northwood, Santry, Dublin 9",285000.0,62,62 m²,2,2,Apartment,2022-07-28,B3,115363673,145.6 kWh/m2/yr,53.40569,-6.250476,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apt-8-parklands-northwood-santry-dublin-9/3997291
3997059,112905009,"3 Woodbrook Crescent, Castleknock, Dublin 15",295000.0,N/A,,2,2,Apartment,2022-08-09,C1,115197782,159.39 kWh/m2/yr,53.377057,-6.402761,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-3-woodbrook-crescent-castleknock-dublin-15/3997059
3997027,112904992,"Apartment 2, Ardilaun Court, Raheny, Dublin 5",525000.0,94,94 m²,2,2,Apartment,2022-07-27,A3,111520870,58.65 kWh/m2/yr,53.374855,-6.194319,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-2-ardilaun-court-raheny-dublin-5/3997027
3989139,19713825,"Apartment 33, The Old Distillery, Dublin 7",324500.0,68,68 m²,2,1,Apartment,2022-08-10,C2,107199937,,53.34941,-6.273318,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-33-the-old-distillery-dublin-7/3989139
3996570,112899375,"Apartment 7, Apartment 7, 1 Grange Lodge Avenue, Clongriffin, Dublin 13",270000.0,72,72 m²,2,2,Apartment,2022-08-10,D1,115371684,253.15 kWh/m2/yr,53.402558,-6.154607,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-7-apartment-7-1-grange-lodge-avenue-clongriffin-dublin-13/3996570
3996588,112899452,"5 Churchwell Place, Belmayne, Belmayne",265000.0,68,68 m²,2,2,Apartment,2022-08-09,B3,103462545,148.2 kWh/m2/yr,53.404658,-6.171815,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-5-churchwell-place-belmayne-belmayne/3996588
3996520,112898023,"Apartment 5, Wellington, Riverpark Apartments, Conyngham Road, Dublin 8",275000.0,40,40 m²,1,1,Apartment,2022-08-09,C3,,,53.348053,-6.303046,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-5-wellington-riverpark-apartments-conyngham-road-dublin-8/3996520
3995901,112891672,"6 Hill Of Down House, Spencer Dock, IFSC, Co. Dublin",295000.0,62,62 m²,1,2,Apartment,2022-08-10,C1,106625809,172.42 kWh/m2/yr,53.350118,-6.23921,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-6-hill-of-down-house-spencer-dock-ifsc-co-dublin/3995901
3995891,112891645,"33 Tory Square, Waterville, Blanchardstown, Dublin 15",210000.0,N/A,,1,1,Apartment,2022-07-28,C3,112376991,218.63 kWh/m2/yr,53.39319477,-6.37724079,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-33-tory-square-waterville-blanchardstown-dublin-15/3995891
3995620,112889861,"Apartment 6, Grove Garden, Blanchardstown, Dublin 15",225000.0,70,70 m²,2,2,Apartment,2022-08-09,D2,,,53.38716,-6.393991,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-6-grove-garden-blanchardstown-dublin-15/3995620
3995464,112887857,"32 Portersfield, Clonsilla Road, Clonsilla, Dublin 15",195000.0,N/A,,1,1,Apartment,2022-08-09,D2,,,53.382211,-6.395519,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-32-portersfield-clonsilla-road-clonsilla-dublin-15/3995464
3995434,112887012,"92 The Watermill, Block 2a, Raheny, Dublin 5",445000.0,94,94 m²,2,2,Apartment,2022-08-10,B3,115372088,143.83 kWh/m2/yr,53.37645,-6.167677,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-92-the-watermill-block-2a-raheny-dublin-5/3995434
3995426,112886052,"Block G, 281 Sycamores, Carrington, Northwood, Santry, Dublin 9",235000.0,N/A,,1,1,Apartment,2022-08-10,B3,115360448,135.66 kWh/m2/yr,53.404063,-6.253064,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-block-g-281-sycamores-carrington-northwood-santry-dublin-9/3995426
3995425,112886051,"8 Kingston Lodge, Drumcondra, Dublin 3",240000.0,N/A,,1,1,Apartment,2022-08-10,D1,108901570,257.27 kWh/m2/yr,53.363645,-6.255243,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-8-kingston-lodge-drumcondra-dublin-3/3995425
3995388,112886022,"Apartment 5, Clonliffe Square, Distillery Road, Drumcondra, Dublin 3",245000.0,40,40 m²,1,1,Apartment,2022-08-08,E2,105355192,355.69 kWh/m2/yr,53.364311,-6.248083,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-5-clonliffe-square-distillery-road-drumcondra-dublin-3/3995388
3995231,112885181,"Apartment 54, Clearwater Court South, Lock-Keepers Walk, Ashtown, Dublin 15",295000.0,71,71 m²,2,2,Apartment,2022-08-10,E1,,,53.376779,-6.316934,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-54-clearwater-court-south-lock-keepers-walk-ashtown-dublin-15/3995231
3993956,112870139,"Apartment 43, Amiens Square, IFSC, Dublin 1",325000.0,57,57 m²,2,1,Apartment,2022-08-10,C2,115213589,,53.350744,-6.250748,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-43-amiens-square-ifsc-dublin-1/3993956
3994874,112880323,"42 Park Crescent House, Blackhourse Avenue, Dublin 7",295000.0,60,60 m²,2,1,Apartment,2022-08-10,E2,114627250,372.0 kWh/m2/yr,53.362356,-6.311523,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-42-park-crescent-house-blackhourse-avenue-dublin-7/3994874
3986897,19690853,"Apartment 15, Montpelier Mews, Stoneybatter, Dublin 7",225000.0,40,40 m²,1,1,Apartment,2022-07-26,D2,106249394,,53.348667,-6.293548,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-15-montpelier-mews-stoneybatter-dublin-7/3986897
3994736,112878362,"26A Ratoath Estate, Cabra, Cabra, Dublin 7",240000.0,65,65 m²,2,1,Apartment,2022-08-04,E2,,,53.37186,-6.305502,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-26a-ratoath-estate-cabra-cabra-dublin-7/3994736
3994642,112876923,"96 The Island, Chapelizod, Dublin 20",360000.0,84,84 m²,3,1,Apartment,2022-07-26,D1,115169625,249.74 kWh/m2/yr,53.34877,-6.345736,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-96-the-island-chapelizod-dublin-20/3994642
3994317,112873931,"38 Park Crescent House, Blackhorse Avenue, Dublin 7",300000.0,76,76 m²,2,1,Apartment,2022-08-10,C3,115366031,218.81 kWh/m2/yr,53.3623557,-6.3115231,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-38-park-crescent-house-blackhorse-avenue-dublin-7/3994317
3994264,112872995,"Apartment 273, Block 5, Parklands, Northwood, Santry, Dublin 9",275000.0,65,65 m²,2,1,Apartment,2022-08-10,B3,115373060,133.65 kWh/m2/yr,53.405983,-6.251682,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-273-block-5-parklands-northwood-santry-dublin-9/3994264
3894002,18894313,"Apartment 41, Ardilaun Court, Raheny, Dublin 5",575000.0,86,86 m²,2,2,Apartment,2022-08-09,A2,,,53.374534,-6.193968,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-41-ardilaun-court-raheny-dublin-5/3894002
3992235,19750928,"10 Botanic Square, Glasnevin, Dublin 9",250000.0,40,40 m²,1,1,Apartment,2022-08-10,F,106911886,442.14 kWh/m2/yr,53.369313,-6.263685,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-10-botanic-square-glasnevin-dublin-9/3992235
3992123,19750866,"Apartment 34, Griffith Hall, Glandore Road, Drumcondra, Dublin 9",299000.0,65,65 m²,2,1,Apartment,2022-07-23,D1,,,53.373671,-6.236701,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-34-griffith-hall-glandore-road-drumcondra-dublin-9/3992123
3991985,19748862,"Apartment 24, Beaumont Court, Beaumont, Dublin 9",245000.0,63,63 m²,2,1,Apartment,2022-08-09,C3,,,53.392076,-6.227852,Buy,NORTH_DUBLIN_CITY_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-24-beaumont-court-beaumont-dublin-9/3991985
