id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3771011,18387366,"92 Garrán Ard, Doughiska, Co. Galway",295000.0,N/A,,4,2,End of Terrace,2022-07-25,D1,,,53.282662,-8.977061,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/end-of-terrace-house-92-garr-n-ard-doughiska-co-galway/3771011
3743633,18172971,"50 Fionnuisce, Doughiska, Doughiska, Co. Galway",240000.0,N/A,,2,2,Townhouse,2022-08-04,C3,114719107,213.68 kWh/m2/yr,53.284331,-8.988757,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/townhouse-50-fionnuisce-doughiska-doughiska-co-galway/3743633
3561683,16355206,"Woodvilla, Cregganna Beg, Oranmore, Co. Galway",515000.0,240,240 m²,4,5,Detached,2022-08-08,D2,,,53.244043,-8.91551,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-woodvilla-cregganna-beg-oranmore-co-galway/3561683
3701485,17808362,"51 Fionnuisce, Doughiska, Doughiska, Co. Galway",240000.0,69,69 m²,2,2,Townhouse,2022-08-04,C3,105249858,214.79 kWh/m2/yr,53.284286,-8.988831,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/townhouse-51-fionnuisce-doughiska-doughiska-co-galway/3701485
3584887,16607067,"Rose Garden, Rose Garden, Old Doughiska Road, Doughiska, Co. Galway",330000.0,276,276 m²,6,3,Detached,2022-08-10,C3,107518961,,53.280793,-8.963922,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-rose-garden-rose-garden-old-doughiska-road-doughiska-co-galway/3584887
3436802,15490148,"Doughiska, Co. Galway",450000.0,177,177 m²,4,3,Detached,2022-07-30,F,113797773,393.42 kWh/m2/yr,53.280364,-8.969982,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-doughiska-co-galway/3436802
3771011,18387366,"92 Garrán Ard, Doughiska, Co. Galway",295000.0,N/A,,4,2,End of Terrace,2022-07-25,D1,,,53.282662,-8.977061,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/end-of-terrace-house-92-garr-n-ard-doughiska-co-galway/3771011
3743633,18172971,"50 Fionnuisce, Doughiska, Doughiska, Co. Galway",240000.0,N/A,,2,2,Townhouse,2022-08-04,C3,114719107,213.68 kWh/m2/yr,53.284331,-8.988757,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/townhouse-50-fionnuisce-doughiska-doughiska-co-galway/3743633
3561683,16355206,"Woodvilla, Cregganna Beg, Oranmore, Co. Galway",515000.0,240,240 m²,4,5,Detached,2022-08-08,D2,,,53.244043,-8.91551,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-woodvilla-cregganna-beg-oranmore-co-galway/3561683
3701485,17808362,"51 Fionnuisce, Doughiska, Doughiska, Co. Galway",240000.0,69,69 m²,2,2,Townhouse,2022-08-04,C3,105249858,214.79 kWh/m2/yr,53.284286,-8.988831,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/townhouse-51-fionnuisce-doughiska-doughiska-co-galway/3701485
3584887,16607067,"Rose Garden, Rose Garden, Old Doughiska Road, Doughiska, Co. Galway",330000.0,276,276 m²,6,3,Detached,2022-08-10,C3,107518961,,53.280793,-8.963922,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-rose-garden-rose-garden-old-doughiska-road-doughiska-co-galway/3584887
3436802,15490148,"Doughiska, Co. Galway",450000.0,177,177 m²,4,3,Detached,2022-07-30,F,113797773,393.42 kWh/m2/yr,53.280364,-8.969982,Buy,ORANMORE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-doughiska-co-galway/3436802
