id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3980984,19627719,"29 Beechfield Road, Walkinstown, Dublin 12",450000.0,103,103 m²,3,1,Terrace,2022-08-10,D1,110724275,228.17 kWh/m2/yr,53.316303,-6.327091,Buy,PERRYSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-29-beechfield-road-walkinstown-dublin-12/3980984
3978784,19615198,"2 Granite Terrace, Inchicore, Inchicore, Dublin 8",495000.0,101,101 m²,3,1,Terrace,2022-08-10,C3,102453958,,53.339274,-6.32327,Buy,PERRYSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-2-granite-terrace-inchicore-inchicore-dublin-8/3978784
3977322,19605329,"70 St Agnes Park, Crumlin, Dublin 12",499950.0,126,126 m²,4,2,Terrace,2022-08-10,E1,,,53.319548,-6.313521,Buy,PERRYSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-70-st-agnes-park-crumlin-dublin-12/3977322
3977320,19605328,"184 St James's Road, Greenhills, Dublin 12",395000.0,N/A,,3,1,Terrace,2022-08-10,,,,53.316019,-6.334495,Buy,PERRYSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-184-st-jamess-road-greenhills-dublin-12/3977320
3975452,19595729,"67 Moeran Road, Walkinstown, Walkinstown, Dublin 12",449950.0,N/A,,3,1,Terrace,2022-08-03,C2,109115345,188.62 kWh/m2/yr,53.319837,-6.320136,Buy,PERRYSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-67-moeran-road-walkinstown-walkinstown-dublin-12/3975452
3972546,19577269,"16 Donard Road, Drimnagh, Drimnagh, Dublin 12",350000.0,76,76 m²,3,1,Terrace,2022-08-09,E1,114879836,,53.328883,-6.325515,Buy,PERRYSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-16-donard-road-drimnagh-drimnagh-dublin-12/3972546
3971173,19567929,"1 Lough Conn Drive, Ballyfermot, Dublin 10",249000.0,65,65 m²,2,1,Terrace,2022-08-09,G,,,53.347936,-6.355551,Buy,PERRYSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-1-lough-conn-drive-ballyfermot-dublin-10/3971173
3970854,19564927,"249 Cooley Road, Drimnagh, D12XW65, Dublin 12",325000.0,75,75 m²,2,1,Terrace,2022-08-10,E1,102541943,329.95 kWh/m2/yr,53.332987,-6.326719,Buy,PERRYSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-249-cooley-road-drimnagh-d12xw65-dublin-12/3970854
3970853,19564914,"4 Slievemore Road, Drimnagh, Dublin 12",295000.0,61,61 m²,2,1,Semi-D,2022-08-10,C3,,,53.326816,-6.317009,Buy,PERRYSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-4-slievemore-road-drimnagh-dublin-12/3970853
3970290,19559150,"74 Greentrees Road, Manor Estate, D12XE16, Dublin 12",550000.0,113,113 m²,3,1,Semi-D,2022-08-10,E1,114718968,327.9 kWh/m2/yr,53.309513,-6.325372,Buy,PERRYSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-74-greentrees-road-manor-estate-d12xe16-dublin-12/3970290
