id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3730012,18038069,"""The Mews"" North Circular Road, Dublin 7, North Circular Road, Dublin 7",699000.0,117,117 m²,3,3,Detached,2022-07-27,SI_666,,,53.35833997572769,-6.2856613126855905,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/detached-house--the-mews-north-circular-road-dublin-7-north-circular-road-dublin-7/3730012
3707668,17834018,"13 North Circular Road, North Circular Road, Dublin 7",1100000.0,231,231 m²,8,7,Terrace,2022-08-10,G,113737639,499.56 kWh/m2/yr,53.356059,-6.285628,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/terraced-house-13-north-circular-road-north-circular-road-dublin-7/3707668
3516914,16088290,"8 Avondale Avenue, Phibsborough, Dublin 7",300000.0,55,55 m²,2,1,Terrace,2022-08-10,E2,,,53.359766,-6.275066,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/terraced-house-8-avondale-avenue-phibsborough-dublin-7/3516914
3611184,16901318,"118 Dorset Street Upper, Dublin 1",550000.0,148,148 m²,4,2,End of Terrace,2022-08-05,F,,,53.354536,-6.266822,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-118-dorset-street-upper-dublin-1/3611184
1191891,12159214,"19 Orchard Terrace, Grangegorman Upper, Phibsborough, Dublin 7",399950.0,100,100 m²,3,2,Terrace,2022-08-10,E1,109945279,314.18 kWh/m2/yr,53.357369,-6.280232,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/terraced-house-19-orchard-terrace-grangegorman-upper-phibsborough-dublin-7/1191891
2331060,12535646,"53 Faussagh Road, Cabra, Cabra, Dublin 7",310000.0,82,82 m²,3,1,Terrace,2022-08-08,F,112923925,387.22 kWh/m2/yr,53.364124,-6.284914,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/terraced-house-53-faussagh-road-cabra-cabra-dublin-7/2331060
3730012,18038069,"""The Mews"" North Circular Road, Dublin 7, North Circular Road, Dublin 7",699000.0,117,117 m²,3,3,Detached,2022-07-27,SI_666,,,53.35833997572769,-6.2856613126855905,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/detached-house--the-mews-north-circular-road-dublin-7-north-circular-road-dublin-7/3730012
3707668,17834018,"13 North Circular Road, North Circular Road, Dublin 7",1100000.0,231,231 m²,8,7,Terrace,2022-08-10,G,113737639,499.56 kWh/m2/yr,53.356059,-6.285628,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/terraced-house-13-north-circular-road-north-circular-road-dublin-7/3707668
3516914,16088290,"8 Avondale Avenue, Phibsborough, Dublin 7",300000.0,55,55 m²,2,1,Terrace,2022-08-10,E2,,,53.359766,-6.275066,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/terraced-house-8-avondale-avenue-phibsborough-dublin-7/3516914
3611184,16901318,"118 Dorset Street Upper, Dublin 1",550000.0,148,148 m²,4,2,End of Terrace,2022-08-05,F,,,53.354536,-6.266822,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-118-dorset-street-upper-dublin-1/3611184
1191891,12159214,"19 Orchard Terrace, Grangegorman Upper, Phibsborough, Dublin 7",399950.0,100,100 m²,3,2,Terrace,2022-08-10,E1,109945279,314.18 kWh/m2/yr,53.357369,-6.280232,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/terraced-house-19-orchard-terrace-grangegorman-upper-phibsborough-dublin-7/1191891
2331060,12535646,"53 Faussagh Road, Cabra, Cabra, Dublin 7",310000.0,82,82 m²,3,1,Terrace,2022-08-08,F,112923925,387.22 kWh/m2/yr,53.364124,-6.284914,Buy,PHIBSBOROUGH_DUBLIN,http://www.daft.ie/for-sale/terraced-house-53-faussagh-road-cabra-cabra-dublin-7/2331060
