id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3992460,19754648,"7D Rainsford Avenue, Dublin 8",215000.0,N/A,,1,1,Apartment,2022-07-28,F,,,53.342598,-6.282423,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-7d-rainsford-avenue-dublin-8/3992460
3989462,19718932,"61 Whitehall Square, Perrystown, Dublin 12",265000.0,59,59 m²,2,1,Apartment,2022-08-10,D1,115171936,242.81 kWh/m2/yr,53.3106666,-6.3104316,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-61-whitehall-square-perrystown-dublin-12/3989462
3992089,19749311,"Apartment 123 The Old Chocolate Factory, Kilmainham Square, Inchicore Road, Kilmainham, Dublin 8",370000.0,65,65 m²,2,2,Apartment,2022-08-10,B3,,,53.34283,-6.31057,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-123-the-old-chocolate-factory-kilmainham-square-inchicore-road-kilmainham-dublin-8/3992089
3992105,19750773,"Apartment 4, Brookfield Court, Rialto, Dublin 8",239000.0,48,48 m²,2,1,Apartment,2022-08-10,D1,,,53.314483,-6.30129,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-4-brookfield-court-rialto-dublin-8/3992105
3991448,19739297,"225 The Island, Chapelizod, Dublin 20",339000.0,81,81 m²,3,1,Apartment,2022-08-10,C2,111322608,182.46 kWh/m2/yr,53.348263,-6.344957,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-225-the-island-chapelizod-dublin-20/3991448
3991441,19739273,"Apartment 11, Baroma, Kimmage, Dublin 12",245000.0,37,37 m²,1,1,Apartment,2022-08-10,C3,,,53.314855,-6.29475,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-11-baroma-kimmage-dublin-12/3991441
3991299,19737940,"Apartment 203, Premier Square, Finglas, Dublin 11",275000.0,70,70 m²,2,2,Apartment,2022-08-10,C2,,,53.382281,-6.290155,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-203-premier-square-finglas-dublin-11/3991299
3991074,19735533,"Apartment 240, Premier Square, Finglas, Dublin 11",249950.0,N/A,,2,2,Apartment,2022-07-21,E1,,,53.382058,-6.289882,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-240-premier-square-finglas-dublin-11/3991074
3988690,19708674,"5 Brabazon House, 117 Cork Street, The Combe, Dublin 8",209800.0,46,46 m²,1,1,Apartment,2022-08-10,D2,,,53.338241,-6.282681,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-5-brabazon-house-117-cork-street-the-combe-dublin-8/3988690
3987919,19701693,"Apartment 31, The Weavers, Dublin 8",325000.0,64,64 m²,2,1,Apartment,2022-08-10,C3,107923666,44.36 kWh/m2/yr,53.3412,-6.280352,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-31-the-weavers-dublin-8/3987919
3987426,19695810,"37 Parkgate Place, Islandbridge, Dublin 8",250000.0,51,51 m²,1,1,Apartment,2022-08-10,D1,101522928,,53.347226,-6.295275,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-37-parkgate-place-islandbridge-dublin-8/3987426
3987050,19692854,"602 Cathedral Court, New Street South, Dublin 8",425000.0,74,74 m²,2,1,Apartment,2022-08-10,C1,115353302,171.16 kWh/m2/yr,53.337683,-6.273056,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-602-cathedral-court-new-street-south-dublin-8/3987050
3986889,19690263,"47 Pier 19, Dublin 8",250000.0,51,51 m²,2,1,Apartment,2022-08-10,D2,114743479,,53.345656,-6.281354,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-47-pier-19-dublin-8/3986889
3986427,19687834,"20 Brabazon Hall, Ardee Street, Dublin 8",315000.0,73,73 m²,2,2,Apartment,2022-08-10,B3,100568286,,53.338656,-6.280546,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-20-brabazon-hall-ardee-street-dublin-8/3986427
3985675,19681964,"79 Rathborne Avenue, Ashtown, Dublin 15",320000.0,N/A,,2,2,Apartment,2022-07-28,D1,115182537,243.29 kWh/m2/yr,53.3774624,-6.3251933,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-79-rathborne-avenue-ashtown-dublin-15/3985675
3982841,19648925,"Apartment 13, Cedarhurst Road, Phoenix Park Racecourse, Castleknock, Dublin 15",375000.0,N/A,,2,2,Apartment,2022-08-08,B3,,,53.372168,-6.335019,Buy,PULSE_COLLEGE_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-13-cedarhurst-road-phoenix-park-racecourse-castleknock-dublin-15/3982841
