id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3910399,19052046,"4 Woodbrook Park, Templeogue, Dublin 16",750000.0,183,183 m²,5,1,Semi-D,2022-08-10,E2,115168445,353.81 kWh/m2/yr,53.2927293,-6.3099089,Buy,RATHFARNHAM_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-4-woodbrook-park-templeogue-dublin-16/3910399
3972729,19580238,"9 Silverwood Drive, Rathfarnham, Dublin 14",575000.0,103,103 m²,3,2,Semi-D,2022-08-10,E2,115217564,343.03 kWh/m2/yr,53.292888,-6.29896,Buy,RATHFARNHAM_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-9-silverwood-drive-rathfarnham-dublin-14/3972729
3971811,19571897,"81 Templeroan Avenue, Knocklyon, Dublin 16",550000.0,98,98 m²,3,3,Semi-D,2022-08-10,C3,100428077,200.79 kWh/m2/yr,53.28599,-6.30434,Buy,RATHFARNHAM_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-81-templeroan-avenue-knocklyon-dublin-16/3971811
3971798,19571251,"7 Ashton Grove, Knocklyon, Dublin 16",625000.0,125,125 m²,4,2,Detached,2022-07-11,D1,108635996,246.93 kWh/m2/yr,53.285627,-6.307288,Buy,RATHFARNHAM_DUBLIN,http://www.daft.ie/for-sale/detached-house-7-ashton-grove-knocklyon-dublin-16/3971798
3971157,19567817,"56 Marian Crescent, Rathfarnham, Dublin 14",695000.0,136,136 m²,3,2,Detached,2022-07-14,G,114999469,463.9 kWh/m2/yr,53.293134,-6.300247,Buy,RATHFARNHAM_DUBLIN,http://www.daft.ie/for-sale/detached-house-56-marian-crescent-rathfarnham-dublin-14/3971157
3970819,19564872,"15 The Green, Boden Park, Rathfarnham, Dublin 14",575000.0,164,164 m²,3,3,Semi-D,2022-08-09,E1,,,53.281628,-6.303521,Buy,RATHFARNHAM_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-15-the-green-boden-park-rathfarnham-dublin-14/3970819
3756448,18284139,"67 Barton Road East, Dundrum, Dublin 14",595000.0,94,94 m²,3,2,Semi-D,2022-08-10,F,103865515,389.9 kWh/m2/yr,53.287182,-6.259832,Buy,RATHFARNHAM_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-67-barton-road-east-dundrum-dublin-14/3756448
3968144,19542901,"30 Woodbrook Park, Templeogue, Templeogue, Dublin 6W",850000.0,153,153 m²,4,2,Semi-D,2022-07-06,C2,102726213,187.88 kWh/m2/yr,53.291095,-6.309908,Buy,RATHFARNHAM_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-30-woodbrook-park-templeogue-templeogue-dublin-6w/3968144
3966840,19529431,"127 Dargle Wood, Knocklyon, Dublin 16",695000.0,175,175 m²,5,2,Semi-D,2022-07-06,D1,115033334,229.99 kWh/m2/yr,53.280953,-6.315111,Buy,RATHFARNHAM_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-127-dargle-wood-knocklyon-dublin-16/3966840
3966838,19529423,"6 Prospect Meadows, Prospect Manor, Rathfarnham, Dublin 16",575000.0,108,108 m²,3,3,Semi-D,2022-07-26,D1,105289946,226.98 kWh/m2/yr,53.275912,-6.300063,Buy,RATHFARNHAM_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-6-prospect-meadows-prospect-manor-rathfarnham-dublin-16/3966838
