id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3550740,16239619,"18 Bayview Heights, Rosslare Strand, Co. Wexford",259000.0,95,95 m²,3,2,End of Terrace,2022-07-01,F,114336670,434.67 kWh/m2/yr,52.269098,-6.384668,Buy,ROSSLARE_HARBOUR_WEXFORD,http://www.daft.ie/for-sale/end-of-terrace-house-18-bayview-heights-rosslare-strand-co-wexford/3550740
3235058,14914540,"Ballyregan House, Killinick, Co. Wexford",575000.0,312,312 m²,6,4,Detached,2022-08-10,,,,52.231367,-6.422824,Buy,ROSSLARE_HARBOUR_WEXFORD,http://www.daft.ie/for-sale/detached-house-ballyregan-house-killinick-co-wexford/3235058
3486708,15875739,"30 Cluain Aoibhinn, Rosslare Strand, Co. Wexford",340000.0,N/A,,4,4,Detached,2022-08-10,B2,103124863,123.39 kWh/m2/yr,52.269464,-6.394429,Buy,ROSSLARE_HARBOUR_WEXFORD,http://www.daft.ie/for-sale/detached-house-30-cluain-aoibhinn-rosslare-strand-co-wexford/3486708
3161994,14237063,"The Glebe House, Kilscoran, Tagoat, Co. Wexford",625000.0,340,340 m²,4,3,Detached,2022-08-09,SI_666,,,52.243445,-6.378732,Buy,ROSSLARE_HARBOUR_WEXFORD,http://www.daft.ie/for-sale/detached-house-the-glebe-house-kilscoran-tagoat-co-wexford/3161994
2548453,12668481,"Furziestown, Tacumshane, Co. Wexford",450000.0,210,210 m²,5,3,Detached,2022-04-27,F,113208805,399.87 kWh/m2/yr,52.198701,-6.415309,Buy,ROSSLARE_HARBOUR_WEXFORD,http://www.daft.ie/for-sale/detached-house-furziestown-tacumshane-co-wexford/2548453
3550740,16239619,"18 Bayview Heights, Rosslare Strand, Co. Wexford",259000.0,95,95 m²,3,2,End of Terrace,2022-07-01,F,114336670,434.67 kWh/m2/yr,52.269098,-6.384668,Buy,ROSSLARE_HARBOUR_WEXFORD,http://www.daft.ie/for-sale/end-of-terrace-house-18-bayview-heights-rosslare-strand-co-wexford/3550740
3235058,14914540,"Ballyregan House, Killinick, Co. Wexford",575000.0,312,312 m²,6,4,Detached,2022-08-10,,,,52.231367,-6.422824,Buy,ROSSLARE_HARBOUR_WEXFORD,http://www.daft.ie/for-sale/detached-house-ballyregan-house-killinick-co-wexford/3235058
3486708,15875739,"30 Cluain Aoibhinn, Rosslare Strand, Co. Wexford",340000.0,N/A,,4,4,Detached,2022-08-10,B2,103124863,123.39 kWh/m2/yr,52.269464,-6.394429,Buy,ROSSLARE_HARBOUR_WEXFORD,http://www.daft.ie/for-sale/detached-house-30-cluain-aoibhinn-rosslare-strand-co-wexford/3486708
3161994,14237063,"The Glebe House, Kilscoran, Tagoat, Co. Wexford",625000.0,340,340 m²,4,3,Detached,2022-08-09,SI_666,,,52.243445,-6.378732,Buy,ROSSLARE_HARBOUR_WEXFORD,http://www.daft.ie/for-sale/detached-house-the-glebe-house-kilscoran-tagoat-co-wexford/3161994
2548453,12668481,"Furziestown, Tacumshane, Co. Wexford",450000.0,210,210 m²,5,3,Detached,2022-04-27,F,113208805,399.87 kWh/m2/yr,52.198701,-6.415309,Buy,ROSSLARE_HARBOUR_WEXFORD,http://www.daft.ie/for-sale/detached-house-furziestown-tacumshane-co-wexford/2548453
