id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3998402,112919095,"57 Collins Square, Smithfield, Dublin 7",415000.0,N/A,,2,2,Apartment,2022-08-10,,,,53.348121,-6.284625,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment-57-collins-square-smithfield-dublin-7/3998402
3998252,112917335,"91 Grosvenor Lodge, Rathmines, Rathmines, Dublin 6",415000.0,60,60 m²,2,1,Apartment,2022-07-28,D1,,,53.32549,-6.26903,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment-91-grosvenor-lodge-rathmines-rathmines-dublin-6/3998252
3997986,112915378,"Apartment 4, Victoria House, Ballsbridge, Dublin 4",435000.0,59,59 m²,2,1,Apartment,2022-08-10,F,115209934,401.61 kWh/m2/yr,53.334665,-6.243764,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-4-victoria-house-ballsbridge-dublin-4/3997986
3997048,112905003,"Apartment 22, McGoverns Corner, Dublin 8",345000.0,N/A,,1,1,Apartment,2022-07-27,C3,,,53.337217,-6.286868,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-22-mcgoverns-corner-dublin-8/3997048
3996921,112903021," Apartment 12, 30 Kenilworth Square West, Rathgar, Dublin 6",350000.0,50,50 m²,2,1,Apartment,2022-08-10,E2,,,53.318292,-6.277598,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment--apartment-12-30-kenilworth-square-west-rathgar-dublin-6/3996921
3989139,19713825,"Apartment 33, The Old Distillery, Dublin 7",324500.0,68,68 m²,2,1,Apartment,2022-08-10,C2,107199937,,53.34941,-6.273318,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-33-the-old-distillery-dublin-7/3989139
3996533,112898028,"Apartment 49, Joyce House East, Viking Harbour Apartments, Dublin 8",325000.0,47,47 m²,2,1,Apartment,2022-07-27,C2,107875882,182.76 kWh/m2/yr,53.346292,-6.283287,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-49-joyce-house-east-viking-harbour-apartments-dublin-8/3996533
3995916,112893041,"32 The Millennium Tower, Charlotte Quay Dock, Grand Canal Dock, Dublin 4",1150000.0,102,102 m²,3,2,Apartment,2022-08-10,,,,53.34284,-6.236924,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment-32-the-millennium-tower-charlotte-quay-dock-grand-canal-dock-dublin-4/3995916
3995901,112891672,"6 Hill Of Down House, Spencer Dock, IFSC, Co. Dublin",295000.0,62,62 m²,1,2,Apartment,2022-08-10,C1,106625809,172.42 kWh/m2/yr,53.350118,-6.23921,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment-6-hill-of-down-house-spencer-dock-ifsc-co-dublin/3995901
3995590,112887929,"26 Milltown Hall, Milltown Ave, Mount St. Annes, Milltown, Dublin 6",585000.0,82,82 m²,2,2,Apartment,2022-08-10,B1,111697439,99.25 kWh/m2/yr,53.313809,-6.250004,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment-26-milltown-hall-milltown-ave-mount-st-annes-milltown-dublin-6/3995590
3995425,112886051,"8 Kingston Lodge, Drumcondra, Dublin 3",240000.0,N/A,,1,1,Apartment,2022-08-10,D1,108901570,257.27 kWh/m2/yr,53.363645,-6.255243,Buy,ROYAL_IRISH_ACADEMY_OF_MUSIC_DUBLIN,http://www.daft.ie/for-sale/apartment-8-kingston-lodge-drumcondra-dublin-3/3995425
