id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3926522,19192840,"58 Crestfield Drive Whitehall Dublin 9, Whitehall, Dublin 9",425000.0,108,108 m²,3,2,Semi-D,2022-08-10,D2,114389737,270.27 kWh/m2/yr,53.386991,-6.2518236,Buy,SANTRY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-58-crestfield-drive-whitehall-dublin-9-whitehall-dublin-9/3926522
3921647,19150858,"38 Oldtown Road, Santry, Dublin 9",375000.0,80,80 m²,3,1,Semi-D,2022-08-10,D1,,,53.393193,-6.257101,Buy,SANTRY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-38-oldtown-road-santry-dublin-9/3921647
3920828,19142998,"67 Oldtown Avenue, Santry, Santry, Dublin 9",395000.0,95,95 m²,4,1,Semi-D,2022-08-10,E1,,,53.393462,-6.258365,Buy,SANTRY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-67-oldtown-avenue-santry-santry-dublin-9/3920828
3919272,19129094,"38 Shanliss Walk, Santry, Santry, Dublin 9",375000.0,74,74 m²,3,2,Semi-D,2022-08-10,C2,106477318,37.54 kWh/m2/yr,53.39375,-6.254017,Buy,SANTRY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-38-shanliss-walk-santry-santry-dublin-9/3919272
3918024,19117340,"15 Santry Villas, Santry, Dublin 9",375000.0,76,76 m²,2,1,Semi-D,2022-08-10,E1,101824662,330.44 kWh/m2/yr,53.397731,-6.242753,Buy,SANTRY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-15-santry-villas-santry-dublin-9/3918024
3911804,19064609,"13 Glenaan Road, Whitehall, Whitehall, Dublin 9",340000.0,78,78 m²,2,2,Terrace,2022-08-10,D1,,,53.385394,-6.247709,Buy,SANTRY_DUBLIN,http://www.daft.ie/for-sale/terraced-house-13-glenaan-road-whitehall-whitehall-dublin-9/3911804
3910581,19055003,"80 Shanard Road, Santry, Santry, Dublin 9",365000.0,89,89 m²,3,1,Semi-D,2022-08-10,E1,114827884,327.98 kWh/m2/yr,53.390738,-6.259008,Buy,SANTRY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-80-shanard-road-santry-santry-dublin-9/3910581
3907301,19023045,"62 Ellenfield Road, Whitehall, Whitehall, Dublin 9",345000.0,6,6 m²,2,1,End of Terrace,2022-08-05,D1,,,53.386829,-6.239009,Buy,SANTRY_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-62-ellenfield-road-whitehall-whitehall-dublin-9/3907301
3903692,18987591,"15 The Close, Beaumont Woods, Beaumont, Dublin 9",475000.0,89,89 m²,3,3,Semi-D,2022-08-10,D2,101917938,265.96 kWh/m2/yr,53.39142,-6.229406,Buy,SANTRY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-15-the-close-beaumont-woods-beaumont-dublin-9/3903692
3900084,18956021,"46 The Green, Beaumont Woods, Beaumont, Dublin 9",435000.0,90,90 m²,3,3,Semi-D,2022-06-02,C3,103968574,217.07 kWh/m2/yr,53.390596,-6.234057,Buy,SANTRY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-46-the-green-beaumont-woods-beaumont-dublin-9/3900084
