id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3545744,16215702,"Bawnishall, Castletownshend, Co. Cork",850000.0,177,177 m²,4,3,Detached,2022-08-10,C1,114380678,168.34 kWh/m2/yr,51.513255,-9.230878,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-bawnishall-castletownshend-co-cork/3545744
3489551,15897627,"Abbey Farmhouse, Glencurragh Road, Skibbereen, Co. Cork",845000.0,227,227 m²,4,4,Detached,2022-08-10,D2,114292022,286.61 kWh/m2/yr,51.555489,-9.292293,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-abbey-farmhouse-glencurragh-road-skibbereen-co-cork/3489551
3478178,15800555,"Laheratanvally, Aughadown, Skibbereen, Co. Cork",550000.0,N/A,,4,2,Detached,2022-08-08,C3,,,51.542134,-9.38469,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-laheratanvally-aughadown-skibbereen-co-cork/3478178
3472709,15739586,"Church Cross, Skibbereen, Co. Cork",350000.0,N/A,,3,2,Detached,2022-08-01,E1,114290737,319.55 kWh/m2/yr,51.542632,-9.34938,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-church-cross-skibbereen-co-cork/3472709
3492106,15926002,"Main Street, Castletownshend, Co. Cork",395000.0,N/A,,3,2,Townhouse,2022-08-08,F,,,51.527395,-9.177457,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/townhouse-main-street-castletownshend-co-cork/3492106
3466668,15677212,"4 Bridge Street, Skibbereen, Co. Cork",350000.0,251,251 m²,3,3,Terrace,2022-08-10,G,800796344,856.15 kWh/m2/yr,51.549223,-9.26798,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/terraced-house-4-bridge-street-skibbereen-co-cork/3466668
2947764,14013456,"WHITETHORN LODGE, Whitethorn Lodge, Skibbereen, Co. Cork",395000.0,N/A,,6,6,Detached,2022-08-02,C3,100668326,21866.0 kWh/m2/yr,51.554389,-9.273542,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-whitethorn-lodge-whitethorn-lodge-skibbereen-co-cork/2947764
1431277,12305648,"Ballylinch, Baltimore, Co. Cork",625000.0,N/A,,5,2,Detached,2022-08-01,E2,113167928,36987.0 kWh/m2/yr,51.484703,-9.345593,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-ballylinch-baltimore-co-cork/1431277
1120331,12058770,"Gortnalickey, Ringarogy, Baltimore, Co. Cork",200000.0,N/A,,1,1,Detached,2022-08-10,,,,51.499833574608,-9.371305139505239,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-gortnalickey-ringarogy-baltimore-co-cork/1120331
6800,11686297,"Olde School House, Former Nursing Home, Church Cross, Skibbereen, Co. Cork",350000.0,464,464 m²,18,6,Detached,2022-07-18,,,,51.54258,-9.349977,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-olde-school-house-former-nursing-home-church-cross-skibbereen-co-cork/6800
3545744,16215702,"Bawnishall, Castletownshend, Co. Cork",850000.0,177,177 m²,4,3,Detached,2022-08-10,C1,114380678,168.34 kWh/m2/yr,51.513255,-9.230878,Buy,SKIBBEREEN_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-bawnishall-castletownshend-co-cork/3545744
