id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3969153,19551369,"Tonaphubble Road, Tonaphubble, Sligo, Co. Sligo",195000.0,158,158 m²,3,2,Detached,2022-08-05,G,115049306,459.11 kWh/m2/yr,54.259026,-8.457645,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-tonaphubble-road-tonaphubble-sligo-co-sligo/3969153
3967311,19535148,"Bartragh, Enniscrone, Co. Sligo",100000.0,N/A,,4,3,Detached,2022-08-05,SI_666,,,54.205608,-9.101278,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-bartragh-enniscrone-co-sligo/3967311
3966242,19524867,"Rathbaun South, Ballymote, Co. Sligo",350000.0,N/A,,2,,Detached,2022-08-05,G,,,54.032157,-8.588136,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-rathbaun-south-ballymote-co-sligo/3966242
3963873,19506934,"Roseraie, 2 The Maples, Strandhill, Co. Sligo",400000.0,125,125 m²,4,3,Detached,2022-07-04,C3,115168767,217.12 kWh/m2/yr,54.269963,-8.600249,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-roseraie-2-the-maples-strandhill-co-sligo/3963873
3960102,19472752,"Mullaghroe, Cloonloo, Boyle, Co. Sligo",170000.0,170,170 m²,3,3,Detached,2022-07-11,D2,115232050,285.2 kWh/m2/yr,53.986509354894764,-8.461197552029915,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-mullaghroe-cloonloo-boyle-co-sligo/3960102
3957202,19444789,"Carrownrush, Rathlee, Easkey, Co. Sligo",325000.0,N/A,,4,3,Detached,2022-08-09,C1,,,54.289146,-9.019741,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-carrownrush-rathlee-easkey-co-sligo/3957202
3949222,19413298,"Rose Cottage, Creevykeel, Cliffoney, Co. Sligo",329950.0,N/A,,3,2,Detached,2022-08-09,D1,,,54.431907,-8.42304,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-rose-cottage-creevykeel-cliffoney-co-sligo/3949222
3946515,19388087,"6 Knockmuldowney Park, Ballisodare, Co. Sligo",450000.0,N/A,,5,3,Detached,2022-06-24,B3,,,54.215261,-8.511213,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-6-knockmuldowney-park-ballisodare-co-sligo/3946515
3945454,19377103,"Annagh, Riverstown, Co. Sligo",90000.0,N/A,,3,1,Detached,2022-07-25,D2,,,54.091219,-8.354213,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-annagh-riverstown-co-sligo/3945454
3938718,19312131,"Carrownyclowan, Geevagh, Co. Sligo",90000.0,209,209 m²,4,3,Detached,2022-06-28,SI_666,,,54.138603928275046,-8.271273090244478,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-carrownyclowan-geevagh-co-sligo/3938718
3938423,19309880,"Carrownadargny, Geevagh, Co. Sligo",55000.0,90,90 m²,3,1,Detached,2022-07-13,G,,,54.117455,-8.27487,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-carrownadargny-geevagh-co-sligo/3938423
3938227,19308250,"Down Yonder, Rosses Point, Co. Sligo",2400000.0,753,753 m²,9,10,Detached,2022-08-05,B2,115015117,,54.311663,-8.552404,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-down-yonder-rosses-point-co-sligo/3938227
3937399,19301135,"Down Yonder, Upper Rosses, Rosses Point, Co. Sligo",2400000.0,754,754 m²,9,10,Detached,2022-08-09,B2,115015117,,54.311663,-8.552404,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-down-yonder-upper-rosses-rosses-point-co-sligo/3937399
3929048,19219030,"Penny Lane, Cliffoney, Co. Sligo",249950.0,96,96 m²,3,2,Detached,2022-08-09,C2,,,54.430731,-8.451206,Buy,SLIGO,http://www.daft.ie/for-sale/detached-house-penny-lane-cliffoney-co-sligo/3929048
