id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3962274,19495503,"30 Saint Edwards Terrace, Sligo, Co. Sligo",139000.0,70,70 m²,3,1,End of Terrace,2022-08-08,G,108060963,731.3 kWh/m2/yr,54.276007,-8.472677,Buy,SLIGO_AND_SURROUNDS_SLIGO,http://www.daft.ie/for-sale/end-of-terrace-house-30-saint-edwards-terrace-sligo-co-sligo/3962274
3961293,19483403,"22 Clara Court, Farmhill, Sligo, Co. Sligo",225000.0,110,110 m²,3,3,Terrace,2022-08-10,C1,114384811,173.04 kWh/m2/yr,54.272113,-8.496495,Buy,SLIGO_AND_SURROUNDS_SLIGO,http://www.daft.ie/for-sale/terraced-house-22-clara-court-farmhill-sligo-co-sligo/3961293
3958964,19460009,"St Josephs Terrace, Sligo, Co. Sligo",85000.0,N/A,,,,Semi-D,2022-08-09,G,,655.05 kWh/m2/yr,54.265675,-8.473661,Buy,SLIGO_AND_SURROUNDS_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-st-josephs-terrace-sligo-co-sligo/3958964
3958735,19458893,"11 Saint Anne's Terrace, Sligo, Co. Sligo",165000.0,104,104 m²,4,1,Terrace,2022-08-05,E2,112608245,349.57 kWh/m2/yr,54.269761,-8.467237,Buy,SLIGO_AND_SURROUNDS_SLIGO,http://www.daft.ie/for-sale/terraced-house-11-saint-annes-terrace-sligo-co-sligo/3958735
3949874,19422104,"185 River Road, Cartron, Sligo, Co. Sligo",175000.0,91,91 m²,3,1,Semi-D,2022-08-05,D2,102473667,287.05 kWh/m2/yr,54.280616,-8.485337,Buy,SLIGO_AND_SURROUNDS_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-185-river-road-cartron-sligo-co-sligo/3949874
3947547,19399523,"41 Springfield, Sligo, Co. Sligo",210000.0,80,80 m²,2,2,Semi-D,2022-08-05,E1,106283070,360.39 kWh/m2/yr,54.305375,-8.47372,Buy,SLIGO_AND_SURROUNDS_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-41-springfield-sligo-co-sligo/3947547
3946515,19388087,"6 Knockmuldowney Park, Ballisodare, Co. Sligo",450000.0,N/A,,5,3,Detached,2022-06-24,B3,,,54.215261,-8.511213,Buy,SLIGO_AND_SURROUNDS_SLIGO,http://www.daft.ie/for-sale/detached-house-6-knockmuldowney-park-ballisodare-co-sligo/3946515
3946070,19381151,"Bramley, 1 Saint Kevin's Avenue, Sligo, Co. Sligo",565000.0,142,142 m²,5,2,Semi-D,2022-08-05,B3,100970987,131.75 kWh/m2/yr,54.271897,-8.499115,Buy,SLIGO_AND_SURROUNDS_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-bramley-1-saint-kevins-avenue-sligo-co-sligo/3946070
3945009,19373319,"9 Sandycove, Strandhill, Co. Sligo",420000.0,95,95 m²,3,3,Semi-D,2022-08-10,C2,109948240,195.97 kWh/m2/yr,54.272631,-8.580361,Buy,SLIGO_AND_SURROUNDS_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-9-sandycove-strandhill-co-sligo/3945009
3938227,19308250,"Down Yonder, Rosses Point, Co. Sligo",2400000.0,753,753 m²,9,10,Detached,2022-08-05,B2,115015117,,54.311663,-8.552404,Buy,SLIGO_AND_SURROUNDS_SLIGO,http://www.daft.ie/for-sale/detached-house-down-yonder-rosses-point-co-sligo/3938227
