id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3923642,19162841,"2 Old Bundoran Road, Sligo, Co. Sligo",170000.0,N/A,,3,1,Semi-D,2022-06-09,D1,108403296,,54.286022,-8.46715,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-2-old-bundoran-road-sligo-co-sligo/3923642
3921408,19149177,"70 Summerhill Village, Sligo, Co. Sligo",165000.0,84,84 m²,3,1,Terrace,2022-08-05,C1,100649722,155.58 kWh/m2/yr,54.266235,-8.474798,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/terraced-house-70-summerhill-village-sligo-co-sligo/3921408
3920940,19144629,"17 Highfield Road, Sligo, Co. Sligo",350000.0,N/A,,3,2,Detached,2022-08-05,C3,,,54.258991,-8.469406,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/detached-house-17-highfield-road-sligo-co-sligo/3920940
3908200,19030335,"12 Cairns Road, Sligo, Co. Sligo",199000.0,93,93 m²,3,1,Semi-D,2022-07-21,C3,102723608,,54.25635,-8.466664,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-12-cairns-road-sligo-co-sligo/3908200
3243241,14967753,"25 Wolfe Tone Street, Sligo, Co. Sligo",200000.0,107,107 m²,5,2,Townhouse,2022-06-01,E2,113831143,93.55 kWh/m2/yr,54.27078,-8.481949,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/townhouse-25-wolfe-tone-street-sligo-co-sligo/3243241
3908487,19032260,"2 Ballytivnan Road, Ballytivnan, Sligo, Co. Sligo",190000.0,85,85 m²,3,2,Semi-D,2022-07-25,D2,,,54.278911,-8.471179,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-2-ballytivnan-road-ballytivnan-sligo-co-sligo/3908487
3905273,19005784,"61 Saint Anne's Terrace, Sligo, Co. Sligo",160000.0,80,80 m²,3,1,End of Terrace,2022-07-21,E2,103646402,,54.270818,-8.468498,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/end-of-terrace-house-61-saint-annes-terrace-sligo-co-sligo/3905273
3903960,18992150,"1 & 2 Dominick St. & 1 Church St, Sligo, Co. Sligo",380000.0,N/A,,9,5,Terrace,2022-08-10,G,114827652,622.61 kWh/m2/yr,54.269478,-8.47491,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/terraced-house-1-2-dominick-st-1-church-st-sligo-co-sligo/3903960
3822639,18842748,"36 Crozon Crescent, Sligo, Co. Sligo",350000.0,188,188 m²,4,2,Detached,2022-06-15,D2,109371526,264.0 kWh/m2/yr,54.261514,-8.474085,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/detached-house-36-crozon-crescent-sligo-co-sligo/3822639
3822517,18840942,"25 Holborn Street, Sligo, Co. Sligo",60000.0,42,42 m²,2,,Terrace,2022-08-10,G,114864283,539.72 kWh/m2/yr,54.273876,-8.473452,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/terraced-house-25-holborn-street-sligo-co-sligo/3822517
3816447,18786108,"102 Heather View, Tonaphubble, Sligo, Co. Sligo",210000.0,110,110 m²,3,2,Semi-D,2022-06-15,D1,114809833,234.0 kWh/m2/yr,54.256432,-8.462642,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-102-heather-view-tonaphubble-sligo-co-sligo/3816447
3815224,18774086,"6 Oak Lawn, Pearse Road, Sligo, Co. Sligo",259000.0,124,124 m²,4,3,Semi-D,2022-07-01,D1,107802522,,54.255247,-8.473063,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-6-oak-lawn-pearse-road-sligo-co-sligo/3815224
3790558,18570950,"Kildonagh House, Ballincar, Rosses Point, Co. Sligo",695000.0,374,374 m²,8,8,Detached,2022-08-05,D1,111982534,268.57 kWh/m2/yr,54.297103,-8.503573,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/detached-house-kildonagh-house-ballincar-rosses-point-co-sligo/3790558
3781932,18491531,"Ard Aras, Tonaphubble, Sligo, Co. Sligo",300000.0,N/A,,3,2,Detached,2022-06-10,E2,114600927,349.59 kWh/m2/yr,54.258469,-8.453435,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/detached-house-ard-aras-tonaphubble-sligo-co-sligo/3781932
3751899,18256428,"3 Rusheen é�rd, Caltragh, Sligo, Co. Sligo",215000.0,90,90 m²,3,3,Semi-D,2022-07-25,C2,,,54.259488,-8.474788,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-3-rusheen-rd-caltragh-sligo-co-sligo/3751899
3748986,18224898,"43 Mountain Close, Cartron, Sligo, Co. Sligo",195000.0,N/A,,4,1,Semi-D,2022-06-13,E1,,,54.281328,-8.479468,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-43-mountain-close-cartron-sligo-co-sligo/3748986
3744385,18179912,"2 Prospect Drive, Brooklawns, First Sea Road, Sligo, Co. Sligo",230000.0,105,105 m²,3,2,Terrace,2022-08-10,B2,100408285,112.32 kWh/m2/yr,54.276714,-8.505427,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/terraced-house-2-prospect-drive-brooklawns-first-sea-road-sligo-co-sligo/3744385
3656516,17369811,"23 Seaview Park, First Sea Road, Sligo, Co. Sligo",185000.0,83,83 m²,3,2,Semi-D,2022-08-10,E1,108041567,317.47 kWh/m2/yr,54.274208,-8.505453,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-23-seaview-park-first-sea-road-sligo-co-sligo/3656516
3686769,17681387,"35 Thornhill, Sligo, Co. Sligo",309000.0,145,145 m²,5,2,Semi-D,2022-08-08,E2,114530561,343.59 kWh/m2/yr,54.26946,-8.491508,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-35-thornhill-sligo-co-sligo/3686769
3628549,17058067,"Doonally, Calry, Co. Sligo",380000.0,97,97 m²,3,2,Semi-D,2022-07-05,D1,,,54.294373,-8.439335,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-doonally-calry-co-sligo/3628549
3923642,19162841,"2 Old Bundoran Road, Sligo, Co. Sligo",170000.0,N/A,,3,1,Semi-D,2022-06-09,D1,108403296,,54.286022,-8.46715,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-2-old-bundoran-road-sligo-co-sligo/3923642
3921408,19149177,"70 Summerhill Village, Sligo, Co. Sligo",165000.0,84,84 m²,3,1,Terrace,2022-08-05,C1,100649722,155.58 kWh/m2/yr,54.266235,-8.474798,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/terraced-house-70-summerhill-village-sligo-co-sligo/3921408
3920940,19144629,"17 Highfield Road, Sligo, Co. Sligo",350000.0,N/A,,3,2,Detached,2022-08-05,C3,,,54.258991,-8.469406,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/detached-house-17-highfield-road-sligo-co-sligo/3920940
3908200,19030335,"12 Cairns Road, Sligo, Co. Sligo",199000.0,93,93 m²,3,1,Semi-D,2022-07-21,C3,102723608,,54.25635,-8.466664,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-12-cairns-road-sligo-co-sligo/3908200
3243241,14967753,"25 Wolfe Tone Street, Sligo, Co. Sligo",200000.0,107,107 m²,5,2,Townhouse,2022-06-01,E2,113831143,93.55 kWh/m2/yr,54.27078,-8.481949,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/townhouse-25-wolfe-tone-street-sligo-co-sligo/3243241
3908487,19032260,"2 Ballytivnan Road, Ballytivnan, Sligo, Co. Sligo",190000.0,85,85 m²,3,2,Semi-D,2022-07-25,D2,,,54.278911,-8.471179,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-2-ballytivnan-road-ballytivnan-sligo-co-sligo/3908487
3905273,19005784,"61 Saint Anne's Terrace, Sligo, Co. Sligo",160000.0,80,80 m²,3,1,End of Terrace,2022-07-21,E2,103646402,,54.270818,-8.468498,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/end-of-terrace-house-61-saint-annes-terrace-sligo-co-sligo/3905273
3903960,18992150,"1 & 2 Dominick St. & 1 Church St, Sligo, Co. Sligo",380000.0,N/A,,9,5,Terrace,2022-08-10,G,114827652,622.61 kWh/m2/yr,54.269478,-8.47491,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/terraced-house-1-2-dominick-st-1-church-st-sligo-co-sligo/3903960
3822639,18842748,"36 Crozon Crescent, Sligo, Co. Sligo",350000.0,188,188 m²,4,2,Detached,2022-06-15,D2,109371526,264.0 kWh/m2/yr,54.261514,-8.474085,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/detached-house-36-crozon-crescent-sligo-co-sligo/3822639
3822517,18840942,"25 Holborn Street, Sligo, Co. Sligo",60000.0,42,42 m²,2,,Terrace,2022-08-10,G,114864283,539.72 kWh/m2/yr,54.273876,-8.473452,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/terraced-house-25-holborn-street-sligo-co-sligo/3822517
3816447,18786108,"102 Heather View, Tonaphubble, Sligo, Co. Sligo",210000.0,110,110 m²,3,2,Semi-D,2022-06-15,D1,114809833,234.0 kWh/m2/yr,54.256432,-8.462642,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-102-heather-view-tonaphubble-sligo-co-sligo/3816447
3815224,18774086,"6 Oak Lawn, Pearse Road, Sligo, Co. Sligo",259000.0,124,124 m²,4,3,Semi-D,2022-07-01,D1,107802522,,54.255247,-8.473063,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-6-oak-lawn-pearse-road-sligo-co-sligo/3815224
3790558,18570950,"Kildonagh House, Ballincar, Rosses Point, Co. Sligo",695000.0,374,374 m²,8,8,Detached,2022-08-05,D1,111982534,268.57 kWh/m2/yr,54.297103,-8.503573,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/detached-house-kildonagh-house-ballincar-rosses-point-co-sligo/3790558
3781932,18491531,"Ard Aras, Tonaphubble, Sligo, Co. Sligo",300000.0,N/A,,3,2,Detached,2022-06-10,E2,114600927,349.59 kWh/m2/yr,54.258469,-8.453435,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/detached-house-ard-aras-tonaphubble-sligo-co-sligo/3781932
3751899,18256428,"3 Rusheen é�rd, Caltragh, Sligo, Co. Sligo",215000.0,90,90 m²,3,3,Semi-D,2022-07-25,C2,,,54.259488,-8.474788,Buy,SLIGO_SLIGO,http://www.daft.ie/for-sale/semi-detached-house-3-rusheen-rd-caltragh-sligo-co-sligo/3751899
