id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3910802,19056644,"10 St John's Avenue, Pimlico, Dublin 8",300000.0,70,70 m²,2,1,Terrace,2022-08-10,E1,114404361,325.83 kWh/m2/yr,53.33957,-6.280856,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-10-st-johns-avenue-pimlico-dublin-8/3910802
3906614,19019635,"7 Glenmalure Villas, James's Walk, Rialto, Dublin 8",545000.0,86,86 m²,3,1,Terrace,2022-06-09,C3,114890841,205.35 kWh/m2/yr,53.337455,-6.298805,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-7-glenmalure-villas-jamess-walk-rialto-dublin-8/3906614
3906475,19018438,"7a Spencer Street South, South Circular Road, Dublin 8",395000.0,41,41 m²,1,1,End of Terrace,2022-08-10,F,101765626,428.67 kWh/m2/yr,53.332806,-6.273382,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-7a-spencer-street-south-south-circular-road-dublin-8/3906475
3905362,19005887,"23 James's Street, Dublin 8",250000.0,250,250 m²,4,3,Terrace,2022-06-23,SI_666,,,53.342841,-6.29138,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-23-jamess-street-dublin-8/3905362
3900159,18956058,"7 Ovoca Road, Portobello, Dublin 8",1400000.0,170,170 m²,7,7,Terrace,2022-08-08,SI_666,,,53.333753,-6.270604,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-7-ovoca-road-portobello-dublin-8/3900159
3894896,18900263,"78 New Ireland Road, Rialto, Dublin 8",495000.0,89,89 m²,3,1,Terrace,2022-08-10,E2,114814858,341.69 kWh/m2/yr,53.335731,-6.3014,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-78-new-ireland-road-rialto-dublin-8/3894896
3823213,18846979,"44 Eugene Street, Cork Street, Dublin 8",249950.0,N/A,,1,1,Terrace,2022-06-22,C2,109984187,177.9 kWh/m2/yr,53.335312,-6.287623,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-44-eugene-street-cork-street-dublin-8/3823213
3819523,18811540,"11 Brabazon Street, Dublin 8",399000.0,110,110 m²,4,2,Terrace,2022-08-10,D1,,,53.339245,-6.278225,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-11-brabazon-street-dublin-8/3819523
3811327,18739257,"21 O'Curry Road, South Circular Road, Dublin 8",475000.0,82,82 m²,3,1,Terrace,2022-08-09,E2,,,53.336527,-6.280795,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-21-ocurry-road-south-circular-road-dublin-8/3811327
3804605,18685204,"44 Old, Kilmainham, Dublin 8",295000.0,70,70 m²,2,1,Terrace,2022-08-10,F,112433826,447.66 kWh/m2/yr,53.340776,-6.306495,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-44-old-kilmainham-dublin-8/3804605
3800869,18650731,"Townhouse 2, Brabazon Hall, Dublin 8",425000.0,84,84 m²,2,1,Townhouse,2022-07-22,C2,,,53.339047,-6.280667,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/townhouse-townhouse-2-brabazon-hall-dublin-8/3800869
3778637,18462457,"31 Herberton Park, Rialto, Dublin 8",1350000.0,N/A,,9,7,Semi-D,2022-08-09,D2,,,53.335065,-6.296661,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-31-herberton-park-rialto-dublin-8/3778637
3764344,18345214,"79 South Circular Road, Portobello, Dublin 8",1195000.0,182,182 m²,5,3,Terrace,2022-08-08,SI_666,,,53.331981,-6.273352,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-79-south-circular-road-portobello-dublin-8/3764344
3761041,18313327,"11 Reilly's Avenue, Cork Street, Dublin 8",350000.0,93,93 m²,3,1,Terrace,2022-08-08,C2,114743495,199.0 kWh/m2/yr,53.333751,-6.289374,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-11-reillys-avenue-cork-street-dublin-8/3761041
3751141,18242419,"54 John Street South, Dublin 8",280000.0,78,78 m²,2,1,End of Terrace,2022-08-10,F,,,53.338919,-6.282029,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-54-john-street-south-dublin-8/3751141
3751088,18242390,"47 Cameron Square, Kilmainham, Dublin 8",375000.0,75,75 m²,2,1,Terrace,2022-08-10,D1,114724388,246.9 kWh/m2/yr,53.340341,-6.300762,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-47-cameron-square-kilmainham-dublin-8/3751088
3501746,16018584,"57 Old Kilmainham, Dublin 8",245000.0,60,60 m²,2,1,Terrace,2022-07-30,G,114557713,474.97 kWh/m2/yr,53.340627,-6.305678,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-57-old-kilmainham-dublin-8/3501746
3728396,18020779,"5 O'Donovan Road, South Circular Road, Dublin 8",399000.0,78,78 m²,3,1,Terrace,2022-08-09,G,114681240,,53.334583,-6.280681,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-5-odonovan-road-south-circular-road-dublin-8/3728396
3693349,17738523,"25 Upper Cross Road, Rialto, Dublin 8",425000.0,100,100 m²,3,1,Terrace,2022-08-10,C1,103817235,164.34 kWh/m2/yr,53.335901,-6.300908,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-25-upper-cross-road-rialto-dublin-8/3693349
3562084,16359697,"Portland House, 555 South Circular Road, Kilmainham, Dublin 8",825000.0,164,164 m²,5,5,End of Terrace,2022-08-10,E2,113774228,354.01 kWh/m2/yr,53.33873,-6.302587,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-portland-house-555-south-circular-road-kilmainham-dublin-8/3562084
35070,11693717,"178 Ceannt Fort, Mount Brown, Rialto, Dublin 8",325000.0,N/A,,2,1,Terrace,2022-06-02,,,,53.3409938,-6.2977365,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-178-ceannt-fort-mount-brown-rialto-dublin-8/35070
3910802,19056644,"10 St John's Avenue, Pimlico, Dublin 8",300000.0,70,70 m²,2,1,Terrace,2022-08-10,E1,114404361,325.83 kWh/m2/yr,53.33957,-6.280856,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-10-st-johns-avenue-pimlico-dublin-8/3910802
3906614,19019635,"7 Glenmalure Villas, James's Walk, Rialto, Dublin 8",545000.0,86,86 m²,3,1,Terrace,2022-06-09,C3,114890841,205.35 kWh/m2/yr,53.337455,-6.298805,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-7-glenmalure-villas-jamess-walk-rialto-dublin-8/3906614
3906475,19018438,"7a Spencer Street South, South Circular Road, Dublin 8",395000.0,41,41 m²,1,1,End of Terrace,2022-08-10,F,101765626,428.67 kWh/m2/yr,53.332806,-6.273382,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-7a-spencer-street-south-south-circular-road-dublin-8/3906475
3905362,19005887,"23 James's Street, Dublin 8",250000.0,250,250 m²,4,3,Terrace,2022-06-23,SI_666,,,53.342841,-6.29138,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-23-jamess-street-dublin-8/3905362
3900159,18956058,"7 Ovoca Road, Portobello, Dublin 8",1400000.0,170,170 m²,7,7,Terrace,2022-08-08,SI_666,,,53.333753,-6.270604,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-7-ovoca-road-portobello-dublin-8/3900159
3894896,18900263,"78 New Ireland Road, Rialto, Dublin 8",495000.0,89,89 m²,3,1,Terrace,2022-08-10,E2,114814858,341.69 kWh/m2/yr,53.335731,-6.3014,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-78-new-ireland-road-rialto-dublin-8/3894896
3823213,18846979,"44 Eugene Street, Cork Street, Dublin 8",249950.0,N/A,,1,1,Terrace,2022-06-22,C2,109984187,177.9 kWh/m2/yr,53.335312,-6.287623,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-44-eugene-street-cork-street-dublin-8/3823213
3819523,18811540,"11 Brabazon Street, Dublin 8",399000.0,110,110 m²,4,2,Terrace,2022-08-10,D1,,,53.339245,-6.278225,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-11-brabazon-street-dublin-8/3819523
3811327,18739257,"21 O'Curry Road, South Circular Road, Dublin 8",475000.0,82,82 m²,3,1,Terrace,2022-08-09,E2,,,53.336527,-6.280795,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-21-ocurry-road-south-circular-road-dublin-8/3811327
3804605,18685204,"44 Old, Kilmainham, Dublin 8",295000.0,70,70 m²,2,1,Terrace,2022-08-10,F,112433826,447.66 kWh/m2/yr,53.340776,-6.306495,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-44-old-kilmainham-dublin-8/3804605
3800869,18650731,"Townhouse 2, Brabazon Hall, Dublin 8",425000.0,84,84 m²,2,1,Townhouse,2022-07-22,C2,,,53.339047,-6.280667,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/townhouse-townhouse-2-brabazon-hall-dublin-8/3800869
3778637,18462457,"31 Herberton Park, Rialto, Dublin 8",1350000.0,N/A,,9,7,Semi-D,2022-08-09,D2,,,53.335065,-6.296661,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-31-herberton-park-rialto-dublin-8/3778637
3764344,18345214,"79 South Circular Road, Portobello, Dublin 8",1195000.0,182,182 m²,5,3,Terrace,2022-08-08,SI_666,,,53.331981,-6.273352,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-79-south-circular-road-portobello-dublin-8/3764344
3761041,18313327,"11 Reilly's Avenue, Cork Street, Dublin 8",350000.0,93,93 m²,3,1,Terrace,2022-08-08,C2,114743495,199.0 kWh/m2/yr,53.333751,-6.289374,Buy,SOUTH_CIRCULAR_ROAD_DUBLIN,http://www.daft.ie/for-sale/terraced-house-11-reillys-avenue-cork-street-dublin-8/3761041
