id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3958072,19451788,"3 Thornleigh Green, Swords, Co. Dublin",295000.0,97,97 m²,2,2,Terrace,2022-08-10,C1,,,53.472845,-6.232327,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-3-thornleigh-green-swords-co-dublin/3958072
3957966,19450157,"102 Sandford Woods, Swords, Co. Dublin",425000.0,N/A,,4,3,Semi-D,2022-08-10,B3,100596949,128.53 kWh/m2/yr,53.46892,-6.231011,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-102-sandford-woods-swords-co-dublin/3957966
3957239,19445136,"23 Lissadel Woods Swords Road Malahide, Malahide, Co. Dublin",495000.0,128,128 m²,3,3,Terrace,2022-08-10,B2,113547822,105.21 kWh/m2/yr,53.4514025,-6.188778,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-23-lissadel-woods-swords-road-malahide-malahide-co-dublin/3957239
3955855,19430710,"26 Brookdale Drive, Swords, Co. Dublin",415000.0,103,103 m²,3,3,Semi-D,2022-08-10,D1,,,53.45317,-6.246315,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-26-brookdale-drive-swords-co-dublin/3955855
3946749,19391721,"8 Abbeyvale Court, Swords, Co. Dublin",385000.0,94,94 m²,3,3,Semi-D,2022-08-09,C3,115181430,220.6 kWh/m2/yr,53.462535,-6.252684,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-8-abbeyvale-court-swords-co-dublin/3946749
3944879,19372564,"51 Parkview, Swords, Co. Dublin",320000.0,N/A,,3,2,Semi-D,2022-08-10,D1,114885031,227.03 kWh/m2/yr,53.459312,-6.254868,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-51-parkview-swords-co-dublin/3944879
3942926,19351861,"33 The Oaks, Ridgewood, Swords, Co. Dublin",370000.0,93,93 m²,3,3,End of Terrace,2022-08-09,C3,107333734,214.3 kWh/m2/yr,53.445775,-6.243542,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-33-the-oaks-ridgewood-swords-co-dublin/3942926
3937365,19299575,"Deanstown Swords, Swords, Co. Dublin",775000.0,204,204 m²,5,3,Detached,2022-06-21,B2,113908115,111.71 kWh/m2/yr,53.501445,-6.228291,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/detached-house-deanstown-swords-swords-co-dublin/3937365
3933065,19255041,"50 Boroimhe Aspen, Swords, Co. Dublin",480000.0,132,132 m²,4,3,End of Terrace,2022-08-10,C2,,,53.445656,-6.239447,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-50-boroimhe-aspen-swords-co-dublin/3933065
3932988,19255003,"36 The Green, Melrose Park, Kinsealy, Co. Dublin",375000.0,N/A,,3,1,Semi-D,2022-08-02,D1,101814523,,53.444385,-6.201827,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-36-the-green-melrose-park-kinsealy-co-dublin/3932988
3931756,19243276,"51 The Oaks, Ridgewood, Swords, Co. Dublin",320000.0,70,70 m²,2,2,Terrace,2022-07-25,C2,114852486,,53.446038,-6.24527,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-51-the-oaks-ridgewood-swords-co-dublin/3931756
3931486,19239649,"28 Hawthorn Park, Forest Road, Swords, Co. Dublin",630000.0,158,158 m²,4,4,Detached,2022-08-08,C3,,,53.451771,-6.232241,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/detached-house-28-hawthorn-park-forest-road-swords-co-dublin/3931486
3930034,19230567,"12 Seatown Terrace, Swords, Co. Dublin",335000.0,N/A,,3,1,Terrace,2022-08-10,,,,53.4641073,-6.2115356,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-12-seatown-terrace-swords-co-dublin/3930034
3929769,19226634,"17 Applewood Close, Swords, Co. Dublin",149950.0,N/A,,1,1,Terrace,2022-06-21,C3,,,53.470616,-6.230448,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-17-applewood-close-swords-co-dublin/3929769
3927237,19200349,"9 Forest Road, Swords, Co. Dublin",350000.0,N/A,,2,1,Semi-D,2022-08-10,F,106784846,444.09 kWh/m2/yr,53.45465,-6.223945,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-9-forest-road-swords-co-dublin/3927237
3927204,19200329,"43 Brackenstown Village, Swords, Co. Dublin",365000.0,90,90 m²,3,1,Semi-D,2022-08-10,D2,114862410,291.28 kWh/m2/yr,53.458657,-6.238938,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-43-brackenstown-village-swords-co-dublin/3927204
3923613,19162154,"Deanestown Balheary Swords, Swords, Co. Dublin",995000.0,300,300 m²,4,5,Detached,2022-06-21,B2,113907950,106.18 kWh/m2/yr,53.501083,-6.228734,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/detached-house-deanestown-balheary-swords-swords-co-dublin/3923613
3922059,19154556,"22 St. Andrews Park, Swords, Co. Dublin",499000.0,115,115 m²,4,4,Semi-D,2022-08-10,C2,115164964,197.51 kWh/m2/yr,53.4668691,-6.2357504,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-22-st-andrews-park-swords-co-dublin/3922059
3922065,19154558,"141 Cianlea, Rathbeale Road, Swords, Co. Dublin",350000.0,83,83 m²,3,1,End of Terrace,2022-08-10,C1,101932358,169.14 kWh/m2/yr,53.4650169,-6.2413384,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-141-cianlea-rathbeale-road-swords-co-dublin/3922065
3922061,19154555,"10 Castleview Heath, Swords, Co. Dublin",305000.0,74,74 m²,2,1,Terrace,2022-08-10,C2,115008054,197.23 kWh/m2/yr,53.4733358,-6.2394703,Buy,SWORDS_AND_SURROUNDS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-10-castleview-heath-swords-co-dublin/3922061
