id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3981838,19635258,"73A Cill Cais, Old Bawn Road, Tallaght, Dublin 24",345000.0,N/A,,2,2,End of Terrace,2022-07-14,B3,,,53.27906,-6.372131,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-73a-cill-cais-old-bawn-road-tallaght-dublin-24/3981838
3979663,19622659,"5 Fernwood Park, Springfield, Tallaght, Dublin 24",285000.0,82,82 m²,3,1,Terrace,2022-08-09,D1,,,53.287835,-6.385429,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-5-fernwood-park-springfield-tallaght-dublin-24/3979663
3977320,19605328,"184 St James's Road, Greenhills, Dublin 12",395000.0,N/A,,3,1,Terrace,2022-08-10,,,,53.316019,-6.334495,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-184-st-jamess-road-greenhills-dublin-12/3977320
3977197,19605243,"10 Ellensborough Grove, Kiltipper, Dublin 24",395000.0,137,137 m²,3,2,Semi-D,2022-08-09,C2,,,53.266887,-6.370546,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-ellensborough-grove-kiltipper-dublin-24/3977197
3975863,19601623,"1 Rosebank, Old Bawn, Tallaght, Dublin 24",425000.0,118,118 m²,4,2,Semi-D,2022-08-10,E2,115193740,342.71 kWh/m2/yr,53.281436,-6.36377,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-1-rosebank-old-bawn-tallaght-dublin-24/3975863
3973853,19588035,"14 Sundale Heights, Tallaght, Tallaght, Dublin 24",270000.0,83,83 m²,3,2,Semi-D,2022-08-09,C3,,,53.283457,-6.408959,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-14-sundale-heights-tallaght-tallaght-dublin-24/3973853
3971679,19570803,"8 Avonmore Grove, Tallaght, Tallaght, Dublin 24",280000.0,N/A,,3,1,Terrace,2022-08-05,E1,115393597,322.71 kWh/m2/yr,53.284848,-6.344199,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-8-avonmore-grove-tallaght-tallaght-dublin-24/3971679
3971146,19567127,"1A Carriglea Walk, Firhouse, Dublin 24",445000.0,98,98 m²,3,3,Detached,2022-07-11,C3,104183900,223.89 kWh/m2/yr,53.278068,-6.339292,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/detached-house-1a-carriglea-walk-firhouse-dublin-24/3971146
3970385,19559863,"34 Pineview Grove, Aylesbury, Tallaght, Dublin 24",310000.0,89,89 m²,3,1,Semi-D,2022-08-09,D2,,,53.275109,-6.366842,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-34-pineview-grove-aylesbury-tallaght-dublin-24/3970385
3970083,19558566,"10 Glencarrig Court, Firhouse, Firhouse, Dublin 24",385000.0,74,74 m²,3,1,Semi-D,2022-08-10,D2,,,53.276005,-6.350893,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-glencarrig-court-firhouse-firhouse-dublin-24/3970083
3970069,19558517,"44 Forest Avenue, Kingswood Heights, Tallaght, Dublin 24",410000.0,109,109 m²,3,2,Semi-D,2022-07-14,SI_666,,,53.307354,-6.361595,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-44-forest-avenue-kingswood-heights-tallaght-dublin-24/3970069
3968124,19542400,"28 Westpark, Tallaght, Dublin 24",320000.0,105,105 m²,3,1,Semi-D,2022-08-10,E2,114880636,378.34 kWh/m2/yr,53.286748,-6.364014,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-28-westpark-tallaght-dublin-24/3968124
3967762,19539403,"198 St James Road, Walkinstown, Dublin 12",395000.0,94,94 m²,3,1,End of Terrace,2022-07-06,D2,107958498,290.12 kWh/m2/yr,53.311306,-6.338466,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-198-st-james-road-walkinstown-dublin-12/3967762
3967231,19532925,"18 Oakdale Crescent, Ballycullen, Ballycullen, Dublin 16",495000.0,153,153 m²,4,3,Semi-D,2022-08-09,C2,,,53.271915,-6.341279,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-18-oakdale-crescent-ballycullen-ballycullen-dublin-16/3967231
3966185,19523522,"20 St Malachys Drive, Greenhills, Dublin 12",385000.0,80,80 m²,3,2,Terrace,2022-08-10,E1,,,53.310962,-6.333506,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-20-st-malachys-drive-greenhills-dublin-12/3966185
3965661,19520066,"20 Céºl Na Gréine, Oldbawn, Tallaght, Dublin 24",395000.0,115,115 m²,3,2,Semi-D,2022-07-05,E1,113865943,,53.280365,-6.369576,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-20-c-l-na-gr-ine-oldbawn-tallaght-dublin-24/3965661
3965175,19515228,"9 Elder Heath Vale, Kiltipper, Dublin 24",395000.0,125,125 m²,3,3,Semi-D,2022-08-09,A3,,,53.26992,-6.377345,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-9-elder-heath-vale-kiltipper-dublin-24/3965175
3961000,19480041,"10 Ferncourt Green, Ballycullen, Dublin 24",545000.0,125,125 m²,4,3,Detached,2022-07-01,B3,101328623,134.35 kWh/m2/yr,53.272771,-6.345712,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/detached-house-10-ferncourt-green-ballycullen-dublin-24/3961000
3960268,19474743,"29 Limekiln Avenue, Walkinstown, Walkinstown, Dublin 12",374950.0,N/A,,3,2,Terrace,2022-06-30,SI_666,,,53.305998,-6.334138,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-29-limekiln-avenue-walkinstown-walkinstown-dublin-12/3960268
3957670,19448855,"3 Birchview Avenue, Kilnamanagh, Dublin 24",375000.0,117,117 m²,4,1,Semi-D,2022-08-10,F,114748197,403.17 kWh/m2/yr,53.300418,-6.354449,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-3-birchview-avenue-kilnamanagh-dublin-24/3957670
3949468,19416208,"4 Brookdale, Old Bawn Road, Tallaght, Dublin 24",395000.0,113,113 m²,3,2,Semi-D,2022-08-09,C2,,,53.280872,-6.361458,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-4-brookdale-old-bawn-road-tallaght-dublin-24/3949468
3949025,19411290,"49 Suncroft Park, Tallaght, Dublin 24",225000.0,74,74 m²,3,1,Semi-D,2022-08-04,E1,,,53.282328,-6.406919,Buy,TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-49-suncroft-park-tallaght-dublin-24/3949025
