id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3941128,19335273,"30 Lee Drive, Ballinorig, Tralee, Co. Kerry",210000.0,N/A,,3,3,Terrace,2022-06-20,SI_666,,,52.268228,-9.675485,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/terraced-house-30-lee-drive-ballinorig-tralee-co-kerry/3941128
3940961,19333268,"Alderwood Road, Tralee, Co. Kerry",425000.0,N/A,,5,5,Detached,2022-07-07,C3,,,52.294515,-9.663624,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-alderwood-road-tralee-co-kerry/3940961
3940359,19325850,"2B Clonmore Grove, Tralee, Co. Kerry",165000.0,N/A,,3,1,Semi-D,2022-08-02,C1,,,52.265075,-9.696236,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/semi-detached-house-2b-clonmore-grove-tralee-co-kerry/3940359
3936171,19285823,"14 Oakfield Square, Tralee, Co. Kerry",440000.0,204,204 m²,4,4,Detached,2022-08-09,C1,115048894,168.12 kWh/m2/yr,52.28007,-9.690515,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-14-oakfield-square-tralee-co-kerry/3936171
3934473,19270562,"Muing East, Tralee, Co. Kerry",Price on Application,N/A,,2,1,Detached,2022-06-15,SI_666,,,52.278086,-9.678691,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-muing-east-tralee-co-kerry/3934473
3929219,19222087,"Lismore, Tralee, Co. Kerry",280000.0,N/A,,2,1,Detached,2022-08-10,F,107900581,390.74 kWh/m2/yr,52.300454,-9.669225,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-lismore-tralee-co-kerry/3929219
3927308,19200386,"86 Lee Drive, Ballinorig, Tralee, Co. Kerry",180000.0,N/A,,3,3,End of Terrace,2022-07-08,C2,112497318,199.69 kWh/m2/yr,52.267373,-9.673512,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/end-of-terrace-house-86-lee-drive-ballinorig-tralee-co-kerry/3927308
3924203,19169224,"6 Cois Maoile Caherina, Tralee, Co. Kerry",Price on Application,100,100 m²,2,2,Semi-D,2022-06-07,E2,,,52.26845253909153,-9.71947874062343,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/semi-detached-house-6-cois-maoile-caherina-tralee-co-kerry/3924203
3921984,19154489,"4 Mountain View, Killeen, Tralee, Co. Kerry",Price on Application,N/A,,5,3,Detached,2022-08-10,C3,,,52.283223,-9.688411,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-4-mountain-view-killeen-tralee-co-kerry/3921984
3921438,19149190,"34 Beenoskee, Ballyard, Tralee, Co. Kerry",520000.0,N/A,,5,4,Detached,2022-07-07,B3,114773708,140.25 kWh/m2/yr,52.256411,-9.700281,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-34-beenoskee-ballyard-tralee-co-kerry/3921438
3917948,19116267,"72 Ashgrove, Ballyvelly, Tralee, Co. Kerry",215000.0,N/A,,4,1,Detached,2022-08-10,D2,108094467,272.77 kWh/m2/yr,52.265224,-9.731085,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-72-ashgrove-ballyvelly-tralee-co-kerry/3917948
3917914,19115157,"27 Cahill's Park, Tralee, Co. Kerry",150000.0,N/A,,2,1,End of Terrace,2022-08-09,D1,,,52.269803,-9.716573,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/end-of-terrace-house-27-cahills-park-tralee-co-kerry/3917914
3909986,19047941,"Camp, Ballyseedy, Tralee, Co. Kerry",470000.0,181,181 m²,4,3,Detached,2022-08-09,C2,114452733,191.35 kWh/m2/yr,52.254969,-9.688462,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-camp-ballyseedy-tralee-co-kerry/3909986
3909124,19038343,"Clogher, Ballymacelligott, Co. Kerry",395000.0,N/A,,4,3,Detached,2022-08-02,C1,,,52.259219,-9.561944,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-clogher-ballymacelligott-co-kerry/3909124
3908199,19029233,"146 Lee Drive, Ballinorig, Tralee, Co. Kerry",215000.0,N/A,,3,2,End of Terrace,2022-08-10,C1,114868094,155.98 kWh/m2/yr,52.266292,-9.673814,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/end-of-terrace-house-146-lee-drive-ballinorig-tralee-co-kerry/3908199
3904379,18997665,"12 Castlewood Park, Killierisk, Tralee, Co. Kerry",250000.0,N/A,,4,3,Semi-D,2022-05-23,SI_666,,,52.261013,-9.689741,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/semi-detached-house-12-castlewood-park-killierisk-tralee-co-kerry/3904379
3899696,18950867,"8 Bothar An Mhuileann, Ballyard, Tralee, Co. Kerry",550000.0,N/A,,4,4,Detached,2022-07-12,B2,115173957,132.21 kWh/m2/yr,52.256661,-9.711667,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-8-bothar-an-mhuileann-ballyard-tralee-co-kerry/3899696
3896505,18916722,"4 Hollow View, Oakview Village, Tralee, Co. Kerry",235000.0,N/A,,3,3,Semi-D,2022-05-18,C2,111524328,180.74 kWh/m2/yr,52.278138,-9.694862,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/semi-detached-house-4-hollow-view-oakview-village-tralee-co-kerry/3896505
3822949,18844675,"12A Manor Close, Manor Village, Tralee, Co. Kerry",195000.0,100,100 m²,4,2,Semi-D,2022-07-14,D1,108815374,247.82 kWh/m2/yr,52.259595,-9.687871,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/semi-detached-house-12a-manor-close-manor-village-tralee-co-kerry/3822949
3807621,18719116,"1 Clogher Lé­, Tralee, Co. Kerry",230000.0,N/A,,4,2,Semi-D,2022-07-01,C2,114819444,181.05 kWh/m2/yr,52.259246,-9.693479,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/semi-detached-house-1-clogher-l-tralee-co-kerry/3807621
3804473,18684553,"Oakview Village, Oakview, Tralee, Co. Kerry",235000.0,109,109 m²,3,1,Semi-D,2022-08-10,C1,101394641,168.42 kWh/m2/yr,52.279027,-9.694767,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/semi-detached-house-oakview-village-oakview-tralee-co-kerry/3804473
3799103,18638055,"47 Rock Park Avenue, Tralee, Co. Kerry",200000.0,74,74 m²,3,1,Semi-D,2022-08-09,D2,,,52.276805,-9.710532,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/semi-detached-house-47-rock-park-avenue-tralee-co-kerry/3799103
3798763,18635869,"47 Derrylea, Oakpark, Tralee, Co. Kerry",290000.0,N/A,,4,1,Detached,2022-08-09,D1,,,52.281611,-9.683437,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-47-derrylea-oakpark-tralee-co-kerry/3798763
3795655,18609322,"Beechwood, Lover's Lane, Tralee, Co. Kerry",375000.0,125,125 m²,4,3,Detached,2022-06-28,G,115156002,531.4 kWh/m2/yr,52.2599,-9.710681,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/detached-house-beechwood-lovers-lane-tralee-co-kerry/3795655
3794585,18600294,"19 Woodview Park, Killeen, Tralee, Co. Kerry",185000.0,82,82 m²,3,3,Semi-D,2022-08-05,C2,105119978,,52.285008,-9.692739,Buy,TRALEE_AND_SURROUNDS_KERRY,http://www.daft.ie/for-sale/semi-detached-house-19-woodview-park-killeen-tralee-co-kerry/3794585
