id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3930077,19231542,"Apt45 Seamount, Booterstown, Co. Dublin",330000.0,48,48 m²,1,1,Apartment,2022-08-10,C3,10265576,219.82 kWh/m2/yr,53.306913,-6.202821,Buy,UNIVERSITY_COLLEGE_DUBLIN_DUBLIN,http://www.daft.ie/for-sale/apartment-apt45-seamount-booterstown-co-dublin/3930077
3928231,19209579,"8 Claremont Court, Sandymount, Dublin 4",295000.0,36,36 m²,1,1,Apartment,2022-08-10,F,115034241,440.39 kWh/m2/yr,53.331521,-6.222348,Buy,UNIVERSITY_COLLEGE_DUBLIN_DUBLIN,http://www.daft.ie/for-sale/apartment-8-claremont-court-sandymount-dublin-4/3928231
3919372,19131360,"Apartment 160, Bloomfield Park, Donnybrook, Dublin 4",550000.0,71,71 m²,2,2,Apartment,2022-08-09,C1,,,53.325161,-6.244318,Buy,UNIVERSITY_COLLEGE_DUBLIN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-160-bloomfield-park-donnybrook-dublin-4/3919372
3916315,19103551,"72 Willow Apartments, Trimblestown, Goatstown, Dublin 14",475000.0,76,76 m²,2,2,Apartment,2022-08-10,B2,106718638,122.48 kWh/m2/yr,53.298758,-6.232602,Buy,UNIVERSITY_COLLEGE_DUBLIN_DUBLIN,http://www.daft.ie/for-sale/apartment-72-willow-apartments-trimblestown-goatstown-dublin-14/3916315
3909247,19039915,"Apartment 19, Lapwing, Booterstown, Co. Dublin",389950.0,N/A,,2,2,Apartment,2022-08-05,C1,,,53.300201,-6.204379,Buy,UNIVERSITY_COLLEGE_DUBLIN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-19-lapwing-booterstown-co-dublin/3909247
3903799,18989807,"202 Trimbleston, Goatstown Road, Clonskeagh, Dublin 14",495000.0,72,72 m²,2,2,Apartment,2022-08-10,C2,,,53.298354,-6.23132,Buy,UNIVERSITY_COLLEGE_DUBLIN_DUBLIN,http://www.daft.ie/for-sale/apartment-202-trimbleston-goatstown-road-clonskeagh-dublin-14/3903799
3903551,18986910,"7 Claremont Court, Claremont Road, Sandymount, Dublin 4",325000.0,45,45 m²,1,,Apartment,2022-08-10,G,103330361,730.95 kWh/m2/yr,53.331521,-6.222348,Buy,UNIVERSITY_COLLEGE_DUBLIN_DUBLIN,http://www.daft.ie/for-sale/apartment-7-claremont-court-claremont-road-sandymount-dublin-4/3903551
3823870,18853720,"21 Anglesea House,  Court, Ballsbridge, Co. Dublin",375000.0,64,64 m²,2,1,Apartment,2022-08-10,D2,102901865,290.14 kWh/m2/yr,53.33145,-6.226472,Buy,UNIVERSITY_COLLEGE_DUBLIN_DUBLIN,http://www.daft.ie/for-sale/apartment-21-anglesea-house-court-ballsbridge-co-dublin/3823870
3813231,18755561,"49 The Sweepstakes, Ballsbridge, Ballsbridge, Dublin 4",1250000.0,197,197 m²,3,3,Apartment,2022-08-09,C2,113914030,188.7 kWh/m2/yr,53.331345,-6.228703,Buy,UNIVERSITY_COLLEGE_DUBLIN_DUBLIN,http://www.daft.ie/for-sale/apartment-49-the-sweepstakes-ballsbridge-ballsbridge-dublin-4/3813231
3796951,18621269,"Apartment, 22 Clyde House, Ballsbridge Court, Serpentine Avenue, Ballsbridge, Dublin 4",325000.0,44,44 m²,1,1,Apartment,2022-08-10,E1,112586821,,53.331042,-6.225986,Buy,UNIVERSITY_COLLEGE_DUBLIN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-22-clyde-house-ballsbridge-court-serpentine-avenue-ballsbridge-dublin-4/3796951
