id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3993779,112866492,"11 The Close, Temple Manor, Celbridge, Co. Kildare",625000.0,149,149 m²,4,3,Detached,2022-08-10,C2,115200073,178.66 kWh/m2/yr,53.329164,-6.546441,Buy,UNIVERSITY_COLLEGE_DUBLIN_LYONS_ESTATE_KILDARE,http://www.daft.ie/for-sale/detached-house-11-the-close-temple-manor-celbridge-co-kildare/3993779
3993473,112862531,"48 Priory Walk, St Raphaels Manor, Celbridge, Co. Kildare",235000.0,74,74 m²,2,1,Townhouse,2022-08-10,D1,115364739,232.87 kWh/m2/yr,53.335546,-6.551109,Buy,UNIVERSITY_COLLEGE_DUBLIN_LYONS_ESTATE_KILDARE,http://www.daft.ie/for-sale/townhouse-48-priory-walk-st-raphaels-manor-celbridge-co-kildare/3993473
3993437,112862489,"Ardclough, Straffan, Co. Kildare",550000.0,343,343 m²,4,4,Detached,2022-08-03,C3,114791593,220.44 kWh/m2/yr,53.28952,-6.578796,Buy,UNIVERSITY_COLLEGE_DUBLIN_LYONS_ESTATE_KILDARE,http://www.daft.ie/for-sale/detached-house-ardclough-straffan-co-kildare/3993437
3992353,19752672,"13 Oldtown Walk, Oldtown Demesne, Naas, Co. Kildare",450000.0,125,125 m²,3,3,Semi-D,2022-08-10,,,,53.235391,-6.66464,Buy,UNIVERSITY_COLLEGE_DUBLIN_LYONS_ESTATE_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-13-oldtown-walk-oldtown-demesne-naas-co-kildare/3992353
3992232,19750921,"116 College Wood Manor, Clane, Co. Kildare",275000.0,N/A,,2,3,Terrace,2022-08-10,B3,115349219,143.93 kWh/m2/yr,53.295415,-6.700758,Buy,UNIVERSITY_COLLEGE_DUBLIN_LYONS_ESTATE_KILDARE,http://www.daft.ie/for-sale/terraced-house-116-college-wood-manor-clane-co-kildare/3992232
3991953,19748255,"5 Capdoo Park, Clane, Co. Kildare",370000.0,129,129 m²,4,3,Semi-D,2022-07-22,D1,114750573,236.58 kWh/m2/yr,53.296183,-6.683885,Buy,UNIVERSITY_COLLEGE_DUBLIN_LYONS_ESTATE_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-5-capdoo-park-clane-co-kildare/3991953
3991728,19743305,"9 Double Lane, Maynooth, Co. Kildare",325000.0,105,105 m²,3,3,Semi-D,2022-08-10,D1,115377129,233.01 kWh/m2/yr,53.382792,-6.590866,Buy,UNIVERSITY_COLLEGE_DUBLIN_LYONS_ESTATE_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-9-double-lane-maynooth-co-kildare/3991728
3991583,19742035,"224 Oakfield Heights, Naas, Co. Kildare",339950.0,143,143 m²,4,3,Semi-D,2022-08-10,C2,115230039,196.82 kWh/m2/yr,53.209768,-6.650872,Buy,UNIVERSITY_COLLEGE_DUBLIN_LYONS_ESTATE_KILDARE,http://www.daft.ie/for-sale/semi-detached-house-224-oakfield-heights-naas-co-kildare/3991583
3991301,19737942,"Castlewarden, Straffan, Straffan, Co. Kildare",950000.0,301,301 m²,4,3,Detached,2022-07-25,D1,,,53.273769,-6.532398,Buy,UNIVERSITY_COLLEGE_DUBLIN_LYONS_ESTATE_KILDARE,http://www.daft.ie/for-sale/detached-house-castlewarden-straffan-straffan-co-kildare/3991301
3991033,19735499,"50 Priory Walk, Celbridge, Co. Kildare",255000.0,75,75 m²,2,1,Terrace,2022-07-21,D1,106289168,234.25 kWh/m2/yr,53.335639,-6.551218,Buy,UNIVERSITY_COLLEGE_DUBLIN_LYONS_ESTATE_KILDARE,http://www.daft.ie/for-sale/terraced-house-50-priory-walk-celbridge-co-kildare/3991033
