id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3967388,19535214,"39 St Kevins Park, Dartry, Dublin 6",2500000.0,277,277 m²,5,4,Semi-D,2022-08-10,E2,114640576,361.66 kWh/m2/yr,53.310314,-6.265644,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-39-st-kevins-park-dartry-dublin-6/3967388
3966824,19528566,"10-12, 10-12, 10-12 Swan Place, Donnybrook, Dublin 4",895000.0,140,140 m²,2,2,Detached,2022-07-25,G,105908941,537.75 kWh/m2/yr,53.3275,-6.246182,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/detached-house-10-12-10-12-10-12-swan-place-donnybrook-dublin-4/3966824
3966095,19523470,"3 Annsbrook, Clonskeagh, Clonskeagh, Dublin 14",995000.0,162,162 m²,4,2,Detached,2022-07-10,C3,115230252,206.85 kWh/m2/yr,53.309583,-6.23739,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/detached-house-3-annsbrook-clonskeagh-clonskeagh-dublin-14/3966095
3966368,19526120,"6 Garden View, Ranelagh, Dublin 6",645000.0,79,79 m²,2,2,Terrace,2022-08-10,D2,101023588,280.47 kWh/m2/yr,53.328303,-6.261577,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-6-garden-view-ranelagh-dublin-6/3966368
3940363,19325852,"Alma House, 10 Alma Court, Ranelagh, Dublin 6",695000.0,96,96 m²,4,3,Terrace,2022-08-10,C2,114803877,179.74 kWh/m2/yr,53.325732,-6.25999,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-alma-house-10-alma-court-ranelagh-dublin-6/3940363
3965576,19518750,"16 Maple Road, Clonskeagh, Dublin 14",1695000.0,215,215 m²,4,3,Detached,2022-08-10,E1,114847239,332.67 kWh/m2/yr,53.309813,-6.241544,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/detached-house-16-maple-road-clonskeagh-dublin-14/3965576
3961922,19492648,"2 Moyne Road, Ranelagh, Ranelagh, Dublin 6",1200000.0,196,196 m²,7,7,End of Terrace,2022-08-08,SI_666,,,53.320761,-6.255933,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-2-moyne-road-ranelagh-ranelagh-dublin-6/3961922
3961400,19484802,"79 Beechwood Avenue Lower, Ranelagh, Ranelagh, Dublin 6",1150000.0,172,172 m²,5,4,End of Terrace,2022-08-09,G,,,53.323822,-6.254314,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-79-beechwood-avenue-lower-ranelagh-ranelagh-dublin-6/3961400
3961061,19480806,"Eltham, 79 Eglinton Road, Donnybrook, Dublin 4",3000000.0,309,309 m²,7,4,Semi-D,2022-08-10,F,115194136,427.64 kWh/m2/yr,53.318711,-6.240444,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-eltham-79-eglinton-road-donnybrook-dublin-4/3961061
3961066,19480808,"5 Orwell Park, Rathgar, Dublin 6",2750000.0,296,296 m²,4,5,Semi-D,2022-08-10,C3,115191041,220.4 kWh/m2/yr,53.307345,-6.268809,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-5-orwell-park-rathgar-dublin-6/3961066
3959386,19464443,"The Mews, 1 Morehampton Court, Donnybrook, Dublin 4",1100000.0,172,172 m²,4,4,Townhouse,2022-08-10,C1,,,53.325934,-6.243609,Buy,UNIVERSITY_COLLEGE_DUBLIN_SMURFIT_SCHOOL_OF_BUSINESS_DUBLIN,http://www.daft.ie/for-sale/townhouse-the-mews-1-morehampton-court-donnybrook-dublin-4/3959386
