id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3925709,19183848,"380 Kildare Road, Crumlin, Dublin 12",295000.0,73,73 m²,2,1,End of Terrace,2022-08-10,E2,,,53.325044,-6.316494,Buy,WALKINSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-380-kildare-road-crumlin-dublin-12/3925709
3924812,19174953,"39 Brandon Road, Drimnagh, Drimnagh, Dublin 12",330000.0,72,72 m²,3,1,Terrace,2022-08-10,F,,,53.32577,-6.323883,Buy,WALKINSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-39-brandon-road-drimnagh-drimnagh-dublin-12/3924812
3921504,19149229,"27 Windmill Avenue, Crumlin, Dublin 12",325000.0,105,105 m²,3,2,Terrace,2022-08-10,D1,,,53.321342,-6.311802,Buy,WALKINSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-27-windmill-avenue-crumlin-dublin-12/3921504
3909538,19043487,"87 Bunting Road, Walkinstown, Walkinstown, Dublin 12",374950.0,N/A,,3,1,Terrace,2022-06-13,E2,115049488,341.8 kWh/m2/yr,53.318891,-6.329412,Buy,WALKINSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-87-bunting-road-walkinstown-walkinstown-dublin-12/3909538
3905661,19009227,"169 Whitehall Road West, Terenure, Dublin 6",625000.0,99,99 m²,3,1,Semi-D,2022-05-24,D1,114702590,288.06 kWh/m2/yr,53.308751,-6.320791,Buy,WALKINSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-169-whitehall-road-west-terenure-dublin-6/3905661
3901382,18968876,"72 Cherryfield Road, Walkinstown, Walkinstown, Dublin 12",449950.0,N/A,,3,1,Terrace,2022-05-20,SI_666,,,53.314645,-6.328225,Buy,WALKINSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-72-cherryfield-road-walkinstown-walkinstown-dublin-12/3901382
3901104,18965765,"10 Mountdown Road, Manor Estate, Dublin 12",525000.0,135,135 m²,4,2,Semi-D,2022-05-20,E2,,,53.307052,-6.323462,Buy,WALKINSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-mountdown-road-manor-estate-dublin-12/3901104
3889911,18860706,"338 Saint James's Road, Greenhills, Walkinstown, Dublin 12",400000.0,86,86 m²,3,1,End of Terrace,2022-08-09,D2,,,53.30743,-6.338803,Buy,WALKINSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-338-saint-jamess-road-greenhills-walkinstown-dublin-12/3889911
3819187,18809080,"210 Saint Peter's Road, Walkinstown, Walkinstown, Dublin 12",395000.0,125,125 m²,4,2,End of Terrace,2022-08-09,D2,,,53.310678,-6.326714,Buy,WALKINSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-210-saint-peters-road-walkinstown-walkinstown-dublin-12/3819187
3814952,18771015,"14 O'Dwyer Road, Walkinstown, Dublin 12",375000.0,102,102 m²,3,1,Semi-D,2022-08-10,F,114859168,420.84 kWh/m2/yr,53.318167,-6.324358,Buy,WALKINSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-14-odwyer-road-walkinstown-dublin-12/3814952
