id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3993894,112870078,"69 Dominick Place, Airmount, Co. Waterford",170000.0,78,78 m²,3,,Semi-D,2022-07-29,G,,,52.260742,-7.128262,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-69-dominick-place-airmount-co-waterford/3993894
3991892,19746456,"Kilbrien House, Cork Road, Co. Waterford",325000.0,134,134 m²,4,2,Semi-D,2022-08-10,D1,115342552,249.47 kWh/m2/yr,52.250936,-7.119292,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-kilbrien-house-cork-road-co-waterford/3991892
3990007,19725719,"31 Fortfield, Collins Avenue, Co. Waterford",290000.0,95,95 m²,4,3,Semi-D,2022-07-26,D1,,,52.237991,-7.074769,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-31-fortfield-collins-avenue-co-waterford/3990007
3993265,19758995,"14 Christendom Avenue, Ferrybank",150000.0,93,93 m²,3,3,Terrace,2022-08-09,B3,115374332,136.61 kWh/m2/yr,52.262168,-7.092182,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/terraced-house-14-christendom-avenue-ferrybank/3993265
3992202,19750903,"58 Marymount, Ferrybank, Waterford",165000.0,92,92 m²,3,1,Terrace,2022-08-08,C3,,,52.266948,-7.104586,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/terraced-house-58-marymount-ferrybank-waterford/3992202
3992144,19750878,"31 Beech Drive, Greenfields, Co. Waterford",215000.0,85,85 m²,3,3,Terrace,2022-08-10,C1,114486053,173.05 kWh/m2/yr,52.23532,-7.117115,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/terraced-house-31-beech-drive-greenfields-co-waterford/3992144
3991836,19746293,"8 An Cuainín, Tuar Na Mblath, Ferrybank",195000.0,90,90 m²,3,1,End of Terrace,2022-07-22,C3,,,52.265374,-7.091042,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/end-of-terrace-house-8-an-cuain-n-tuar-na-mblath-ferrybank/3991836
3991832,19746064,"14 Lissadell Avenue, Powerscourt, Waterford, Co. Waterford",330000.0,N/A,,4,3,Semi-D,2022-08-10,C3,115053514,,52.246653,-7.070814,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-14-lissadell-avenue-powerscourt-waterford-co-waterford/3991832
3991492,19741654,"44 Morgan Street, Co. Waterford",215000.0,87,87 m²,2,2,End of Terrace,2022-07-25,E1,115363319,,52.260573,-7.12002,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/end-of-terrace-house-44-morgan-street-co-waterford/3991492
3991749,19745001,"33 O Brien Street, Co. Waterford",180000.0,N/A,,3,1,End of Terrace,2022-08-10,D1,,,52.2584463,-7.1145291,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/end-of-terrace-house-33-o-brien-street-co-waterford/3991749
3991748,19744996,"Marlay 27 Cypress Grove, Waterford",320000.0,N/A,,4,3,Semi-D,2022-08-10,C2,,,52.2418999,-7.0826589,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-marlay-27-cypress-grove-waterford/3991748
3991679,19743260,"89 Meadowbank, Baile Na Ndeise, Co. Waterford",219000.0,95,95 m²,3,3,Semi-D,2022-08-10,C1,111393013,156.97 kWh/m2/yr,52.241087,-7.151585,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-89-meadowbank-baile-na-ndeise-co-waterford/3991679
3989476,19718940,"108 Saint John's Park, Co. Waterford",179000.0,75,75 m²,3,1,Terrace,2022-08-08,E1,,,52.243786,-7.10795,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/terraced-house-108-saint-johns-park-co-waterford/3989476
3983657,19658001,"33 Decies Avenue, Lismore Lawn, Co. Waterford",220000.0,N/A,,4,2,Semi-D,2022-08-10,D2,115202087,274.83 kWh/m2/yr,52.252287,-7.1416,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-33-decies-avenue-lismore-lawn-co-waterford/3983657
3987574,19698077,"21 Convent Hill, Co. Waterford",150000.0,50,50 m²,2,1,Terrace,2022-08-10,G,,,52.256943,-7.115199,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/terraced-house-21-convent-hill-co-waterford/3987574
3987234,19695074,"13 The Village, Ballygunner, Ballygunner, Co. Waterford",595000.0,279,279 m²,5,5,Detached,2022-07-19,C3,,,52.232458,-7.064318,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/detached-house-13-the-village-ballygunner-ballygunner-co-waterford/3987234
3986763,19690124,"7 Meneval Green, Farmleigh, Waterford",195000.0,80,80 m²,3,2,Terrace,2022-08-10,D1,107002180,242.39 kWh/m2/yr,52.237967,-7.069551,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/terraced-house-7-meneval-green-farmleigh-waterford/3986763
3984620,19671326,"11 Tycor Mews, Cleaboy Road, Co. Waterford",265000.0,N/A,,3,3,Semi-D,2022-08-10,C1,,,52.257789,-7.132564,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-11-tycor-mews-cleaboy-road-co-waterford/3984620
3983335,19655551,"1 Carn Glas Mews, Gracedieu, Gracedieu, Co. Waterford",240000.0,N/A,,3,3,Semi-D,2022-08-10,C3,113217079,206.06 kWh/m2/yr,52.264111,-7.134294,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-1-carn-glas-mews-gracedieu-gracedieu-co-waterford/3983335
3983384,19655557,"119 Clarke Road, Cork Road, Co. Waterford",215000.0,79,79 m²,3,1,End of Terrace,2022-07-25,C3,103926184,217.81 kWh/m2/yr,52.250299,-7.124551,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/end-of-terrace-house-119-clarke-road-cork-road-co-waterford/3983384
3982607,19647416,"21 Andrew Street, Ballybricken, Co. Waterford",149500.0,60,60 m²,2,1,Terrace,2022-07-15,D2,,,52.259086,-7.118554,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/terraced-house-21-andrew-street-ballybricken-co-waterford/3982607
3982052,19639119,"9 South Parade, Co. Waterford",595000.0,N/A,,4,3,Terrace,2022-08-10,SI_666,,,52.254885,-7.108068,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/terraced-house-9-south-parade-co-waterford/3982052
3979356,19618396,"2 Presentation Row, Co. Waterford",190000.0,84,84 m²,5,1,Terrace,2022-08-09,D1,,,52.254685,-7.123265,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/terraced-house-2-presentation-row-co-waterford/3979356
3978688,19614891,"9 Medford Green, Earlscourt, Waterford, Co. Waterford",350000.0,139,139 m²,4,3,Detached,2022-08-10,C3,103740460,209.05 kWh/m2/yr,52.240924,-7.078467,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/detached-house-9-medford-green-earlscourt-waterford-co-waterford/3978688
3978618,19614327,"14 O'Brien Street, Co. Waterford",169000.0,60,60 m²,2,1,Terrace,2022-08-03,D1,102917036,234.72 kWh/m2/yr,52.258871,-7.114814,Buy,WATERFORD_CITY_CENTRE_WATERFORD,http://www.daft.ie/for-sale/terraced-house-14-obrien-street-co-waterford/3978618
