id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3975908,19601684,"Beaupark, Marlinstown, Mullingar, Co. Westmeath",535000.0,N/A,,5,2,Detached,2022-07-21,D2,115030777,288.82 kWh/m2/yr,53.513373,-7.302449,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-beaupark-marlinstown-mullingar-co-westmeath/3975908
3975557,19598005,"27 Lacora Glen, Delvin, Co. Westmeath",325000.0,144,144 m²,4,3,Detached,2022-08-10,C1,113765440,174.84 kWh/m2/yr,53.611124,-7.096534,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-27-lacora-glen-delvin-co-westmeath/3975557
3972945,19582596,"Coolaleena, Glasson, Co. Westmeath",450000.0,191,191 m²,4,3,Detached,2022-08-01,B3,115034894,,53.509043,-7.857935,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-coolaleena-glasson-co-westmeath/3972945
3972930,19582586,"1 Rindoon Park, Coosan, Athlone, Co. Westmeath",375000.0,157,157 m²,4,2,Detached,2022-08-04,C2,112609250,185.65 kWh/m2/yr,53.43698,-7.940044,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-1-rindoon-park-coosan-athlone-co-westmeath/3972930
3972553,19577368,"Bullet Road, Ballykeeran, Athlone, Co. Westmeath",310000.0,186,186 m²,5,2,Detached,2022-08-10,,,,53.4239331,-7.9406898,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-bullet-road-ballykeeran-athlone-co-westmeath/3972553
3971595,19569848,"11 Cartron Drive, Athlone, Co. Westmeath",295000.0,99,99 m²,3,2,Detached,2022-08-10,D1,106754617,243.48 kWh/m2/yr,53.422201,-7.910686,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-11-cartron-drive-athlone-co-westmeath/3971595
3970278,19559081,"5 Abbeylands, Rathwire, Killucan, Co. Westmeath",299950.0,156,156 m²,4,2,Detached,2022-08-10,C2,113822274,,53.507836,-7.137009,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-5-abbeylands-rathwire-killucan-co-westmeath/3970278
3967615,19537695,"Slieveboy, Castlepollard, Co. Westmeath",170000.0,N/A,,4,1,Detached,2022-07-21,G,,,53.679693,-7.273258,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-slieveboy-castlepollard-co-westmeath/3967615
3966952,19529968,"Clogher, Athlone, Co. Westmeath",680000.0,282,282 m²,5,3,Detached,2022-08-01,A1,,,53.528731,-7.793454,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-clogher-athlone-co-westmeath/3966952
3966122,19523487,"Rathgarrett, Tyrrellspass, Mullingar, Co. Westmeath",275000.0,N/A,,3,2,Detached,2022-08-08,C2,,,53.5243382310469,-7.3429527419408,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-rathgarrett-tyrrellspass-mullingar-co-westmeath/3966122
3966099,19523473,"Rathgarrett, Tyrellspass, Co. Westmeath",275000.0,N/A,,3,2,Detached,2022-08-08,SI_666,,,53.380803,-7.356318,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-rathgarrett-tyrellspass-co-westmeath/3966099
3965508,19518686,"Clogher, Athlone, Co. Westmeath",650000.0,268,268 m²,4,3,Detached,2022-08-01,A1,,,53.528731,-7.793454,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-clogher-athlone-co-westmeath/3965508
3964498,19511306,"Clogher, Tang, Co. Westmeath",680000.0,289,289 m²,5,4,Detached,2022-08-01,A1,,,53.528731,-7.793454,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-clogher-tang-co-westmeath/3964498
3965093,19515180,"The Old Residence, Bratty, Castlepollard, Co. Westmeath",235000.0,N/A,,3,1,Detached,2022-07-05,SI_666,,,53.67516,-7.29293,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-the-old-residence-bratty-castlepollard-co-westmeath/3965093
3963601,19503916,"Treel, Knockdomney, Moate, Co. Westmeath",335000.0,N/A,,3,1,Detached,2022-07-25,C3,,,53.401223,-7.760724,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-treel-knockdomney-moate-co-westmeath/3963601
3964218,19509264,"Thornfield House, Addinstown, Delvin, Athboy, Co. Meath",650000.0,425,425 m²,5,3,Detached,2022-08-10,B3,115210791,33.51 kWh/m2/yr,53.617876,-6.989292,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-thornfield-house-addinstown-delvin-athboy-co-meath/3964218
3959790,19469776,"8 The Moorings, Ballymahon Road, Mullingar, Co. Westmeath",335000.0,N/A,,4,2,Detached,2022-06-30,C2,,,53.518589,-7.370015,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-8-the-moorings-ballymahon-road-mullingar-co-westmeath/3959790
3957856,19450078,"Le Chéile, Lewinstown, Killucan, Co. Westmeath",499950.0,340,340 m²,4,4,Detached,2022-08-10,C1,,,53.551277,-7.138883,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-le-ch-ile-lewinstown-killucan-co-westmeath/3957856
3957777,19449022,"Baylin, Athlone, Co. Westmeath",460000.0,193,193 m²,5,3,Detached,2022-08-10,B3,104387196,,53.43232,-7.846946,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-baylin-athlone-co-westmeath/3957777
3956022,19432808,"Kilgarvin Lodge, The Two Mile, Athlone, Co. Westmeath",600000.0,N/A,,5,6,Detached,2022-08-10,C2,,,53.436267,-7.928826,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-kilgarvin-lodge-the-two-mile-athlone-co-westmeath/3956022
3949810,19419815,"Kilmacuagh Avenue, Athlone, Co. Westmeath",365000.0,N/A,,6,2,Detached,2022-07-11,D1,,,53.415459,-7.907699,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-kilmacuagh-avenue-athlone-co-westmeath/3949810
3936704,19294041,"Na Fabhilí, Glenwood, Athlone, Co. Westmeath",700000.0,279,279 m²,5,3,Detached,2022-07-26,B3,114339500,129.69 kWh/m2/yr,53.406617,-7.849715,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-na-fabhil-glenwood-athlone-co-westmeath/3936704
3949135,19411354,"Bawn House, Bawn, Glasson, Co. Westmeath",150000.0,N/A,,5,3,Detached,2022-08-10,F,,,53.520286,-7.908434,Buy,WESTMEATH,http://www.daft.ie/for-sale/detached-house-bawn-house-bawn-glasson-co-westmeath/3949135
