id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
1187491,12153026,"Ballinamorogue, Islandeady, Castlebar, Co. Mayo",Price on Application,N/A,,2,1,Detached,2022-06-17,G,,,53.8084775979987,-9.379732690661285,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-ballinamorogue-islandeady-castlebar-co-mayo/1187491
3487726,15881045,"The Cottage, Killawalla, Westport, Co. Mayo",279000.0,104,104 m²,2,2,Detached,2022-08-10,F,114296221,393.27 kWh/m2/yr,53.756784,-9.367858,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-the-cottage-killawalla-westport-co-mayo/3487726
3619259,16968392,"House And Apartment, Mayneen, Westport, Co. Mayo",625000.0,238,238 m²,5,3,Detached,2022-08-10,B3,114391477,133.0 kWh/m2/yr,53.794004,-9.470316,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-house-and-apartment-mayneen-westport-co-mayo/3619259
1190287,12157204,"Carrowbeg, Kilmeena, Westport, Co. Mayo",400000.0,203,203 m²,4,3,Detached,2022-06-21,A3,112369178,,53.843408,-9.5628,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-carrowbeg-kilmeena-westport-co-mayo/1190287
3516044,16083907,"Rockfield, Westport, Co. Mayo",Price on Application,N/A,,3,,Detached,2022-07-30,G,,,53.79530745197795,-9.433996457985302,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-rockfield-westport-co-mayo/3516044
3478293,15801772,"Chamberlain House, Westport, Co. Mayo",960000.0,N/A,,5,4,Detached,2022-07-19,A2,,,53.787317,-9.562633,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-chamberlain-house-westport-co-mayo/3478293
3437807,15499834,"Carrowcally, Carrowholly, Westport, Co. Mayo",445000.0,183,183 m²,5,3,Detached,2022-03-31,C3,,,53.815898,-9.618338,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-carrowcally-carrowholly-westport-co-mayo/3437807
2896607,13679595,"Gloshpatrick, Murrisk, Westport, Co. Mayo",Price on Application,478,478 m²,4,5,Detached,2022-07-19,A2,,,53.780535,-9.658294,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-gloshpatrick-murrisk-westport-co-mayo/2896607
2838287,13294912,"Rossport Cottage, Liscarney, Westport, Co. Mayo",285000.0,136,136 m²,4,2,Detached,2022-07-07,D2,105371322,298.73 kWh/m2/yr,53.739024,-9.55012,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-rossport-cottage-liscarney-westport-co-mayo/2838287
2499012,12570724,"Knockaraha West, Belclare, Westport, Co. Mayo",340000.0,N/A,,3,1,Detached,2022-07-19,F,,,53.779593,-9.572009,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-knockaraha-west-belclare-westport-co-mayo/2499012
1342771,12195465,"6 Bed/6 Bath Farnaught, Westport, Co. Mayo",Price on Application,N/A,,6,6,Detached,2022-07-27,D1,,,53.77616880378726,-9.53035210378846,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-6-bed-6-bath-farnaught-westport-co-mayo/1342771
1187491,12153026,"Ballinamorogue, Islandeady, Castlebar, Co. Mayo",Price on Application,N/A,,2,1,Detached,2022-06-17,G,,,53.8084775979987,-9.379732690661285,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-ballinamorogue-islandeady-castlebar-co-mayo/1187491
3487726,15881045,"The Cottage, Killawalla, Westport, Co. Mayo",279000.0,104,104 m²,2,2,Detached,2022-08-10,F,114296221,393.27 kWh/m2/yr,53.756784,-9.367858,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-the-cottage-killawalla-westport-co-mayo/3487726
3619259,16968392,"House And Apartment, Mayneen, Westport, Co. Mayo",625000.0,238,238 m²,5,3,Detached,2022-08-10,B3,114391477,133.0 kWh/m2/yr,53.794004,-9.470316,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-house-and-apartment-mayneen-westport-co-mayo/3619259
1190287,12157204,"Carrowbeg, Kilmeena, Westport, Co. Mayo",400000.0,203,203 m²,4,3,Detached,2022-06-21,A3,112369178,,53.843408,-9.5628,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-carrowbeg-kilmeena-westport-co-mayo/1190287
3516044,16083907,"Rockfield, Westport, Co. Mayo",Price on Application,N/A,,3,,Detached,2022-07-30,G,,,53.79530745197795,-9.433996457985302,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-rockfield-westport-co-mayo/3516044
3478293,15801772,"Chamberlain House, Westport, Co. Mayo",960000.0,N/A,,5,4,Detached,2022-07-19,A2,,,53.787317,-9.562633,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-chamberlain-house-westport-co-mayo/3478293
3437807,15499834,"Carrowcally, Carrowholly, Westport, Co. Mayo",445000.0,183,183 m²,5,3,Detached,2022-03-31,C3,,,53.815898,-9.618338,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-carrowcally-carrowholly-westport-co-mayo/3437807
2896607,13679595,"Gloshpatrick, Murrisk, Westport, Co. Mayo",Price on Application,478,478 m²,4,5,Detached,2022-07-19,A2,,,53.780535,-9.658294,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-gloshpatrick-murrisk-westport-co-mayo/2896607
2838287,13294912,"Rossport Cottage, Liscarney, Westport, Co. Mayo",285000.0,136,136 m²,4,2,Detached,2022-07-07,D2,105371322,298.73 kWh/m2/yr,53.739024,-9.55012,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-rossport-cottage-liscarney-westport-co-mayo/2838287
2499012,12570724,"Knockaraha West, Belclare, Westport, Co. Mayo",340000.0,N/A,,3,1,Detached,2022-07-19,F,,,53.779593,-9.572009,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-knockaraha-west-belclare-westport-co-mayo/2499012
1342771,12195465,"6 Bed/6 Bath Farnaught, Westport, Co. Mayo",Price on Application,N/A,,6,6,Detached,2022-07-27,D1,,,53.77616880378726,-9.53035210378846,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-6-bed-6-bath-farnaught-westport-co-mayo/1342771
1187491,12153026,"Ballinamorogue, Islandeady, Castlebar, Co. Mayo",Price on Application,N/A,,2,1,Detached,2022-06-17,G,,,53.8084775979987,-9.379732690661285,Buy,WESTPORT_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-ballinamorogue-islandeady-castlebar-co-mayo/1187491
