id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3989119,19713815,"Caherlusky, Schull, Co. Cork",495000.0,N/A,,2,2,Detached,2022-07-20,E1,115355398,,51.515291,-9.562001,Buy,WEST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-caherlusky-schull-co-cork/3989119
3541346,16196632,"Ballybane East, Ballydehob, Co. Cork",525000.0,258,258 m²,4,3,Detached,2022-08-05,C2,114371750,177.68 kWh/m2/yr,51.605853,-9.408983,Buy,WEST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-ballybane-east-ballydehob-co-cork/3541346
3988683,19708670,"Farrandene, Farran Hill, Farran, Co. Cork",695000.0,252,252 m²,4,3,Detached,2022-08-10,C2,100938455,183.2 kWh/m2/yr,51.875185,-8.728022,Buy,WEST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-farrandene-farran-hill-farran-co-cork/3988683
3988630,19708585,"Bawnlahan, Tragumna, Skibbereen, Co. Cork",595000.0,N/A,,6,4,Detached,2022-08-02,C3,115382012,211.04 kWh/m2/yr,51.500597,-9.258353,Buy,WEST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-bawnlahan-tragumna-skibbereen-co-cork/3988630
3988264,19702269,"15 Carraig Aoil, Cloughduv, Co. Cork",595000.0,251,251 m²,4,4,Detached,2022-08-10,B3,115355711,147.34 kWh/m2/yr,51.846926,-8.790099,Buy,WEST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-15-carraig-aoil-cloughduv-co-cork/3988264
3987899,19700297,"Cuinegeal, Baltimore, Co. Cork","AMV: €200,000",N/A,,3,1,Detached,2022-08-10,E1,105270839,312.18 kWh/m2/yr,51.483704,-9.369868,Buy,WEST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-cuinegeal-baltimore-co-cork/3987899
3987181,19694185,"Belross, Carrig, Ballinascarthy, Clonakilty, Co. Cork",425000.0,221,221 m²,4,5,Detached,2022-08-10,B3,115337875,149.21 kWh/m2/yr,51.666148,-8.843387,Buy,WEST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-belross-carrig-ballinascarthy-clonakilty-co-cork/3987181
3986774,19690130,"Tooreen, Skibbereen, Co. Cork",135000.0,162,162 m²,3,1,Detached,2022-08-08,F,,,51.625913,-9.25335,Buy,WEST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-tooreen-skibbereen-co-cork/3986774
3985598,19681920,"Inane House, Inane, Castletownshend, Co. Cork",425000.0,102,102 m²,2,2,Detached,2022-08-10,E1,104498993,314.45 kWh/m2/yr,51.518782,-9.200447,Buy,WEST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-inane-house-inane-castletownshend-co-cork/3985598
3984946,19673227,"Ardnageehy, Bantry, Co. Cork",375000.0,N/A,,5,3,Detached,2022-07-18,D1,,,51.682355,-9.415654,Buy,WEST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-ardnageehy-bantry-co-cork/3984946
