id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3927170,19200312,"Whitestown Upper, Drinagh, Drinagh, Co. Wexford",595000.0,210,210 m²,3,3,Detached,2022-07-01,C1,115017501,151.15 kWh/m2/yr,52.301277,-6.449041,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-whitestown-upper-drinagh-drinagh-co-wexford/3927170
3919369,19131348,"Lisheen, 3 Woodlands, Walsheslough, Rosslare Strand, Co. Wexford",575000.0,157,157 m²,4,2,Detached,2022-08-10,C2,114485246,197.45 kWh/m2/yr,52.270507,-6.392516,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-lisheen-3-woodlands-walsheslough-rosslare-strand-co-wexford/3919369
3918515,19122498,"Rosewood House, Bulgan, Killurin, Co. Wexford",325000.0,215,215 m²,5,3,Detached,2022-08-10,C2,115014409,189.03 kWh/m2/yr,52.370454,-6.599442,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-rosewood-house-bulgan-killurin-co-wexford/3918515
3917474,19110751,"Willow Cottage, Ballinamorragh, Curracloe, Co. Wexford",375000.0,147,147 m²,3,3,Detached,2022-07-01,C3,114398407,200.92 kWh/m2/yr,52.383737,-6.400161,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-willow-cottage-ballinamorragh-curracloe-co-wexford/3917474
3915797,19096720,"Rathmacknee Little, Killinick, Co. Wexford",925000.0,454,454 m²,6,5,Detached,2022-08-09,B3,115016875,149.97 kWh/m2/yr,52.267026,-6.477023,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-rathmacknee-little-killinick-co-wexford/3915797
3913552,19080361,"10 Ard Aoibhinn, Rosslare Strand, Co. Wexford",425000.0,161,161 m²,4,3,Detached,2022-08-10,C2,115010894,198.19 kWh/m2/yr,52.269756,-6.395656,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-10-ard-aoibhinn-rosslare-strand-co-wexford/3913552
3892283,18882901,"Briars Lee, Whiterock, Co. Wexford",249000.0,N/A,0.57 ac,3,1,Detached,2022-08-10,E1,105661813,324.13 kWh/m2/yr,52.319528,-6.476169,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-briars-lee-whiterock-co-wexford/3892283
3892127,18882390,"Manderlay, Crosstown, Wexford Town, Co. Wexford",1250000.0,545,545 m²,7,6,Detached,2022-08-09,B2,,,52.358333,-6.464977,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-manderlay-crosstown-wexford-town-co-wexford/3892127
3890574,18866128,"Rosepark, Killeens, Wexford Town, Co. Wexford",195000.0,84,84 m²,3,1,Detached,2022-07-01,G,113638134,756.49 kWh/m2/yr,52.324064,-6.4912,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-rosepark-killeens-wexford-town-co-wexford/3890574
3810834,18736590,"Slaney View, Slaney View, Station Road, Rosslare Strand, Co. Wexford",525000.0,170,170 m²,5,3,Detached,2022-07-19,C3,114400146,211.94 kWh/m2/yr,52.271334,-6.392959,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-slaney-view-slaney-view-station-road-rosslare-strand-co-wexford/3810834
3790773,18574479,"Carraig Mor House, Maudlintown, Wexford Town, Co. Wexford",475000.0,305,305 m²,4,2,Detached,2022-08-10,D2,104029046,295.67 kWh/m2/yr,52.327085,-6.452528,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-carraig-mor-house-maudlintown-wexford-town-co-wexford/3790773
3778798,18464637,"Garryvarren, Ballymurn, Co. Wexford",495000.0,400,400 m²,5,6,Detached,2022-08-09,C1,114753643,155.86 kWh/m2/yr,52.419313,-6.469967,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-garryvarren-ballymurn-co-wexford/3778798
3778453,18460170,"Bulgan, Glynn, Co. Wexford",1250000.0,302,302 m²,4,3,Detached,2022-07-01,B1,108162165,95.01 kWh/m2/yr,52.367413,-6.596412,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-bulgan-glynn-co-wexford/3778453
3776787,18442960,"36 Coill Aoibhinn, Newtown Road, Wexford Town, Co. Wexford",465000.0,185,185 m²,4,5,Detached,2022-06-27,C1,104270160,173.06 kWh/m2/yr,52.342358,-6.506388,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-36-coill-aoibhinn-newtown-road-wexford-town-co-wexford/3776787
3774891,18427239,"Heavenstown, Cleariestown, Co. Wexford",310000.0,130,130 m²,3,1,Detached,2022-07-01,D2,114694003,281.98 kWh/m2/yr,52.259399,-6.565854,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-heavenstown-cleariestown-co-wexford/3774891
3771056,18387391,"The Elms, Drinagh, Co. Wexford",450000.0,410,410 m²,8,11,Detached,2022-08-09,D1,107350373,250.02 kWh/m2/yr,52.288753,-6.464445,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-the-elms-drinagh-co-wexford/3771056
3769638,18373145,"Lake House, Ballaghablake, Curracloe, Co. Wexford",760000.0,386,386 m²,5,4,Detached,2022-08-10,D2,111522751,297.44 kWh/m2/yr,52.398409,-6.399236,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-lake-house-ballaghablake-curracloe-co-wexford/3769638
3753451,18269971,"Mount George House, Mount George, Wexford Town, Co. Wexford",385000.0,N/A,,5,4,Detached,2022-08-03,E2,114495070,263.17 kWh/m2/yr,52.339866,-6.464929,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-mount-george-house-mount-george-wexford-town-co-wexford/3753451
3753388,18268672,"Ballycrane, Castlebridge, Co. Wexford",Price on Application,135,135 m²,4,1,Detached,2022-07-01,E2,114495070,352.59 kWh/m2/yr,52.368703,-6.447652,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-ballycrane-castlebridge-co-wexford/3753388
3743315,18169485,"Bayview, Clonard Road, Wexford Town, Co. Wexford",295000.0,251,251 m²,5,2,Detached,2022-08-09,D2,113461875,284.21 kWh/m2/yr,52.328998,-6.49379,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-bayview-clonard-road-wexford-town-co-wexford/3743315
3738649,18131675,"Spawell Road, Wexford Town, Co. Wexford",599000.0,N/A,,5,3,Detached,2022-08-10,C2,114702616,180.54 kWh/m2/yr,52.34488,-6.477497,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-spawell-road-wexford-town-co-wexford/3738649
3628250,17054156,"Cedar House, Grange Road, Rosslare Strand, Co. Wexford",525000.0,206,206 m²,5,5,Detached,2022-08-10,C2,114476773,178.97 kWh/m2/yr,52.280139,-6.393519,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-cedar-house-grange-road-rosslare-strand-co-wexford/3628250
3568588,16426633,"Kilmisten, Ardcavan, Castlebridge, Co. Wexford",349000.0,N/A,,4,2,Detached,2022-08-10,D1,113296552,259.58 kWh/m2/yr,52.371243,-6.435362,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-kilmisten-ardcavan-castlebridge-co-wexford/3568588
3486708,15875739,"30 Cluain Aoibhinn, Rosslare Strand, Co. Wexford",340000.0,N/A,,4,4,Detached,2022-08-10,B2,103124863,123.39 kWh/m2/yr,52.269464,-6.394429,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-30-cluain-aoibhinn-rosslare-strand-co-wexford/3486708
3927170,19200312,"Whitestown Upper, Drinagh, Drinagh, Co. Wexford",595000.0,210,210 m²,3,3,Detached,2022-07-01,C1,115017501,151.15 kWh/m2/yr,52.301277,-6.449041,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-whitestown-upper-drinagh-drinagh-co-wexford/3927170
3919369,19131348,"Lisheen, 3 Woodlands, Walsheslough, Rosslare Strand, Co. Wexford",575000.0,157,157 m²,4,2,Detached,2022-08-10,C2,114485246,197.45 kWh/m2/yr,52.270507,-6.392516,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-lisheen-3-woodlands-walsheslough-rosslare-strand-co-wexford/3919369
3918515,19122498,"Rosewood House, Bulgan, Killurin, Co. Wexford",325000.0,215,215 m²,5,3,Detached,2022-08-10,C2,115014409,189.03 kWh/m2/yr,52.370454,-6.599442,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-rosewood-house-bulgan-killurin-co-wexford/3918515
3917474,19110751,"Willow Cottage, Ballinamorragh, Curracloe, Co. Wexford",375000.0,147,147 m²,3,3,Detached,2022-07-01,C3,114398407,200.92 kWh/m2/yr,52.383737,-6.400161,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-willow-cottage-ballinamorragh-curracloe-co-wexford/3917474
3915797,19096720,"Rathmacknee Little, Killinick, Co. Wexford",925000.0,454,454 m²,6,5,Detached,2022-08-09,B3,115016875,149.97 kWh/m2/yr,52.267026,-6.477023,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-rathmacknee-little-killinick-co-wexford/3915797
3913552,19080361,"10 Ard Aoibhinn, Rosslare Strand, Co. Wexford",425000.0,161,161 m²,4,3,Detached,2022-08-10,C2,115010894,198.19 kWh/m2/yr,52.269756,-6.395656,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-10-ard-aoibhinn-rosslare-strand-co-wexford/3913552
3892283,18882901,"Briars Lee, Whiterock, Co. Wexford",249000.0,N/A,0.57 ac,3,1,Detached,2022-08-10,E1,105661813,324.13 kWh/m2/yr,52.319528,-6.476169,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-briars-lee-whiterock-co-wexford/3892283
3892127,18882390,"Manderlay, Crosstown, Wexford Town, Co. Wexford",1250000.0,545,545 m²,7,6,Detached,2022-08-09,B2,,,52.358333,-6.464977,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-manderlay-crosstown-wexford-town-co-wexford/3892127
3890574,18866128,"Rosepark, Killeens, Wexford Town, Co. Wexford",195000.0,84,84 m²,3,1,Detached,2022-07-01,G,113638134,756.49 kWh/m2/yr,52.324064,-6.4912,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-rosepark-killeens-wexford-town-co-wexford/3890574
3810834,18736590,"Slaney View, Slaney View, Station Road, Rosslare Strand, Co. Wexford",525000.0,170,170 m²,5,3,Detached,2022-07-19,C3,114400146,211.94 kWh/m2/yr,52.271334,-6.392959,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-slaney-view-slaney-view-station-road-rosslare-strand-co-wexford/3810834
3790773,18574479,"Carraig Mor House, Maudlintown, Wexford Town, Co. Wexford",475000.0,305,305 m²,4,2,Detached,2022-08-10,D2,104029046,295.67 kWh/m2/yr,52.327085,-6.452528,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-carraig-mor-house-maudlintown-wexford-town-co-wexford/3790773
3778798,18464637,"Garryvarren, Ballymurn, Co. Wexford",495000.0,400,400 m²,5,6,Detached,2022-08-09,C1,114753643,155.86 kWh/m2/yr,52.419313,-6.469967,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-garryvarren-ballymurn-co-wexford/3778798
3778453,18460170,"Bulgan, Glynn, Co. Wexford",1250000.0,302,302 m²,4,3,Detached,2022-07-01,B1,108162165,95.01 kWh/m2/yr,52.367413,-6.596412,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-bulgan-glynn-co-wexford/3778453
3776787,18442960,"36 Coill Aoibhinn, Newtown Road, Wexford Town, Co. Wexford",465000.0,185,185 m²,4,5,Detached,2022-06-27,C1,104270160,173.06 kWh/m2/yr,52.342358,-6.506388,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-36-coill-aoibhinn-newtown-road-wexford-town-co-wexford/3776787
3774891,18427239,"Heavenstown, Cleariestown, Co. Wexford",310000.0,130,130 m²,3,1,Detached,2022-07-01,D2,114694003,281.98 kWh/m2/yr,52.259399,-6.565854,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-heavenstown-cleariestown-co-wexford/3774891
3771056,18387391,"The Elms, Drinagh, Co. Wexford",450000.0,410,410 m²,8,11,Detached,2022-08-09,D1,107350373,250.02 kWh/m2/yr,52.288753,-6.464445,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-the-elms-drinagh-co-wexford/3771056
3769638,18373145,"Lake House, Ballaghablake, Curracloe, Co. Wexford",760000.0,386,386 m²,5,4,Detached,2022-08-10,D2,111522751,297.44 kWh/m2/yr,52.398409,-6.399236,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-lake-house-ballaghablake-curracloe-co-wexford/3769638
3753451,18269971,"Mount George House, Mount George, Wexford Town, Co. Wexford",385000.0,N/A,,5,4,Detached,2022-08-03,E2,114495070,263.17 kWh/m2/yr,52.339866,-6.464929,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-mount-george-house-mount-george-wexford-town-co-wexford/3753451
3753388,18268672,"Ballycrane, Castlebridge, Co. Wexford",Price on Application,135,135 m²,4,1,Detached,2022-07-01,E2,114495070,352.59 kWh/m2/yr,52.368703,-6.447652,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-ballycrane-castlebridge-co-wexford/3753388
3743315,18169485,"Bayview, Clonard Road, Wexford Town, Co. Wexford",295000.0,251,251 m²,5,2,Detached,2022-08-09,D2,113461875,284.21 kWh/m2/yr,52.328998,-6.49379,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-bayview-clonard-road-wexford-town-co-wexford/3743315
3738649,18131675,"Spawell Road, Wexford Town, Co. Wexford",599000.0,N/A,,5,3,Detached,2022-08-10,C2,114702616,180.54 kWh/m2/yr,52.34488,-6.477497,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-spawell-road-wexford-town-co-wexford/3738649
3628250,17054156,"Cedar House, Grange Road, Rosslare Strand, Co. Wexford",525000.0,206,206 m²,5,5,Detached,2022-08-10,C2,114476773,178.97 kWh/m2/yr,52.280139,-6.393519,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-cedar-house-grange-road-rosslare-strand-co-wexford/3628250
3568588,16426633,"Kilmisten, Ardcavan, Castlebridge, Co. Wexford",349000.0,N/A,,4,2,Detached,2022-08-10,D1,113296552,259.58 kWh/m2/yr,52.371243,-6.435362,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-kilmisten-ardcavan-castlebridge-co-wexford/3568588
3486708,15875739,"30 Cluain Aoibhinn, Rosslare Strand, Co. Wexford",340000.0,N/A,,4,4,Detached,2022-08-10,B2,103124863,123.39 kWh/m2/yr,52.269464,-6.394429,Buy,WEXFORD_TOWN_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-30-cluain-aoibhinn-rosslare-strand-co-wexford/3486708
