id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3927170,19200312,"Whitestown Upper, Drinagh, Drinagh, Co. Wexford",595000.0,210,210 m²,3,3,Detached,2022-07-01,C1,115017501,151.15 kWh/m2/yr,52.301277,-6.449041,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/detached-house-whitestown-upper-drinagh-drinagh-co-wexford/3927170
3918442,19121320,"108 Cluain Dara, Clonard Road, Wexford Town, Co. Wexford",189000.0,74,74 m²,3,3,Semi-D,2022-08-09,D1,112753348,251.65 kWh/m2/yr,52.332924,-6.496437,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/semi-detached-house-108-cluain-dara-clonard-road-wexford-town-co-wexford/3918442
3907520,19024464,"1 Mary's Lane, Wexford Town, Co. Wexford",129500.0,43,43 m²,2,1,Terrace,2022-06-21,C3,,,52.335661,-6.460365,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/terraced-house-1-marys-lane-wexford-town-co-wexford/3907520
3898226,18931086,"67 Lus Mór, Whiterock Hill, Whiterock, Co. Wexford",180000.0,79,79 m²,2,2,Terrace,2022-07-04,C2,114872138,187.99 kWh/m2/yr,52.323564,-6.47599,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/terraced-house-67-lus-m-r-whiterock-hill-whiterock-co-wexford/3898226
3892283,18882901,"Briars Lee, Whiterock, Co. Wexford",249000.0,N/A,0.57 ac,3,1,Detached,2022-08-10,E1,105661813,324.13 kWh/m2/yr,52.319528,-6.476169,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/detached-house-briars-lee-whiterock-co-wexford/3892283
3892127,18882390,"Manderlay, Crosstown, Wexford Town, Co. Wexford",1250000.0,545,545 m²,7,6,Detached,2022-08-09,B2,,,52.358333,-6.464977,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/detached-house-manderlay-crosstown-wexford-town-co-wexford/3892127
3890574,18866128,"Rosepark, Killeens, Wexford Town, Co. Wexford",195000.0,84,84 m²,3,1,Detached,2022-07-01,G,113638134,756.49 kWh/m2/yr,52.324064,-6.4912,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/detached-house-rosepark-killeens-wexford-town-co-wexford/3890574
3814641,18767119,"39A Pairc Cluain, Mulgannon, Wexford Town, Co. Wexford",219000.0,79,79 m²,2,3,Semi-D,2022-07-12,C3,104849575,217.1 kWh/m2/yr,52.329469,-6.465276,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/semi-detached-house-39a-pairc-cluain-mulgannon-wexford-town-co-wexford/3814641
3798227,18630058,"33 Cois Carraige, Newtown Road, Wexford Town, Co. Wexford",225000.0,95,95 m²,3,3,Semi-D,2022-07-27,C1,,,52.339358,-6.499007,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/semi-detached-house-33-cois-carraige-newtown-road-wexford-town-co-wexford/3798227
3790773,18574479,"Carraig Mor House, Maudlintown, Wexford Town, Co. Wexford",475000.0,305,305 m²,4,2,Detached,2022-08-10,D2,104029046,295.67 kWh/m2/yr,52.327085,-6.452528,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/detached-house-carraig-mor-house-maudlintown-wexford-town-co-wexford/3790773
3790235,18570796,"42 Lus Mor, Whiterock, Co. Wexford",179000.0,N/A,,2,3,End of Terrace,2022-08-10,C3,111588901,201.87 kWh/m2/yr,52.323476,-6.476854,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/end-of-terrace-house-42-lus-mor-whiterock-co-wexford/3790235
3776787,18442960,"36 Coill Aoibhinn, Newtown Road, Wexford Town, Co. Wexford",465000.0,185,185 m²,4,5,Detached,2022-06-27,C1,104270160,173.06 kWh/m2/yr,52.342358,-6.506388,Buy,WEXFORD_TOWN_WEXFORD,http://www.daft.ie/for-sale/detached-house-36-coill-aoibhinn-newtown-road-wexford-town-co-wexford/3776787
