id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3941188,19335304,"146 Grace Park Meadows, Drumcondra, Drumcondra, Dublin 3",430000.0,101,101 m²,3,3,Semi-D,2022-08-10,D1,103947321,243.25 kWh/m2/yr,53.377083,-6.226744,Buy,WHITEHALL_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-146-grace-park-meadows-drumcondra-drumcondra-dublin-3/3941188
3938243,19308259,"63 Shanowen Drive, Santry, Santry, Dublin 9",425000.0,87,87 m²,3,1,Terrace,2022-08-10,D1,114998990,251.52 kWh/m2/yr,53.388466,-6.249557,Buy,WHITEHALL_DUBLIN,http://www.daft.ie/for-sale/terraced-house-63-shanowen-drive-santry-santry-dublin-9/3938243
3779552,18471820,"493A Collins Avenue West, Whitehall, Whitehall, Dublin 9",495000.0,94,94 m²,3,3,Detached,2022-06-16,C3,,,53.383202,-6.247568,Buy,WHITEHALL_DUBLIN,http://www.daft.ie/for-sale/detached-house-493a-collins-avenue-west-whitehall-whitehall-dublin-9/3779552
3935461,19280108,"1 Griffith Downs, Drumcondra, Dublin 9",845000.0,186,186 m²,5,3,Detached,2022-08-10,D1,,,53.376626,-6.248585,Buy,WHITEHALL_DUBLIN,http://www.daft.ie/for-sale/detached-house-1-griffith-downs-drumcondra-dublin-9/3935461
3934325,19268512,"33 Coolatree Park, Beaumont, Beaumont, Dublin 9",425000.0,101,101 m²,3,2,Semi-D,2022-08-10,E2,115048845,349.22 kWh/m2/yr,53.38771,-6.233559,Buy,WHITEHALL_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-33-coolatree-park-beaumont-beaumont-dublin-9/3934325
3490780,15910025,"Molineux, 26 Glenshesk Road, Whitehall, Dublin 9",435000.0,127,127 m²,4,2,End of Terrace,2022-08-10,C1,,,53.383128,-6.240449,Buy,WHITEHALL_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-molineux-26-glenshesk-road-whitehall-dublin-9/3490780
3927047,19198905,"28 Coolgariff Road, Beaumont, Beaumont, Dublin 9",495000.0,181,181 m²,4,3,Semi-D,2022-08-10,D2,,,53.38904,-6.236059,Buy,WHITEHALL_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-28-coolgariff-road-beaumont-beaumont-dublin-9/3927047
3926522,19192840,"58 Crestfield Drive Whitehall Dublin 9, Whitehall, Dublin 9",425000.0,108,108 m²,3,2,Semi-D,2022-08-10,D2,114389737,270.27 kWh/m2/yr,53.386991,-6.2518236,Buy,WHITEHALL_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-58-crestfield-drive-whitehall-dublin-9-whitehall-dublin-9/3926522
3921647,19150858,"38 Oldtown Road, Santry, Dublin 9",375000.0,80,80 m²,3,1,Semi-D,2022-08-10,D1,,,53.393193,-6.257101,Buy,WHITEHALL_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-38-oldtown-road-santry-dublin-9/3921647
3920828,19142998,"67 Oldtown Avenue, Santry, Santry, Dublin 9",395000.0,95,95 m²,4,1,Semi-D,2022-08-10,E1,,,53.393462,-6.258365,Buy,WHITEHALL_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-67-oldtown-avenue-santry-santry-dublin-9/3920828
