id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3983539,19657899,"11 Avoca Wood, Avoca, Co. Wicklow",795000.0,230,230 m²,6,4,Detached,2022-07-27,C1,114868417,167.91 kWh/m2/yr,52.851016,-6.19892,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-11-avoca-wood-avoca-co-wicklow/3983539
3983398,19655602,"Immal, Churchland, Tinahely, Co. Wicklow",225000.0,95,95 m²,4,2,Detached,2022-07-15,G,106749104,511.28 kWh/m2/yr,52.794378,-6.457747,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-immal-churchland-tinahely-co-wicklow/3983398
3982604,19647415,"11 Burnaby Mill, Greystones, Co. Wicklow",795000.0,152,152 m²,4,3,Detached,2022-07-15,C2,115343279,173.01 kWh/m2/yr,53.132092,-6.064931,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-11-burnaby-mill-greystones-co-wicklow/3982604
3982416,19641117,"Kennedy Cottage, Rednagh Hill, Aughrim, Co. Wicklow",295000.0,80,80 m²,3,1,Detached,2022-08-10,F,115225906,443.45 kWh/m2/yr,52.848985,-6.358838,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-kennedy-cottage-rednagh-hill-aughrim-co-wicklow/3982416
3981723,19634496,"The Bungalow, Ballymoneen, Avoca, Co. Wicklow",395000.0,151,151 m²,4,2,Detached,2022-07-27,C3,115040164,219.51 kWh/m2/yr,52.852192,-6.224326,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-the-bungalow-ballymoneen-avoca-co-wicklow/3981723
3981296,19628565,"The Heathers, 4 Burgage More, Blessington, Co. Wicklow",495000.0,210,210 m²,3,3,Detached,2022-07-14,C3,109617423,,53.160213,-6.543422,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-the-heathers-4-burgage-more-blessington-co-wicklow/3981296
1509437,12390593,"Marrwins Bunglo, 5 Johnstown, Kilpedder, Co. Wicklow",625000.0,144,144 m²,5,2,Detached,2022-08-02,G,112934807,458.11 kWh/m2/yr,53.113523,-6.107416,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-marrwins-bunglo-5-johnstown-kilpedder-co-wicklow/1509437
3978768,19615188,"Anfield House, 42 Ashton, Blessington, Co. Wicklow",499000.0,153,153 m²,5,3,Detached,2022-07-13,C1,102497997,,53.171637,-6.540188,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-anfield-house-42-ashton-blessington-co-wicklow/3978768
3973905,19588058,"Humphreystown, Blessington, Co. Wicklow",595000.0,180,180 m²,3,2,Detached,2022-07-12,C1,,,53.115025,-6.551051,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-humphreystown-blessington-co-wicklow/3973905
3975888,19601670,"Ballinteskin, Wicklow Town, Co. Wicklow",550000.0,131,131 m²,3,3,Detached,2022-08-09,C3,,,52.946383,-6.068839,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-ballinteskin-wicklow-town-co-wicklow/3975888
3975133,19594072,"30 Roger Casement Park, Bray, Co. Wicklow",350000.0,102,102 m²,3,2,Detached,2022-08-10,E1,108845553,338.5 kWh/m2/yr,53.205567,-6.12012,Buy,WICKLOW,http://www.daft.ie/for-sale/detached-house-30-roger-casement-park-bray-co-wicklow/3975133
