"AIRO_ID","Roll_No","Off_Name","Add_1","Add_2","Add_3","Add_4","County","Gender","Pupil_Att","Irish_Lan","Fee","Ethos","F_13_14","M_13_14","xcoord","ycoord","Long","Lat"
1,"60010P","Loreto Secondary School","Balbriggan","Co Dublin","","","Dublin","Girls","Day","No subjects taught through Irish","N","CATHOLIC",1,0,320163,264003,320163,264003
2,"60021U","St Marys Secondary School","Baldoyle","Dublin 13","","","Dublin","Girls","Day","No subjects taught through Irish","N","CATHOLIC",291,0,324596,240138,324596,240138
3,"60030V","Blackrock College","Rock Road","Blackrock","Co. Dublin","","Dublin","Boys","Mixed","No subjects taught through Irish","Y","CATHOLIC",0,999,320690,229652,320690,229652
4,"60040B","Willow Park School","Rock Road","Blackrock","Co Dublin","","Dublin","Boys","Mixed","No subjects taught through Irish","Y","CATHOLIC",0,206,320348,229910,320348,229910
5,"60041D","Coláiste Eoin","Baile an Bhóthair","Bóthair Stigh Lorgan","Co Atha Cliath","","Dublin","Boys","Day","All pupils taught all subjects through Irish","N","CATHOLIC",0,491,319719,229513,319719,229513
6,"60042F","Coláiste Íosagáin","Bóthar Stigh Lorgan","Baile an Bhóthair","Co Átha Cliath","","Dublin","Girls","Day","All pupils taught all subjects through Irish","N","CATHOLIC",494,0,319777,229489,319777,229489
7,"60050E","Oatlands College","Mount Merrion","Co Dublin","","","Dublin","Boys","Day","No subjects taught through Irish","N","CATHOLIC",0,538,319911,228389,319911,228389
8,"60070K","Dominican College","Sion Hill","Blackrock","Co Dublin","","Dublin","Girls","Day","No subjects taught through Irish","N","CATHOLIC",391,0,320739,229424,320739,229424
9,"60081P","Rockford Manor Secondary School","Stradbrook Rd","Blackrock","Co Dublin","","Dublin","Girls","Day","No subjects taught through Irish","N","CATHOLIC",319,0,322559,227852,322559,227852
10,"60090Q","Rathdown School","Upper Glenageary Road","Glenageary","Co. Dublin","","Dublin","Girls","Mixed","No subjects taught through Irish","Y","CHURCH OF IRELAND",315,0,324802,226730,324802,226730
11,"60092U","Clonkeen College","Clonkeen Road","Blackrock","Co Dublin","","Dublin","Boys","Day","No subjects taught through Irish","N","CATHOLIC",0,526,322986,225944,322986,225944
12,"60100Q","Castleknock College","Castleknock","Dublin 15","","","Dublin","Boys","Day","No subjects taught through Irish","Y","CATHOLIC",0,590,308641,236572,308641,236572
13,"60120W","Mount Sackville Secondary School","Chapelizod","Dublin 20","","","Dublin","Girls","Day","No subjects taught through Irish","Y","CATHOLIC",617,0,309430,235635,309430,235635
14,"60121B","Moyle Park College","Clondalkin","Dublin 22","","","Dublin","Boys","Day","No subjects taught through Irish","N","CATHOLIC",0,664,306848,231173,306848,231173
15,"60122D","Coláiste Bríde","New Road","Clondalkin","Dublin 22","","Dublin","Girls","Day","No subjects taught through Irish","N","CATHOLIC",949,0,307409,230942,307409,230942
16,"60130C","Loreto Abbey Secondary School","Dalkey","Co Dublin","","","Dublin","Girls","Day","No subjects taught through Irish","Y","CATHOLIC",621,0,326794,227123,326794,227123
17,"60140F","Mount Anville Secondary School","Mount Anville Rd","Dublin 14","","","Dublin","Girls","Day","No subjects taught through Irish","Y","CATHOLIC",616,0,318567,228444,318567,228444
18,"60160L","Notre Dame Secondary School","Upper Churchtown Road","Dublin 14","","","Dublin","Girls","Day","No subjects taught through Irish","Y","CATHOLIC",181,0,316647,228439,316647,228439
19,"60180R","Christian Brothers College","Monkstown Park","Dun Laoghaire","Co Dublin","","Dublin","Boys","Day","No subjects taught through Irish","Y","CATHOLIC",0,458,323548,228179,323548,228179
20,"60240J","Loreto College Foxrock","Foxrock","Dublin 18","","","Dublin","Girls","Day","No subjects taught through Irish","Y","CATHOLIC",642,0,321678,226241,321678,226241
21,"60250M","Holy Child Secondary School","Military Road","Killiney","Co. Dublin","","Dublin","Girls","Day","No subjects taught through Irish","Y","CATHOLIC",360,0,325876,224129,325876,224129
22,"60260P","St Joseph Of Cluny Secondary School","Bellevue Park","Ballinclea Rd","Killiney","Co Dublin","Dublin","Girls","Day","No subjects taught through Irish","Y","CATHOLIC",402,0,325235,226099,325235,226099
23,"60261R","St Benildus College","Upper Kilmacud Rd","Stillorgan","Blackrock","Co Dublin","Dublin","Boys","Day","No subjects taught through Irish","N","CATHOLIC",0,764,318673,227484,318673,227484
24,"60262T","St Laurence College","Loughlinstown","Dublin 18","","","Dublin","Mixed","Day","No subjects taught through Irish","N","CATHOLIC",170,183,324304,223875,324304,223875
25,"60263V","St Josephs College","Lucan","Co Dublin","","","Dublin","Girls","Day","No subjects taught through Irish","N","CATHOLIC",888,0,303891,235313,303891,235313
