Station,Address,County,Phone,Mon-Fri,Mon-FI,Tuesday,Wednesday,Thursday,Sat,Sun,Latitude,Longitude,StationID
Arvagh,Tycusker,Co. Cavan,(049) 4335302,10:00-13:00,,,,,10:00-13:00,12:00-14:00,53.925376,-7.583729,6802M
Bailieboro,Barrack Street,Co. Cavan,(042) 9694570,24-Jul,,,,,24-Jul,24-Jul,53.915212,-6.96963,6870E
Ballinagh,Main Street,Co. Cavan,(049) 4337102,10:00-13:00,,,,,10:00-13:00,12:00-14:00,53.93111,-7.409629,6801B
Ballybay,Hall Street,Co. Monaghan,(042) 9741002,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.128944,-6.904803,6771G
Ballyconnell,Doon,Co. Cavan,(049) 9525580,24-Jul,,,,,24-Jul,24-Jul,54.118998,-7.580204,6900M
Ballyjamesduff,Granard Street,Co. Cavan,(049) 8544102,10:00-13:00,,,,,10:00-13:00,12:00-14:00,53.86311,-7.208767,6877B
Belturbet,Holborn Hill,Co. Cavan,(049) 9522122,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.101166,-7.442615,6901K
Blacklion,Main Street,Co. Cavan,(071) 9853002,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.291479,-7.876192,6377M
Carrickmacross,Main Street,Co. Monaghan,(042) 9690190,24-Jul,,,,,24-Jul,24-Jul,53.976059,-6.718776,6770K
Castleblaney,Upper York Street,Co. Monaghan,(042) 9740668,24-Jul,,,,,24-Jul,24-Jul,54.117858,-6.735032,6772E
Cavan,Farnham Street,Co. Cavan,(049) 4368800,24-Jul,,,,,24-Jul,24-Jul,53.993329,-7.360879,6800D
Clones,Analore Street,Co. Monaghan,(047) 51028,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.177489,-7.228158,6701F
Cootehill,Station Road,Co. Cavan,(049) 5552105,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.074708,-7.078703,6876D
Dowra,Main Street,Co. Cavan,(071) 9643002,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.190428,-8.01525,6376B
Emyvale,Glaslough Road,Co. Monaghan,(047) 87222,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.339356,-6.957596,6705K
Killeshandra,Main Street,Co. Cavan,(049) 4334302,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.011748,-7.525932,6903E
Kilnaleck,Barrack Road,Co. Cavan,(049) 4336202,10:00-13:00,,,,,10:00-13:00,12:00-14:00,53.858467,-7.317923,6805E
Kingscourt,Hall Street,Co. Cavan,(042) 9667292,10:00-13:00,,,,,10:00-13:00,12:00-14:00,53.904314,-6.806759,6871C
Monaghan,Plantation Road,Co. Monaghan,(047) 77200,24-Jul,,,,,24-Jul,24-Jul,54.25137,-6.967516,6700H
Mullagh,Mullagh,Co. Cavan,(046) 9242002,10:00-13:00,,,,,10:00-13:00,12:00-14:00,53.811139,-6.943188,6872A
Rockcorry,Monneill,Co. Monaghan,(042) 9742288,Varies,,,,,,,54.120158,-7.009368,6775L
Scotstown,Carrowhatta,Co. Monaghan,(047) 79140,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.280267,-7.063623,6704M
Shercock,Shinan,Co. Cavan,(042) 9669102,10:00-13:00,,,,,10:00-13:00,12:00-14:00,53.992199,-6.900786,6873L
Swanlinbar,Hawkswood,Co. Cavan,(049) 9521242,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.196111,-7.703839,6902G
Virginia,Main Street,Co. Cavan,(049) 8547002,10:00-13:00,,,,,10:00-13:00,12:00-14:00,53.834442,-7.081928,6875F
Ballyvaughan,Ballyvaughan,Co. Clare,(065) 7077002,10:00-13:00,,,,,10:00-12:00,Closed,53.116153,-9.147112,5171C
Corofin,Kilnaboy Road,Co. Clare,(065) 6837622,10:00-13:00,,,,,10:00-12:00,Closed,52.947992,-9.068588,5172A
Crusheen,Crusheen,Co. Clare,(065) 6827122,10:00-13:00,,,,,10:00-13:00,12:00-14:00,52.938477,-8.898636,5031H
Ennis,Abbey Street,Co. Clare,(065) 6848100,24-Jul,,,,,24-Jul,24-Jul,52.84681,-8.98112,5030L
Ennistymon,Ennis Road,Co. Clare,(065) 7072180,24-Jul,,,,,24-Jul,24-Jul,52.937394,-9.288537,5170E
Kildysart,Ennis Road,Co. Clare,(065) 6832102,10:00-13:00,,,,,10:00-13:00,10:00-13:00,52.674604,-9.105833,5077F
Kilkee,Circular Road,Co. Clare,(065) 9056002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,52.682402,-9.644718,5078D
Killaloe,The Green,Co. Clare,(061) 620540,10am-1.00pm + 5pm-20pm,,,,,10am-1pm,10am-1pm,52.806662,-8.44366,5130F
Kilmihil,Kilmihil,Co. Clare,(065) 9050002,"Tue 10:00-13:00, Thu 18:00-20:00",,,,,10:00-13:00,Closed,52.72036,-9.31152,5032F
Kilrush,Ennis Road,Co. Clare,(065) 9080550,24-Jul,,,,,24-Jul,24-Jul,52.641064,-9.481077,5070K
Lisdoonvarna,Main Street,Co. Clare,(065) 7074222,10:00-13:00,,,,,10:00-12:00,Closed,53.028625,-9.289667,5175F
Miltown Malbay,Church Street,Co. Clare,(065) 7084222,10:00-13:00,,,,,10:00-12:00,Closed,52.857453,-9.400594,5176D
Newmarket-on-Fergus,Ennis Road,Co. Clare,(061) 368172,"10:00-13:00, 14:00-18:00",,,,,"10:00-13:00, 14:00-18:00","10:00-13:00, 14:00-18:00",52.763172,-8.899113,5033D
Scarriff,Drewsborough,Co. Clare,(061) 922790,10:00-13:00,,,,,10:00-13:00,10:00-13:00,52.90683,-8.534771,5133M
Shannon,Shannon Town Centre,Co. Clare,(061) 365900,24-Jul,,,,,24-Jul,24-Jul,52.707895,-8.877221,5035M
Sixmilebridge,Shannon Road,Co. Clare,(061) 369133,"10:00-13:00, 14:00-18:00",,,,,"10:00-13:00, 14:00-21:00","10:00-13:00, 14:00-18:00",52.740101,-8.777945,5037G
Tulla,Ashler,Co. Clare,(065) 6835103,14:30-15:30,,,,,14:30-15:30,Closed,52.865385,-8.75477,5135G
Anglesea Street,Anglesea Street,Co. Cork,(021) 4522000,24-Jul,,,,,24-Jul,24-Jul,51.895775,-8.465015,3900D
Ballincollig,Main Street,Co. Cork,(021) 4214680,"09:00-13:00, 14:00-18:00, 19:00-20:00",,,,,"10:00-13:00, 14:00-18:00","10:00-13:00, 14:00-18:00",51.888237,-8.590321,4022C
Bishopstown,Bishopstown Road,Co. Cork,(021) 4624500,Varies,,,,,Varies,Varies,51.880667,-8.514534,3931D
Blackrock,Blackrock,Co. Cork,(021) 4536690,"09:00-13:00, 14:00-18:00, 19:00-22:00",,,,,"09:00-13:00, 14:00-18:00, 19:00-22:00","10:00-13:00, 15:00-18:00",51.894335,-8.40431,3908L
Blarney,The Square,Co. Cork,(021) 4516290,"10:00-13:00, 14:00-18:00, 19:00-22:00",,,,,"10:00-13:00, 14:00-18:00, 19:00-22:00","10:00-13:00, 14:00-18:00",51.931964,-8.567658,4021E
Bridewell,Kyrl's Street,Co. Cork,(021) 4943330,24-Jul,,,,,24-Jul,24-Jul,51.900553,-8.477045,3902M
Carrigaline,Main Street,Co. Cork,(021) 4919370,Varies,,,,,Varies,Varies,51.814833,-8.391535,3933M
Carrignavar,Main Street,Co. Cork,(021) 4884222,19:00-20:00,,,,,19:00-20:00,19:00-20:00,51.988915,-8.478209,4077M
Crosshaven,2 Coastguard Cottages,Co. Cork,(021) 4831222,Varies,,,,,Varies,Varies,51.803976,-8.304453,3934K
Douglas,Maryborough Hill,Co. Cork,(021) 4857670,Varies,,,,,Varies,Varies,51.875091,-8.430959,3932B
Glanmire,Glanmire Village,Co. Cork,(021) 4556370,09:00-18:00,,,,,09:00-18:00,12:00-13:00,51.918419,-8.396809,4074F
Gurranabraher,Baker's Road,Co. Cork,(021) 4946200,24-Jul,,,,,24-Jul,24-Jul,51.903493,-8.496622,4020G
Mayfield,Mayfield,Co. Cork,(021) 4558510,24-Jul,,,,,24-Jul,24-Jul,51.909732,-8.429043,3980B
Passagewest,Passage West,Co. Cork,(021) 4841001,Varies,,,,,Varies,Varies,51.865188,-8.331746,3935G
Togher,Tramore Road,Co. Cork,(021) 4947120,24-Jul,,,,,24-Jul,24-Jul,51.876497,-8.486227,3930F
Watercourse Road,53 Watercourse Road,Co. Cork,(021) 4558260,"09:00-18:00, 19:00-22:00",,,,,"09:00-18:00, 19:00-22:00","10:00-14:00, 19:00-22:00",51.907175,-8.474483,3982K
