AtcoCode,PlateCode,CommonName,CommonNameGA,ShortCommonName,ShortCommonNameGA,Street,NptgLocalityRef,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,isActive
7010PB003857,,Ballymagrorty,B Mhic Robhartaigh,Ballymagrorty,B Mhic Robhartaigh,,E0701003,641057,920841,55.0334043,-7.3577718,BCT,CUS,OTH,NW,,701,TRUE
7010PB003858,,Coshquin,,,,,E0701003,641054,920860,55.0335753,-7.3578159,BCT,CUS,OTH,N,,701,TRUE
7010PB003859,,Culmore Point,,,,Culmore Road,E0701003,646370,922263,55.0457123,-7.2744401,BCT,CUS,OTH,N,,701,TRUE
7010PB003860,,Culmore Point,,,,Culmore Road,E0701003,646379,922262,55.0457025,-7.2742994,BCT,CUS,OTH,N,,701,TRUE
7010B158131,158131,Ulsterbus Depot,Busáras Ulsterbus,Ulsterbus Depot,Busáras Ulsterbus,,E0701001,643648,916772,54.9966288,-7.3178663,BCT,MKD,OTH,N,,701,TRUE
701000002,,Patrick Street,Sráid Phádraig,Patrick Street,Sráid Phádraig,,E0701001,643337,917142,54.9999799,-7.3226703,BCT,MKD,OTH,N,,701,TRUE
701000001,,Water Street,Sráid an Uisce,Water Street,Sráid an Uisce,,E0701001,643683,916710,54.9960687,-7.3173289,BCT,CUS,OTH,N,,701,TRUE
701000004,,Dungiven,Dún Geimhin,Dungiven,Dún Geimhin,,E0701001,669220,909127,54.9250579,-6.9201336,BCT,MKD,OTH,S,,701,TRUE
701000005,,Dungiven,Dún Geimhin,Dungiven,Dún Geimhin,,E0701001,669288,909066,54.9245005,-6.9190877,BCT,MKD,OTH,N,,701,TRUE
701000003,,Guild Hall,Halla Guild,Guild Hall,Halla Guild,,E0701001,643562,916870,54.9975167,-7.3191953,BCT,MKD,OTH,N,,701,TRUE
7010B158241,158241,Magee Campus,Campas Mhig Aoidh,Magee Campus,Campas Mhig Aoidh,,E0701001,643389,917643,55.0044763,-7.3217817,BCT,CUS,OTH,N,,701,TRUE
7010GA00002,,Magilligan Ferry Port,,,,,E0701004,665851,938678,55.1909671,-6.9658616,FTD,,,,,701,TRUE
701000007,,Foyleside Coach Park,,,,,E0701001,643685,916491,54.9941011,-7.3173310,BCT,CUS,OTH,N,,701,TRUE
701000006,,Drumahow Park & Ride,,,,,E0701001,646039,914700,54.9777992,-7.2808357,BCT,CUS,OTH,N,,701,TRUE
7020IR2162,,Belfast,Béal Feirste,,,,E0702001,734593,873916,54.595573,-5.917156,RLY,,,,,702,TRUE
7020IR0037,,Lisburn,Lion a gCearrbhach,,,,E0702002,726577,864586,54.513863,-6.045132,RLY,,,,,702,TRUE
702000003323,,Sprucefield Shopping Centre,,,,,E0702002,725347,861587,54.4872340,-6.0653931,BCT,MKD,OTH,S,,702,FALSE
702000000241,,Jury's Inn,Ostán Jurys,Jury's Inn,Ostán Jurys,,E0702001,733452,873959,54.5962602,-5.9347830,BCT,MKD,OTH,S,,702,TRUE
702000006268,,Downpatrick,Dún Pádraig,Downpatrick,Dún Pádraig,,E0702002,748321,844302,54.3258546,-5.7197307,BCT,CUS,OTH,N,,702,TRUE
702000007262,,DNPTR,,,,,E0702002,748321,844302,54.3258546,-5.7197307,BCT,CUS,OTH,N,,702,TRUE
702000014719,014719,Glengall Street,Sráid Ghleann Gall,Glengall Street,Sráid Ghleann Gall,,E0702001,733300,873824,54.5950881,-5.9371949,BCT,MKD,OTH,N,,702,TRUE
702000000240,,Europa Bus Centre,Ionad Busanna Europa,Europa Bus Centre,Ionad Busanna Europa,Glengall Street,E0702001,733340,873770,54.5945926,-5.9366008,BCT,CUS,OTH,E,,702,TRUE
702000015363,,Europa Bus Centre,Ionad Busanna Europa,Europa Bus Centre,Ionad Busanna Europa,Glengall Street,E0702001,733343,873758,54.5944841,-5.9365599,BCT,CUS,OTH,E,,702,TRUE
702000015422,,Europa Bus Centre,Ionad Busanna Europa,Europa Bus Centre,Ionad Busanna Europa,,E0702001,733360,873822,54.5950543,-5.9362679,BCT,CUS,OTH,W,,702,TRUE
7020GA00001,,Strangford,,,,,E0702001,758878,849744,54.3715339,-5.5546864,FTD,,,,,702,TRUE
7020GA00002,,Portaferry Ferry Port,,,,,E0702001,759131,850751,54.3804950,-5.5502580,FTD,,,,,702,TRUE
70200B156091,156091,Glengall Street,Sráid Ghleann Gall,Glengall Street,Sráid Ghleann Gall,,E0702001,733300,873824,54.5950881,-5.9371949,BCT,MKD,OTH,N,,702,TRUE
7020B158161,158161,Sprucefield,Sprucefield,Sprucefield,Sprucefield,,E0702002,725309,861587,54.4872434,-6.0659792,BCT,MKD,OTH,W,,702,FALSE
702000001,,Belfast International Airport,,,,,E0702001,714974,880823,54.6624429,-6.2178774,BCT,CUS,OTH,N,,702,TRUE
70200000000,,test,,,,,E0702001,736877,878675,54.6376917,-5.8796145,BCT,MKD,OTH,N,,702,FALSE
703000007629,,Clough,An Chloch,Clough,An Chloch,,E0703001,740769,840260,54.2916988,-5.8376444,BCT,MKD,OTH,N,,703,TRUE
703000007708,,Clough,An Chloch,Clough,An Chloch,,E0703001,740768,840283,54.2919056,-5.8376489,BCT,CUS,OTH,N,,703,TRUE
703000004183,,Banbridge,Droichead na Banna,Banbridge,Droichead na Banna,Newry Street,E0703001,712376,845574,54.3464551,-6.2715428,BCT,MKD,OTH,SW,,703,TRUE
703000004149,,Banbridge,Droichead na Banna,Banbridge,Droichead na Banna,Newry Street,E0703001,712400,845557,54.3462971,-6.2711803,BCT,MKD,OTH,NE,,703,FALSE
7030B108061,108061,Banbridge,Droichead na Banna,Banbridge,Droichead na Banna,Newry Street,E0703001,712400,845557,54.3462971,-6.2711803,BCT,MKD,OTH,NE,,703,FALSE
7040IR0090,,Lurgan,An Lorgain,,,,E0704003,707705,858884,54.467011,-6.338528,RLY,,,,,704,TRUE
7040IR0042,,Newry,An tIúr,,,,E0704001,706876,827874,54.188659,-6.362413,RLY,,,,,704,TRUE
7040IR0045,,Portadown,Port an Dúnáin,,,,E0704002,700886,854051,54.424993,-6.445312,RLY,,,,,704,TRUE
704000004126,,Hilltown,Baile Hill,Hilltown,Baile Hill,,E0704001,720999,828919,54.1949080,-6.1457153,BCT,MKD,OTH,N,,704,TRUE
704000004127,,Hilltown,Baile Hill,Hilltown,Baile Hill,,E0704001,721017,828906,54.1947870,-6.1454448,BCT,CUS,OTH,N,,704,TRUE
704000004096,,Rathfriland,Ráth Fraoileann,Rathfriland,Ráth Fraoileann,,E0704001,720044,833531,54.2365525,-6.1584997,BCT,CUS,OTH,N,,704,TRUE
7040B158011,158011,Lonsdale Road Bus Station,Lonsdale Road,,,,E0704004,687479,845693,54.3524001,-6.6543155,BCT,MKD,OTH,N,,704,TRUE
704000000235,,Lonsdale Road Bus Station,,,,,E0704004,687480,845687,54.3523460,-6.6543019,BCT,CUS,OTH,N,,704,TRUE
7040B558051,,Portadown,Port an Dúnáin,Portadown,Port an Dúnáin ,,E0704002,700877,853695,54.4218013,-6.4455787,BCT,MKD,OTH,N,,704,TRUE
7040B558021,,Portadown,Port an Dúnáin,Portadown,Port an Dúnáin,,E0704002,701018,853813,54.4228332,-6.4433667,BCT,MKD,OTH,N,,704,TRUE
7040B558041,,Lurgan,An Lorgain,Lurgan,An Lorgain,,E0704003,703726,858818,54.4672421,-6.3999037,BCT,MKD,OTH,N,,704,TRUE
704000007336,,Castlewellan,Caisleán Uidhilín,Castlewellan,Caisleán Uidhilín,,E0704001,733932,836207,54.2571405,-5.9444037,BCT,MKD,OTH,N,,704,TRUE
704000007346,,Castlewellan,Caisleán Uidhilín,Castlewellan,Caisleán Uidhilín,,E0704001,733933,836190,54.2569876,-5.9443960,BCT,MKD,OTH,N,,704,TRUE
704000007623,,Dundrum,Dún Droma,Dundrum,Dún Droma,,E0704001,740446,836456,54.2576309,-5.8443863,BCT,CUS,OTH,N,,704,TRUE
704000007714,,Dundrum,Dún Droma,Dundrum,Dún Droma,,E0704001,740460,836451,54.2575822,-5.8441739,BCT,CUS,OTH,N,,704,TRUE
7040B139781,139781,Meigh Cross,Crosaire na Maí,Meigh Cross,Crosaire na Maí,,E0704001,707399,819784,54.1158843,-6.3572846,BCT,MKD,OTH,N,,704,TRUE
7040B139771,139771,Killeen Bridge,Dr an Cillín,Killeen Bridge,Dr an Cillín,,E0704001,708066,821485,54.1310231,-6.3464789,BCT,CUS,OTH,N,,704,TRUE
