"title","price","size_meters_squared","bedrooms","bathrooms","propertyType","ber_rating","ber_epi","latitude","longitude","category","maria"
"Drumroe, Ardagh, Co. Longford",295000,273,6,4,"Bungalow","B3","131.08 kWh/m2/yr",53.689684,-7.684429,"Buy","Co. Longford"
"Lissardowlan, Longford",595000,267,4,4,"Detached","B3","140.49 kWh/m2/yr",53.717201,-7.726544,"Buy","Longford"
"5 Rath Na Gcarraige, Ardagh, Co. Longford",285000,191,4,3,"Detached","B2","114.83 kWh/m2/yr",53.648571,-7.702947,"Buy","Co. Longford"
"Forgney, Ballymahon, Co. Longford",320000,133,3,2,"Detached","C2","195.76 kWh/m2/yr",53.5466,-7.68635,"Buy","Co. Longford"
"Whiterock, Longford Town, Co. Longford",169000,113,4,2,"Detached","E1","337.62 kWh/m2/yr",53.729342,-7.754682,"Buy","Co. Longford"
"Druming, Ardagh, Co. Longford",429000,280,4,3,"Detached","B1","",53.657604,-7.703955,"Buy","Co. Longford"
"Lissardowlan, Longford",595000,267,4,4,"Detached","B3","140.49 kWh/m2/yr",53.717201,-7.726544,"Buy","Longford"
"5 Rath Na Gcarraige, Ardagh, Co. Longford",285000,191,4,3,"Detached","B2","114.83 kWh/m2/yr",53.648571,-7.702947,"Buy","Co. Longford"
"Forgney, Ballymahon, Co. Longford",320000,133,3,2,"Detached","C2","195.76 kWh/m2/yr",53.5466,-7.68635,"Buy","Co. Longford"
"Whiterock, Longford Town, Co. Longford",169000,113,4,2,"Detached","E1","337.62 kWh/m2/yr",53.729342,-7.754682,"Buy","Co. Longford"
"Druming, Ardagh, Co. Longford",429000,280,4,3,"Detached","B1","",53.657604,-7.703955,"Buy","Co. Longford"
"40 Frankfort Court Rathgar Dublin 6, Rathgar, Dublin 6",285000,41,1,1,"Apartment","D2","283.7 kWh/m2/yr",53.313634,-6.276569,"Buy","Dublin 6"
"4 Olympic House, Pleasants Street, Dublin 8",425000,70,2,2,"Apartment","D1","228.55 kWh/m2/yr",53.335603,-6.266628,"Buy","Dublin 8"
"Apartment 5, Aldborough Court, Dublin 1",335000,66,2,1,"Apartment","C3","",53.355174,-6.246722,"Buy","Dublin 1"
"9 Beechlawn Mews, Terenure, Dublin 6W",365000,49,2,1,"Apartment","E1","323.33 kWh/m2/yr",53.308812,-6.282748,"Buy","Dublin 6W"
"Apartment 27, The Locks, Dublin 4",645000,82,3,2,"Apartment","D1","",53.342482,-6.237034,"Buy","Dublin 4"
